"m.z","int"
103.02409,12
105.00332,48
105.06995,8
109.10119,13
110.07126,11
114.09129,14
115.05416,60
117.06984,6
119.01885,298
119.08539,17
120.01965,18
120.08063,28
121.01632,20
121.03439,137
122.0352,6
123.01368,63
123.03196,15
128.06186,79
130.06493,49
131.01873,368
132.01946,17
133.01616,29
133.03435,48
133.10087,6
134.99859,17
135.04994,120
136.05072,9
136.99611,8
137.04042,55
137.04746,8
138.02999,115
138.03249,6
139.02673,135
139.05385,6
141.06955,31
142.94777,32
143.08516,6
145.03424,20
145.06448,6
147.04985,149
149.04744,8
149.06557,919
150.02994,105
150.03256,10
150.03702,11
150.06634,78
150.06895,17
151.0267,87
151.04486,86
151.06313,90
151.09505,17
151.11146,11
152.06177,35
153.00906,243
153.06956,18
154.00987,38
154.06472,11
155.00668,64
155.08519,8
156.08046,31
158.15358,6
159.04984,24
159.11645,6
160.04515,10
162.9934,19
163.04474,43
164.05256,127
164.92011,9
164.92966,24
165.02413,31
165.03531,7
165.0431,15
165.05341,6
165.06045,82
165.0695,29
166.05013,6
166.95035,36
167.03159,6
167.07255,9
167.07613,8
167.0851,6
168.0405,84
168.04295,8
168.08041,15
169.03721,117
169.1008,7
169.12192,21
171.04985,9
171.11645,9
173.06545,8
173.13214,8
174.89563,17
174.98493,79
175.04478,57
175.11853,13
176.07642,8
177.00911,79
177.02405,23
177.05421,12
177.06036,304
177.16348,13
178.00975,9
178.05566,7
178.06115,25
178.06467,11
178.07735,11
179.00654,15
179.03963,13
179.05085,27
179.05795,23
179.07599,30
179.08509,8
180.00744,7
180.03007,26
183.1164,6
184.07292,32
185.13206,6
187.08117,7
187.12016,9
189.06046,13
190.09197,6
191.03971,127
191.07258,7
191.07603,550
191.08511,6
191.0873,24
192.07674,40
192.07927,21
193.03795,9
193.05528,59
193.07373,61
193.0917,55
194.09613,8
194.89952,7
197.13195,7
198.97398,6
199.04471,69
203.03958,6
203.07595,68
204.08038,9
205.05537,34
205.09176,36
207.01955,53
207.05345,20
207.05593,8
207.07094,56
207.10734,21
209.06153,68
209.10186,6
210.99954,10
211.05878,7
211.1477,6
212.84178,6
212.85135,52
213.09659,11
213.14566,6
214.84951,12
216.95378,6
217.09176,74
219.01973,8
219.03453,9
