"m.z","int"
104.99253,24
105.00356,93
108.94278,12
109.10144,7
110.00623,301
111.007,14
112.00377,46
114.09148,12
115.05435,6
119.08566,8
120.08082,6
120.97232,10
121.03466,128
123.01395,443
123.03216,11
124.01465,42
124.93749,9
124.95322,11
125.01145,29
125.98367,61
126.96889,11
129.05225,15
130.06513,16
131.01893,16
131.08545,6
132.98717,6
133.10116,6
135.00289,248
135.05014,30
136.00616,7
136.02158,6
136.07323,14
136.94965,7
137.04062,21
137.05727,8
138.0302,95
138.93825,6
139.02694,95
140.95887,10
145.03455,10
148.9351,9
150.03026,7
151.02691,8
151.0279,6
151.04507,57
151.07291,6
151.09537,12
153.00938,79
153.02431,11
154.01019,14
155.00689,20
155.06777,23
156.97834,6
157.08345,83
158.92194,29
162.99374,16
163.04508,29
164.92046,17
165.02434,17
165.06067,23
165.06356,6
165.08858,11
167.04,428
168.04085,38
169.03755,58
169.12227,18
169.92478,11
173.93029,8
175.04514,11
177.00947,22
177.06072,16
177.08851,17
179.02267,6
179.04,8
179.07636,9
179.91693,7
180.9793,7
191.02271,7
191.03993,16
191.07641,9
191.07907,6
192.98699,7
193.09209,19
198.9742,18
199.0451,12
199.14819,7
203.07634,9
207.05403,6
207.07134,7
207.09908,6
208.00277,7
217.09218,8
221.05047,14
221.15104,6
235.13898,6
236.89774,8
253.14101,9
256.82018,6
266.87817,7
270.98573,20
279.15898,17
326.37771,6
329.02727,6
411.14453,8
423.14475,8
424.15227,9
425.16027,10
426.16822,6
437.16015,10
439.17634,17
441.15542,8
441.19168,6
450.16811,9
451.13963,27
452.14793,45
453.15504,14
455.17132,14
465.15577,19
466.16312,34
467.17134,99
468.17444,13
468.17924,8
469.16872,7
481.18667,69
482.18944,7
482.19446,29
483.16575,16
497.1816,14
513.21261,22
526.18464,11
536.43706,9
540.19996,19
541.2077,41
555.22385,38
556.22572,8
559.21787,17
571.21825,10
582.40571,20
583.40939,7
599.21332,11
613.22848,13
614.23621,198
615.23918,49
616.23373,11
629.2235,11
631.23916,6
657.41349,7
658.42193,97
659.42566,37
763.15705,8
765.96818,10
765.98327,16
766.00337,18
766.026,18
766.0348,21
766.04485,22
766.06119,26
766.07251,22
766.08759,13
766.09513,15
766.10896,10
766.12656,10
766.14039,9
766.14919,6
892.53339,233
893.53645,153
894.53009,13
894.5412,25
895.53334,12
908.52764,17
909.53015,8
