"m.z","int"
104.99251,9
105.00348,80
110.00621,119
112.00368,6
112.98518,8
116.9663,10
121.03464,111
123.01385,384
124.01463,34
125.01143,33
125.98365,8
130.06502,7
130.95705,7
131.0189,14
131.95321,71
133.03443,7
135.00277,104
135.05011,34
137.04069,20
138.03017,69
139.02691,84
150.03721,7
151.04504,64
153.00935,67
153.02428,11
154.01005,6
155.00686,10
156.01431,6
157.08341,41
158.92202,8
159.05014,8
162.99371,12
163.04504,17
164.92042,27
165.06063,12
167.03996,331
168.04081,23
169.03752,35
169.12211,11
173.05739,8
175.0451,7
177.00943,23
177.06068,17
179.05132,7
180.89428,6
184.07325,14
185.13239,8
191.03989,12
193.09204,23
196.02058,7
221.05041,10
233.1899,7
270.98566,26
271.15393,6
303.17711,25
305.21083,8
307.22645,16
325.159,7
325.20071,10
329.02716,12
359.25786,8
423.14511,22
424.15263,13
425.16063,12
426.16806,7
429.27835,8
436.15277,9
437.16053,15
438.16852,13
439.17618,24
440.1479,6
441.15526,9
441.19207,9
449.16004,6
450.1317,7
450.16794,6
451.14003,40
451.17639,7
452.1432,12
452.14776,86
452.18424,9
453.15087,10
453.15544,32
453.19205,14
454.14469,8
454.19978,9
455.17115,15
455.20742,8
461.30433,13
465.1556,46
466.16354,60
467.17117,222
468.17426,42
468.17906,12
469.16914,16
477.1917,9
480.17873,8
481.18648,181
482.18988,36
482.1949,73
483.16557,22
483.18383,6
483.19831,15
483.20209,8
497.18141,13
498.18978,9
513.21309,39
525.17624,6
526.18443,34
536.43684,101
537.44071,29
540.20049,33
541.20748,81
542.21131,10
555.22362,112
556.22705,18
557.22072,9
559.21842,27
566.41109,35
567.41456,6
571.21801,9
581.39855,6
582.40629,85
583.40914,21
599.21306,16
613.22911,24
614.23684,444
615.23982,124
616.23437,50
616.24162,11
657.41419,6
658.42163,276
659.42536,89
660.42838,8
765.51683,6
765.55701,7
765.57585,10
765.58841,15
765.59845,13
765.6085,12
765.61729,12
765.6286,15
765.63864,13
765.64618,19
765.66376,12
765.68009,9
765.69265,13
765.7027,12
765.71652,11
765.72531,13
765.73787,10
765.74792,10
765.77179,9
791.46849,7
833.51887,7
837.47462,6
891.52524,10
892.53292,617
893.53597,365
894.54072,81
895.53445,20
