"m.z","int"
104.9524,9
105.00354,6
105.07017,15
109.91702,8
112.89602,17
115.02418,10
115.05446,41
117.03987,22
117.07005,7
119.01913,88
119.08574,6
119.92496,6
120.0809,21
120.92618,20
120.97239,13
121.01658,7
121.02376,25
124.96427,13
125.96107,14
128.06216,41
128.95367,19
130.06522,65
131.01901,52
131.08563,11
133.03462,194
133.10123,8
134.03539,7
134.99885,29
135.00294,169
135.03205,12
135.05029,441
136.02153,6
136.05107,45
137.02954,149
137.0478,53
138.03023,10
138.93653,18
139.02696,7
140.93815,6
140.95898,57
141.06987,17
141.08854,8
142.94807,33
142.96682,11
143.08556,7
144.08083,6
144.92742,12
145.03463,23
146.01886,17
148.92567,22
148.93515,30
149.02333,40
149.02959,46
149.98598,6
150.03739,400
150.9769,12
151.02706,7
151.03817,32
151.04511,10
151.09552,6
152.03489,33
152.06201,6
153.00941,115
153.01636,15
154.01021,13
154.90741,34
155.00701,31
155.08553,9
155.10419,7
156.08079,8
156.91201,9
156.9331,54
157.08356,51
157.10118,7
159.05027,21
159.11688,6
160.96488,19
161.01852,6
162.94103,33
163.04514,197
163.07057,15
164.04586,9
164.90909,9
164.92064,138
164.93005,96
165.04275,18
165.06085,21
165.0699,9
166.01488,22
166.95074,9
169.10118,8
169.11995,15
169.1223,6
169.8946,24
171.09916,40
171.1168,7
172.90704,21
172.9963,8
173.06593,8
173.93041,16
174.03871,7
174.98527,10
175.08164,50
176.87534,12
177.00943,11
177.06081,292
177.08861,11
177.09714,109
178.0616,15
178.91488,32
178.93106,6
179.0584,23
179.0655,14
179.07644,9
179.09477,6
180.89439,29
180.90391,22
183.11682,6
184.07334,68
184.96607,7
185.11485,42
185.13247,13
185.96014,8
186.91209,21
188.95148,7
189.0607,13
189.92528,6
191.04024,7
191.0764,34
191.10428,28
191.11289,15
192.08421,27
193.09222,131
194.09649,9
194.8889,8
195.0897,9
196.02075,9
196.85691,20
197.03289,6
197.13245,9
198.9743,14
199.14829,7
199.16928,6
201.08867,6
202.94146,10
203.07641,14
204.91298,8
204.92272,12
204.9255,7
205.09221,41
205.12843,8
206.94796,12
207.07138,92
207.10777,8
208.07929,32
209.13258,8
210.9647,6
211.14811,10
211.91266,7
212.85175,15
212.99173,9
213.14605,42
213.16358,6
217.09213,6
218.91559,11
218.92347,10
218.93652,24
218.94882,9
219.10774,48
221.08703,12
221.85197,6
221.92545,6
222.87908,12
222.88854,7
222.92051,7
222.92189,40
223.14818,7
228.91696,6
228.9379,10
229.092,7
229.12016,6
231.10779,7
233.12351,31
234.91044,26
234.92282,9
235.10266,7
235.1392,35
235.16699,9
238.85476,7
238.89591,10
239.0891,6
239.15902,9
239.16187,378
240.16508,42
240.89731,7
240.91836,29
243.08407,22
243.88682,6
244.91175,10
244.93288,19
244.93947,6
245.06337,8
245.07861,40
245.12343,9
247.13925,10
249.15487,14
250.95491,8
253.14112,28
254.85576,13
255.13578,112
256.13917,16
256.85295,7
256.89225,35
259.07902,9
259.20565,9
260.90692,14
261.05263,13
261.14392,34
261.15493,9
262.90831,9
262.91463,8
263.85019,6
264.13193,7
265.1134,18
265.93265,10
266.91488,12
266.9291,19
269.11518,7
270.98596,61
271.1545,6
272.86617,11
275.17039,79
277.14963,7
277.16796,8
278.8823,14
278.90328,18
279.15915,15
280.86636,6
281.89215,6
281.90674,9
282.88887,36
282.90297,17
285.22151,34
286.95993,9
287.86435,6
290.15751,20
294.87725,17
294.88956,6
296.82455,9
296.88489,10
297.12066,15
298.86285,20
300.86406,8
300.8851,8
300.89964,9
301.08941,12
302.1443,9
303.16531,6
303.17751,36
305.21122,45
305.21722,12
307.22683,33
309.24215,18
310.85099,6
311.25817,22
312.81947,11
313.22231,7
313.27391,15
315.20178,6
316.85908,26
316.87145,8
317.11503,47
317.18099,11
317.22654,13
318.11838,6
322.88134,10
324.91781,6
325.14674,16
325.1596,15
325.20132,33
329.02775,28
333.24249,8
333.24826,7
337.14938,8
337.86838,6
338.84097,7
338.85539,6
341.13361,11
344.87086,8
344.89213,6
344.90618,6
345.00189,10
345.02278,14
347.14147,7
359.25787,47
360.86586,10
363.11515,10
366.8882,6
377.26868,6
382.84775,6
382.86196,6
387.03308,6
405.13662,11
411.14542,7
423.14558,24
424.15309,21
425.16109,11
426.16903,7
427.17637,9
429.27878,6
435.14512,8
436.15315,11
437.16144,24
438.13246,7
438.16889,13
439.17708,33
440.14825,7
440.18493,7
441.15616,16
449.1609,8
450.13255,13
451.14031,49
451.17667,7
452.14803,112
453.1517,10
453.15628,23
453.19288,16
455.17197,21
455.20767,7
461.30512,30
462.30822,6
464.14755,6
465.15577,46
466.16371,96
467.17133,255
467.26353,8
468.17501,48
468.17922,16
469.16929,14
475.1768,6
479.1711,7
480.17879,9
481.15087,6
481.18716,195
482.19055,45
482.19495,89
483.16623,24
483.18449,12
483.19835,11
483.20275,8
497.18199,12
498.1897,21
499.19784,10
507.24351,21
507.2557,8
509.25891,12
513.21288,50
521.4557,38
522.45885,10
523.47128,8
526.1841,39
536.43716,138
537.44028,48
540.20003,51
541.20776,121
542.21158,14
543.20543,7
547.47172,46
548.47474,13
549.4874,66
550.49062,9
551.50272,7
555.2238,101
556.22722,21
559.21935,24
561.29086,18
566.41198,210
567.41545,56
568.41756,6
569.23953,14
581.39852,8
582.40709,63
583.40994,15
587.25071,7
598.40154,9
599.21376,16
607.43567,23
609.4518,10
610.30361,6
613.22971,24
614.23743,442
615.2404,133
616.23495,44
617.23827,9
641.42008,7
657.41448,13
658.42291,374
659.42564,118
739.43827,9
741.45451,15
769.48808,7
771.27288,14
771.29066,10
771.30844,17
771.3313,32
771.34908,29
771.36178,20
771.37067,21
771.38337,23
771.39353,16
771.40877,14
771.41766,17
771.4329,12
771.44942,10
771.45704,7
786.51453,12
791.45706,37
791.47026,104
792.45988,16
792.47311,33
793.47389,21
793.48582,57
794.47524,7
794.48852,29
809.44587,8
819.50079,7
820.50445,7
825.69398,13
826.53715,10
831.42868,16
892.53412,684
893.53717,428
894.54032,96
895.53405,26
957.54009,11
957.55238,34
958.55619,9
