"m.z","int"
105.00358,13
105.07008,13
111.11701,13
115.05443,73
117.07002,12
119.01902,371
119.08563,19
120.01981,21
120.08095,20
121.01655,39
125.96104,53
128.06204,84
129.06987,26
130.0651,72
131.01889,214
131.0855,20
133.01639,13
133.03458,53
133.1011,18
134.99882,230
135.00281,38
135.05016,212
135.99968,27
136.05094,17
136.99632,49
137.02941,739
137.04063,27
138.0302,73
139.02692,96
141.06973,21
142.07764,18
142.94803,26
145.03449,142
145.1011,13
147.05008,56
147.11671,14
148.04532,18
149.02329,138
149.02944,385
149.0659,23
149.98594,44
150.03027,17
150.03724,124
151.02702,18
151.04507,122
153.00937,1029
153.0427,11
153.06986,18
154.01017,220
154.06502,15
155.00686,259
155.08537,22
156.00771,20
156.09335,17
157.08351,46
157.10114,18
159.0501,99
159.11672,16
160.04542,14
161.02938,18
162.99364,46
163.0451,126
163.99451,13
164.92047,49
164.93001,64
165.0608,323
165.07199,17
166.06151,20
167.03999,129
167.05829,13
167.99642,19
169.03766,30
169.10113,21
169.12225,22
170.97552,39
171.01688,18
171.09898,11
171.11662,18
173.13244,17
174.98522,111
175.04506,56
175.08145,36
177.00938,189
177.06077,102
177.08843,17
177.09709,102
178.01015,37
179.00694,39
179.03989,11
179.07639,73
179.08534,11
179.09458,13
183.11677,16
184.07329,19
185.1148,14
185.13242,18
187.08137,12
189.06064,22
191.03987,26
191.07635,32
191.10422,24
191.11268,217
192.08416,11
192.9893,13
193.09201,113
195.11679,11
197.13239,25
198.97424,35
199.04498,82
199.16906,90
201.06072,12
201.09706,12
203.07635,20
203.11273,14
205.09198,31
205.12855,18
207.01993,28
207.07132,39
207.10771,54
209.13234,12
210.99989,29
211.14805,17
212.99738,11
213.00089,12
213.09712,41
213.146,38
213.16371,19
217.09207,79
219.10768,93
221.05052,13
221.12341,79
221.13238,15
227.11274,51
228.06165,13
231.10773,33
231.14397,26
231.15897,15
231.17439,40
233.12344,92
235.13892,47
239.16159,803
240.16501,62
245.07832,15
245.12336,34
247.10257,23
247.13895,38
249.15456,61
253.14104,68
255.13547,29
257.01597,11
257.15966,302
258.16076,16
259.13903,16
259.15734,16
261.14385,14
261.15461,12
261.19089,11
271.15442,96
273.15464,51
275.17031,1522
276.17128,170
276.17373,127
277.16788,188
277.17444,13
277.18593,34
278.17125,11
279.15907,114
281.08713,43
285.22143,42
289.14948,59
289.18592,26
290.15743,236
291.14769,17
291.18038,13
292.15486,15
293.19614,15
297.12027,11
299.17021,42
299.18555,14
303.16522,133
303.20152,15
305.16277,14
305.21113,162
305.21713,132
306.13498,12
306.21438,22
306.21787,11
307.22641,26
309.20338,11
309.24238,17
311.25808,12
315.14994,28
315.20136,13
317.18089,275
317.22644,31
318.18423,17
323.22168,16
325.20122,258
326.20201,13
326.20445,17
327.19865,15
331.19624,14
331.23269,15
333.1609,26
333.24852,11
337.14928,277
338.1501,15
338.15268,19
339.14687,18
345.21196,40
345.22147,16
347.19121,146
348.19474,11
359.25776,98
379.16014,20
411.14529,12
423.14493,41
424.15296,12
425.16095,12
430.38013,20
435.14552,12
436.15302,12
437.16131,35
438.16875,27
439.1764,43
441.15602,12
450.13241,14
451.14017,87
452.14789,142
453.15099,14
453.15556,42
453.19217,11
455.17125,24
455.32155,34
461.30497,27
465.15562,69
466.16356,89
467.17118,281
467.26338,36
468.17486,55
468.17907,26
469.16853,17
481.18701,193
482.1904,39
482.19479,94
483.16608,30
483.19819,11
489.29899,11
497.18183,19
498.18954,17
499.19701,12
502.30057,15
507.24334,150
507.25553,45
508.24649,17
509.25875,20
513.21271,44
514.34357,22
521.31014,11
526.18393,53
536.43698,150
537.44011,56
540.19986,32
541.20759,108
542.21065,15
555.22362,104
556.22703,31
559.21838,20
561.29068,73
566.41179,105
567.41526,31
571.21869,11
582.4069,167
583.40974,52
589.42472,18
598.40134,14
599.21356,19
607.43546,124
608.43872,36
609.4507,12
613.22861,15
614.23723,446
615.2402,124
616.23474,35
616.242,12
624.46178,38
625.46487,13
629.40413,13
657.41425,13
658.42269,374
659.42541,153
660.42842,19
763.42584,12
763.43835,16
765.44186,13
769.48781,26
772.20677,11
772.21695,12
772.25257,16
772.26657,20
772.28183,17
772.29328,15
772.31237,13
772.32891,22
772.33782,17
772.34672,18
772.35818,22
772.36963,23
772.38236,24
772.39254,20
772.40908,17
772.4269,16
786.51425,84
787.51686,22
789.4542,33
789.46735,22
791.45678,463
791.46866,412
791.48186,11
792.4596,218
792.47283,179
793.45373,24
793.46301,30
793.47361,55
793.48421,66
794.47629,32
794.48823,23
807.46416,12
811.44801,22
813.46338,15
824.45449,21
837.46148,12
851.47795,88
852.48045,39
881.48827,28
892.5338,543
893.53684,356
894.5289,23
894.54,79
895.53531,13
957.55203,16
