"m.z","int"
102.12788,8
103.02417,45
105.00341,147
105.06997,9
106.00413,6
107.00084,9
109.10121,9
110.07135,11
112.89574,45
112.98504,27
114.05997,7
114.09131,25
114.89274,17
114.98216,12
115.05426,76
118.08621,7
119.01888,742
119.08541,8
120.01968,47
120.08074,42
120.97216,8
121.01642,76
121.0345,349
122.03531,19
122.05753,11
123.01371,171
123.03207,43
123.04154,7
124.01449,14
125.01128,14
125.99197,8
128.06189,89
129.05208,42
130.06497,65
130.08616,7
131.01876,652
131.08538,7
132.01959,48
133.01628,42
133.03438,96
133.10099,16
134.99863,37
135.04997,145
135.11652,6
136.00599,7
136.04521,9
136.05085,9
136.07541,9
136.99605,7
137.04046,180
137.0475,7
137.0571,29
138.03003,274
138.03253,16
138.04118,8
139.02677,332
139.03338,7
139.03629,13
139.03795,8
140.06794,67
141.06959,29
142.94781,17
143.06754,7
144.05034,19
145.03428,56
145.10089,10
146.01861,7
146.06863,10
146.11731,30
147.05,39
148.04513,8
149.05709,8
149.06561,20
149.09345,6
149.98577,13
150.0301,159
150.0326,25
150.03707,13
150.08862,8
151.02686,180
151.0449,241
151.09521,54
151.11151,19
152.02758,22
152.0457,9
152.06181,27
153.00911,622
153.01606,6
153.02403,15
153.04244,13
153.0696,19
153.08835,14
154.00991,127
154.06488,9
155.00673,170
155.06761,35
155.08524,6
155.10402,9
156.00747,8
156.0419,93
157.03439,6
157.04687,14
157.10091,7
158.04003,8
158.06594,10
158.08668,38
159.05001,59
159.09151,7
160.04521,16
161.01816,8
161.02918,13
161.04045,12
161.0934,26
162.98248,6
162.99346,61
163.04479,121
163.07269,35
164.9203,150
164.92984,24
164.99101,6
165.02418,42
165.03537,21
165.05196,23
165.06051,128
165.06968,44
166.09168,17
166.95041,19
167.05814,6
167.08528,7
167.10398,50
167.99627,14
168.04056,95
168.04314,11
169.03726,155
169.04677,24
169.05811,20
169.08326,16
169.12185,6
170.97527,14
171.01663,9
171.04991,17
171.06251,23
173.05727,19
173.06564,12
173.0782,112
173.09345,71
174.8957,7
174.98499,37
174.99515,8
175.04484,108
175.07271,10
175.10911,9
176.07649,14
177.00917,176
177.02411,40
177.0424,6
177.06042,114
177.09688,6
177.12469,18
177.1634,6
178.00995,23
178.05572,7
178.07742,6
