"m.z","int"
101.05992,7
104.10711,11
104.99245,8
107.00092,8
107.08561,7
109.10121,6
112.98509,86
114.09137,13
114.98206,9
119.08553,7
120.08078,14
121.03453,179
122.03526,8
123.0321,14
124.01459,58
125.01131,56
125.09604,7
130.06497,42
131.01877,23
133.03438,16
137.04054,24
137.04767,8
138.03261,7
139.02684,180
145.03434,10
147.07616,8
148.93487,9
149.02931,123
149.06577,9
149.09598,6
150.03014,12
151.04495,88
151.09525,13
151.11155,13
153.00926,77
155.00676,12
157.10093,6
159.05003,14
160.04522,9
162.99359,11
164.9203,14
165.06063,35
168.04068,52
169.03738,65
169.1221,24
171.11662,6
173.13218,6
175.04481,6
175.08133,6
177.00927,15
177.05437,9
179.03979,9
179.05115,7
179.05811,6
179.06507,6
179.0763,21
184.07322,106
189.0606,8
191.03984,25
191.07616,13
193.05541,6
193.09199,62
196.02037,7
198.97377,6
199.04483,10
203.07623,13
207.07122,19
207.10761,7
217.09184,25
221.05031,11
223.09615,14
231.10735,6
233.18956,20
247.10226,10
249.15427,6
261.15562,15
275.17095,7
279.15865,7
283.12491,7
285.22103,20
307.22644,24
311.2578,12
317.22587,7
325.20067,16
333.24765,6
425.1604,10
437.16081,12
439.17646,8
451.13973,19
452.14746,41
453.15057,7
453.15514,13
461.304,10
465.15526,22
466.16261,38
467.17083,114
468.17392,13
468.17812,6
469.16819,11
481.18674,83
482.1895,8
482.19453,32
483.16582,10
497.18099,11
498.1887,6
513.21263,15
526.18393,10
536.43705,46
537.44018,9
540.19995,12
541.20768,27
549.48661,14
555.22304,45
556.22646,8
566.41127,97
567.41394,36
582.40479,10
614.23606,148
615.23994,52
616.23449,14
616.24265,7
641.4188,6
657.41426,6
658.4217,138
659.42443,48
741.45366,9
763.39911,9
766.20655,9
766.2317,9
766.24553,12
766.26062,26
766.26942,22
766.27696,32
766.29331,25
766.30714,21
766.31972,15
766.33104,19
766.35494,11
766.3738,8
793.48391,6
892.53258,178
893.53563,99
894.53879,11
895.53252,7
