"m.z","int"
104.95221,29
105.99248,23
106.98884,100
109.91685,44
112.89579,15
114.09143,14
114.89279,11
120.08077,15
120.9259,16
121.03453,30
121.96623,19
122.96255,124
124.01467,43
124.96408,40
125.0113,63
128.97051,12
130.06505,28
137.04052,13
137.94006,29
138.9364,119
139.02683,108
140.93446,11
140.93783,73
149.02314,16
149.02929,35
151.04493,77
153.00924,67
156.91186,33
156.93283,106
157.12216,11
160.91826,14
162.94065,11
165.06061,16
169.03748,16
169.12207,31
171.13769,11
172.90683,25
177.05434,17
178.9147,29
179.07612,17
188.95135,12
191.07612,15
193.09195,59
194.89961,15
199.04496,19
203.07618,17
204.92528,12
211.9123,13
217.09178,13
218.91506,15
222.92156,25
223.09609,27
234.90995,17
260.90627,13
278.91677,11
279.15883,44
305.21672,31
333.24823,13
423.14466,14
439.17567,13
451.13948,44
452.14721,73
461.30433,11
465.15559,33
466.16293,22
467.17116,168
468.17425,26
481.18645,127
482.18984,38
482.19424,28
483.16553,16
483.18379,17
513.21231,20
526.1843,36
540.19959,18
541.20733,67
555.22344,47
556.22608,13
559.21744,28
582.40521,38
583.4089,14
599.21278,17
614.23651,288
615.23949,81
616.23313,34
658.42119,140
659.42492,51
767.17495,12
767.18629,15
767.20518,20
767.22156,29
767.24424,19
767.25684,27
767.2644,28
767.277,17
767.29464,11
767.30598,18
767.31354,25
767.32236,18
767.32992,15
767.34252,16
767.35008,12
767.36016,12
892.53329,333
893.53635,209
894.5284,13
894.53951,31
895.53324,12
