"m.z","int"
121.02728,9
124.0066,23
128.03458,9
131.03424,14
132.02952,8
133.04992,6
134.04649,7
137.03495,6
142.99796,37
145.06125,93
146.04526,57
149.02716,185
150.04152,6
154.01387,6
154.01738,128
163.04283,33
166.01389,7
166.05029,6
168.02962,7
171.13641,27
175.02422,19
175.06061,16
177.02205,8
189.03983,7
200.93296,7
205.07102,49
206.98586,67
207.05032,16
208.9828,7
211.97592,15
215.03231,29
226.99594,139
228.99277,39
230.15171,8
240.08724,12
241.21377,16
244.0822,31
245.04267,168
255.22969,33
259.10429,7
269.08734,7
272.19912,8
273.12025,21
273.15638,8
273.18556,29
275.2011,9
281.05126,8
301.15161,6
301.217,28
303.1309,21
306.07614,6
307.26403,9
315.13093,6
315.16709,13
316.16224,17
327.17268,6
327.23268,460
328.23586,113
329.0907,14
330.14155,81
330.17818,53
330.76193,6
341.05446,17
360.15202,10
363.20956,16
374.16755,26
374.20402,6
377.08511,34
379.08212,7
387.16315,16
401.17863,24
401.21484,16
407.2953,35
408.29809,9
417.26429,20
418.26762,6
581.36096,7
627.47617,6
629.47319,7
629.49192,6
665.32522,14
675.47662,16
743.48721,21
765.48275,28
766.19517,8
766.20145,10
766.21151,12
766.22912,13
766.24043,17
766.25175,15
766.26432,16
766.27816,17
766.29073,21
766.30582,15
766.32595,15
766.33475,13
766.35236,7
766.36493,8
766.38129,6
801.43471,66
802.43772,27
803.43047,11
803.45072,31
804.45347,6
829.4648,18
831.48095,15
855.49034,7
881.51918,9
963.48912,19
965.50464,12
966.50854,10
