"m.z","int"
115.9199,8
116.079,20
116.92774,12
119.91433,6
123.94572,14
127.07579,8
130.09472,11
131.07074,9
135.04453,11
141.09153,26
145.05009,16
145.08635,10
150.00131,9
152.97055,10
155.07089,9
155.10719,21
157.12146,11
158.9514,10
159.06563,6
159.10203,14
162.06811,6
164.08367,6
169.08654,41
171.13647,9
173.0814,9
173.11772,12
174.94631,6
179.10272,10
181.89701,6
181.93643,6
183.10211,14
183.91266,14
185.08144,9
197.08136,11
199.13345,16
205.15926,288
206.16256,18
209.11782,18
211.13338,28
211.16995,13
212.87851,13
213.14908,8
214.18895,21
218.13066,7
223.02787,14
225.18565,14
234.15764,18
239.05912,8
239.20118,18
242.22017,28
247.16996,6
250.14465,12
250.15732,8
253.21708,22
255.2301,10
269.21202,7
297.04714,6
769.63991,9
769.65889,8
769.67282,10
769.68041,12
769.69434,21
769.70193,20
769.71586,16
769.72852,20
769.73738,19
769.76144,14
769.76777,17
769.78549,10
769.79816,15
769.83741,6
769.85894,6
769.8678,7
