"m.z","int"
100.92512,20
104.92705,41
105.95742,14
109.02885,14
111.08054,15
114.93549,17
115.92008,74
116.92786,108
117.95432,63
119.04947,26
119.91449,12
119.95156,18
120.94465,16
123.04453,21
123.92377,15
123.94569,82
124.00658,11
124.9836,49
128.89972,12
131.02314,17
131.03417,12
133.93195,17
135.92066,48
136.93186,13
136.94896,18
137.03528,13
137.91789,25
138.91112,13
138.92044,11
139.07588,49
142.9499,35
148.05242,24
149.03385,15
149.97889,27
150.00852,39
150.04163,55
151.00597,18
151.07597,21
151.91879,15
152.92642,31
154.91528,16
154.92763,38
158.92469,29
159.12681,23
159.12966,31
160.06104,12
164.93878,33
165.05538,17
166.03985,40
166.0434,11
167.03725,13
167.91356,35
168.89876,21
170.02769,15
174.94628,14
175.02422,17
177.06647,14
179.07077,13
179.92621,29
180.9066,12
181.07116,89
182.90506,42
184.14141,15
184.89389,21
184.92072,20
185.90139,19
186.12098,31
187.06025,11
188.85804,25
189.12791,13
190.91812,21
193.08652,29
193.85998,21
194.90561,37
195.10193,13
196.8946,17
197.89228,32
198.15727,43
198.91752,70
199.85088,15
200.87114,14
200.93326,14
202.86807,12
203.84528,40
203.86805,17
204.11471,15
205.08633,12
205.86092,52
205.86652,18
205.90505,16
207.10207,11
208.09725,13
208.9828,14
209.85527,39
212.05902,17
212.17331,16
212.87864,33
213.11306,34
214.88286,12
215.16475,29
217.04815,136
218.16716,15
219.04478,41
220.17851,12
225.02498,25
226.89447,25
227.12888,18
232.96162,13
235.13362,25
239.16487,23
240.20411,21
241.14442,20
241.88139,26
243.2233,39
251.14778,32
253.89404,19
256.86903,12
264.1602,64
265.21714,20
267.19678,11
268.88158,17
271.86086,14
272.84573,11
274.83374,15
279.23257,16
283.22739,15
283.80135,13
288.2312,20
290.86589,13
293.78629,11
294.84836,13
297.24368,21
300.86639,38
301.21693,31
305.85303,14
311.29525,11
313.07813,19
323.81941,13
327.23308,18
328.76432,23
330.76235,25
334.90934,21
341.82997,14
371.13728,12
394.88911,11
592.8369,12
629.34915,12
630.35376,33
743.4884,20
765.45773,18
768.32838,32
768.35868,39
768.49506,14
798.45856,14
800.46873,11
801.43631,12
826.48355,18
827.49305,14
829.46661,16
929.52597,34
930.52812,22
962.53004,21
965.50405,49
966.50796,35
967.50629,17
