"m.z","int"
111.04429,11
116.079,46
117.95449,18
120.95393,15
122.975,12
124.9836,24
127.07578,18
129.00375,41
130.09479,24
132.98371,49
135.0446,31
136.93947,19
136.94898,60
141.0915,38
145.05005,13
149.97904,13
151.93612,32
152.99528,71
153.09159,18
154.94681,14
155.07083,12
155.10724,42
159.10208,23
161.94432,23
163.07596,14
168.89891,21
169.08645,41
171.00585,132
171.13651,13
172.10553,13
172.95745,19
173.08144,17
177.09152,12
179.10276,36
183.10214,34
184.89383,12
185.90161,25
187.09702,17
191.10719,17
194.9396,23
197.08138,23
199.13347,40
205.15927,61
211.0372,56
211.13357,32
211.16995,39
212.8785,14
213.14926,21
214.18894,30
219.17491,11
223.02805,19
225.00704,37
225.18563,53
227.19916,12
234.15761,25
239.0593,11
239.20136,11
241.00203,17
241.18046,11
242.22012,42
245.04287,11
247.17014,60
249.18572,27
250.1446,13
251.20151,67
253.21702,261
254.22042,26
255.23004,12
267.19647,23
269.2122,31
283.04916,58
299.04412,69
301.21728,306
302.22085,40
407.22045,15
409.23604,25
437.20993,13
481.25748,61
483.27293,161
484.27593,40
499.26729,12
527.25261,49
737.45168,72
765.47165,21
767.48701,68
768.49009,18
771.35112,17
771.4413,18
771.50481,13
771.58105,15
771.58994,13
803.45057,14
811.46776,18
859.46862,14
