"m.z","int"
113.01369,13
117.01852,12
117.95437,22
121.02721,11
122.97501,41
123.04441,17
124.98354,59
126.98806,11
129.00373,141
131.03426,37
137.03506,13
138.9203,17
139.02957,34
142.94984,20
143.03438,12
143.99084,13
144.04484,18
145.94959,11
147.01123,19
147.97078,16
149.97891,23
151.07587,24
152.93596,12
152.97857,15
153.99905,21
154.01162,12
156.99868,127
159.96513,25
162.96476,14
163.02953,18
164.98043,15
166.99432,39
168.02965,12
171.0144,65
171.13644,35
172.00966,33
180.95812,11
183.00409,13
189.97588,16
192.97549,40
193.08647,16
194.97252,16
197.00498,31
200.00448,19
201.0249,177
203.00423,30
209.01187,13
213.11273,18
214.0203,23
225.00715,35
226.99275,12
230.15177,12
231.13859,83
232.96157,27
235.13334,14
237.00172,135
238.00249,11
238.99866,35
241.00187,21
241.21383,22
243.19622,17
247.03071,35
252.20476,21
253.14436,22
253.21386,12
255.22976,57
267.19629,74
270.21544,11
271.22764,82
279.15981,22
279.23255,17
283.04912,35
288.23026,15
291.05706,89
295.26411,19
297.24326,18
299.04392,63
301.2171,71
309.27991,23
313.19127,12
317.05443,13
317.21213,32
319.19147,28
323.25886,23
325.27463,25
333.20703,20
337.21511,31
345.20706,16
347.18635,12
347.2435,11
360.25146,31
362.26728,61
363.23064,93
363.27046,11
365.22769,16
365.24631,195
366.24943,24
367.24334,29
373.20156,11
373.25927,44
375.27505,114
387.2749,11
389.29066,20
391.26989,33
417.28571,133
418.28912,20
419.30125,210
420.30479,33
481.25702,97
483.27249,68
487.27016,13
503.20878,16
517.22455,26
518.23232,20
519.24024,19
525.23788,35
527.25327,291
528.25667,51
534.22716,14
546.26383,16
547.27116,54
548.27519,14
553.26836,12
555.28444,200
556.28727,33
557.4785,14
563.26651,35
579.26121,21
581.47851,16
583.49458,38
585.19959,15
585.21134,27
585.51024,26
591.26129,163
592.26407,49
607.25572,26
609.39318,35
613.23099,19
615.21099,12
627.23903,21
629.22649,12
657.41636,91
658.42483,120
659.42759,50
663.44846,45
664.45156,11
673.41172,32
681.29383,63
682.29753,14
693.39309,149
694.39653,60
695.3902,38
696.39471,11
699.23169,25
703.26317,29
703.42242,89
704.42555,29
709.3873,12
717.4372,11
737.45177,23
738.45483,12
747.448,310
748.45211,137
748.61723,19
749.45581,25
763.44332,40
765.61392,11
765.83878,15
765.84757,20
765.85888,13
765.87019,17
765.87899,14
765.88778,12
765.89784,17
765.90538,20
765.92422,17
765.94182,23
765.98078,14
765.99083,12
766.00089,13
865.43874,21
924.52594,32
925.53002,33
927.50458,152
928.50681,85
929.50059,47
930.50438,25
937.53409,38
938.53558,21
981.56079,255
982.56428,211
983.56748,37
997.55466,14
