"m.z","int"
129.00364,15
156.99855,15
171.13616,12
180.90659,11
198.91708,19
200.93298,14
201.02487,15
208.98264,13
243.19594,32
249.18558,171
250.18879,25
255.2297,21
263.16472,20
265.1805,25
267.19622,380
268.19956,39
270.21511,42
275.20112,16
279.23247,13
283.1911,17
299.04384,29
301.21702,326
302.22028,74
315.1963,32
317.05433,11
317.21203,66
327.2327,18
333.20692,36
334.2359,23
347.24338,21
360.25133,88
363.23051,90
365.22714,13
373.25913,72
375.23828,13
387.2752,15
391.24863,11
391.26973,41
413.25397,14
417.28553,162
418.28844,17
419.30107,12
481.25678,27
521.25193,51
523.24937,12
525.28328,19
527.25299,41
531.28095,20
549.23742,16
555.28412,121
555.46259,42
556.28774,15
575.30649,93
576.30994,25
579.33858,31
581.47817,16
613.24322,12
731.44977,12
737.45124,23
747.44746,15
753.43516,17
763.46527,19
765.4702,19
765.87968,16
765.89476,14
765.90984,15
765.92115,16
765.9312,18
765.94125,14
765.95131,26
765.9689,12
765.98398,16
765.99655,21
766.01038,14
766.02295,11
785.50445,36
787.49993,22
807.48932,28
808.49146,16
813.53576,25
981.55991,16
