"m.z","int"
107.04944,21
108.98779,22
111.04439,46
113.02364,11
115.02015,20
116.04271,14
116.07903,163
117.05494,24
117.95452,76
119.95158,30
120.98883,26
122.03663,17
124.98372,183
125.06013,14
125.09654,27
125.98456,11
126.98118,13
127.03939,19
127.07582,124
129.00388,17
130.05842,18
130.09483,106
131.03439,14
131.07076,64
133.93222,19
134.97265,13
135.04464,102
135.92082,36
136.05244,14
136.93961,23
136.94911,13
136.97144,13
137.02382,14
139.02973,17
139.07591,16
139.97087,22
140.96147,29
141.05528,22
141.09164,132
141.99924,16
142.94997,113
144.04496,34
144.9469,27
145.0501,41
145.08645,46
146.02425,14
146.97001,25
149.06027,45
149.09664,11
149.95981,14
149.97909,142
150.0013,28
150.97997,13
151.07592,31
152.03481,42
152.97884,13
153.09163,99
153.99919,19
154.9153,14
154.94697,142
154.95943,37
155.07088,57
155.0821,25
155.10729,186
155.94854,11
156.96266,19
157.97916,17
158.08987,18
158.9275,30
159.06573,29
159.10213,59
159.83468,11
160.96918,29
162.06808,11
163.03959,17
163.07601,61
163.98737,15
164.08377,13
164.98362,26
165.05513,11
165.09159,41
165.95666,23
166.05036,14
166.99435,27
167.07075,11
167.10725,26
168.89896,31
169.0865,197
170.94189,19
170.97078,25
171.0059,11
171.06584,16
171.1367,41
172.10558,19
172.9575,246
172.97004,49
173.08136,47
173.11781,28
173.957,24
174.95436,11
177.05525,16
177.09157,66
179.07084,19
179.10281,129
181.08652,66
181.12293,16
182.95906,30
182.97447,23
182.99428,15
183.00675,11
183.06577,12
183.10219,131
183.88599,16
183.91275,11
184.89388,16
185.06033,20
185.08138,60
185.90182,45
186.96576,14
187.09708,49
188.98128,11
191.1074,42
191.92304,13
193.08655,17
193.96678,14
194.09432,11
194.93966,50
195.10225,34
195.13861,39
197.08143,84
197.11785,18
197.95778,25
198.95206,15
198.95406,138
198.96654,40
199.09721,31
199.13369,66
201.1128,19
204.94104,13
204.97618,17
205.12293,20
205.15933,14
207.10225,17
208.98296,11
209.11789,60
211.13363,181
211.17001,71
212.87875,12
213.11298,19
213.14932,59
214.18901,80
215.98069,14
216.94189,11
216.96462,19
216.97713,47
219.17517,31
219.96329,17
220.93604,43
221.1178,27
223.02812,77
223.1336,23
223.94756,13
225.1857,85
226.96836,12
227.16492,20
229.18063,23
231.17515,15
232.92456,148
232.93699,54
233.92397,18
234.15767,58
239.05937,17
239.12863,56
239.20143,47
241.18053,42
241.21384,12
242.22042,111
242.96119,21
242.97377,15
247.13382,16
249.14942,11
250.14467,72
250.15733,24
250.94757,17
251.12867,15
251.20135,183
253.14449,26
253.21446,42
253.21709,2320
253.93406,14
254.22049,304
254.90674,22
254.91181,16
255.23011,18
257.17577,19
258.93367,15
260.92915,14
260.9494,14
263.12888,23
264.16052,13
264.94342,13
267.1238,11
267.19654,45
268.80109,13
269.21228,148
269.89916,15
274.83474,12
274.89363,11
275.12886,34
276.89698,11
276.909,14
276.93195,44
276.94425,47
277.14436,98
279.16024,30
281.1395,32
281.24852,44
284.26768,19
285.20738,22
292.89177,18
292.90426,43
292.91674,12
293.13947,17
294.91972,11
297.04708,22
298.91916,14
298.9262,18
302.9408,24
307.15517,11
310.9026,12
310.91462,11
314.87929,11
314.88591,14
315.19653,192
316.20015,19
317.21225,58
318.8882,11
318.90069,31
319.19158,23
320.91597,16
321.17072,27
325.12935,12
329.17615,66
330.04497,11
331.19149,260
332.19498,38
333.20736,100
334.23634,58
336.91128,22
337.21541,13
345.17079,69
347.18656,124
349.16588,12
349.20224,23
352.87088,15
358.89337,21
360.25196,140
361.16578,53
361.25531,11
362.26736,117
363.18147,109
363.23071,57
364.18473,11
365.19712,38
365.22815,15
365.24636,40
370.86898,22
377.16033,13
379.1763,29
380.88304,16
381.1917,21
392.86393,13
396.87792,18
402.02731,11
481.2576,20
483.27306,261
484.27669,22
499.26809,21
523.26833,28
525.28377,53
527.25346,63
527.2994,27
555.4636,44
557.47841,14
581.479,49
582.48197,11
583.49423,51
658.42461,11
693.39466,14
737.45187,23
770.97171,11
770.98313,17
770.99328,12
771.00344,13
771.0174,21
771.03517,23
771.04405,26
771.07325,23
771.08594,22
771.09229,23
771.10625,21
771.12021,17
771.14433,13
927.5042,17
