"m.z","int"
104.97965,11
105.97483,20
113.01367,24
114.03424,26
114.97537,16
115.02948,69
117.02011,293
117.95447,137
119.95172,54
120.95396,61
122.97515,13
124.98379,147
124.99075,177
125.98448,13
126.98129,17
129.00377,31
131.02337,61
132.03103,12
132.94162,18
133.93219,11
134.04658,63
134.96995,23
135.92092,118
136.94923,14
137.01424,14
137.91778,79
138.03424,27
138.92033,132
139.02989,132
139.97115,30
140.91763,57
141.04545,28
141.99926,22
142.9498,185
143.95087,18
144.94717,83
144.95421,62
145.94968,101
146.04548,11
146.95164,12
147.94688,15
148.94924,14
149.97925,188
150.97994,16
151.8983,17
151.98357,15
152.93622,24
152.97884,17
153.89514,12
153.99933,16
154.01156,20
154.01746,72
154.89785,32
154.91523,94
154.92803,162
154.93306,11
156.91238,25
156.92496,41
156.93615,70
156.99865,19
158.92512,18
158.95173,223
159.96547,55
161.94454,42
161.96214,14
162.96489,21
163.03004,45
163.91576,18
164.02531,15
164.95634,15
165.0453,58
166.04034,19
166.99424,56
167.01266,72
171.01461,12
172.01015,20
172.93079,46
173.10403,13
173.93879,17
174.94629,405
175.02424,20
175.94597,32
178.97254,23
180.90722,24
182.97435,18
189.04536,46
189.93362,24
189.97584,17
192.97594,18
196.92878,39
197.00483,12
198.91763,37
200.92123,35
200.93339,32
201.02528,21
202.92372,63
203.94001,14
206.99131,11
207.97005,12
208.97294,21
208.98297,174
213.04539,15
214.0407,11
215.06095,14
216.90284,11
216.91042,24
218.9182,162
225.00682,100
226.99608,14
228.95678,11
232.89785,14
232.90544,14
234.91348,360
235.91308,27
236.91042,12
236.92858,18
237.00125,13
249.18523,21
250.90862,15
252.92444,31
253.8091,29
253.89926,15
256.89583,36
258.88558,24
260.90153,30
262.89057,11
265.92168,13
278.88605,85
278.91256,18
278.93023,53
283.04951,57
292.94573,17
294.88028,128
294.9067,29
295.8807,12
296.89592,49
299.04387,40
301.21768,135
306.93488,35
312.89121,71
313.17621,14
320.86694,13
321.17383,80
321.67536,18
322.18217,106
322.68331,27
334.87259,29
335.18961,135
335.69078,29
336.86213,13
338.87833,49
340.86791,20
348.91749,16
354.87362,119
355.87289,14
356.86201,47
364.91231,41
371.8688,40
372.85709,53
392.85164,17
394.84046,16
396.82942,13
398.84667,15
414.84112,35
430.8359,18
479.32083,16
492.81856,18
508.81339,17
534.7736,19
550.76948,25
552.76112,14
658.42292,17
667.3551,18
691.45561,12
693.36967,20
719.48718,24
737.45022,576
738.45805,175
739.45364,16
753.43424,11
761.45239,151
762.45492,27
763.46942,562
764.47092,173
765.47439,347
766.00201,24
766.03217,28
766.05731,27
766.10759,47
766.47481,69
767.47719,67
769.48785,23
785.45417,153
786.4574,41
789.48394,33
791.49726,337
792.50152,119
800.47058,66
802.48837,19
803.44882,420
804.45427,166
805.46704,162
806.47085,43
807.46567,28
813.47888,72
814.48118,23
815.49638,33
857.50528,108
858.50654,23
859.52152,57
969.53232,33
