"m.z","int"
111.04429,32
113.05995,11
116.04261,16
116.07901,156
117.05492,20
117.95443,19
124.98362,19
125.09644,31
126.90434,19
127.0758,88
130.05841,20
130.09482,94
131.07067,46
135.04454,84
136.93951,11
136.94901,14
141.05518,13
141.09154,125
142.94987,15
145.0501,67
145.08646,49
149.06017,31
149.09654,15
149.97899,12
150.00131,25
151.07594,15
152.03471,32
152.99523,19
153.09154,63
154.91509,14
154.92767,22
155.0709,28
155.1072,166
158.0899,33
159.06576,23
159.10204,49
162.06811,19
163.07591,38
164.08367,17
165.0915,24
166.0504,17
167.10715,16
169.08641,167
171.00595,35
171.06575,18
171.13661,23
172.10549,21
173.0814,50
173.11772,36
177.09148,47
179.10273,98
181.08643,22
183.1021,104
185.08144,51
187.09699,41
191.10732,33
195.13853,23
197.08152,48
197.11794,24
199.09714,33
199.13345,54
201.11272,11
201.17665,23
205.12285,11
205.15926,583
206.16273,52
207.13858,12
208.9827,14
209.11781,57
211.0372,22
211.13356,152
211.16994,60
213.14925,46
214.18894,97
218.13084,18
219.17491,26
223.02785,96
223.13353,14
225.00704,86
225.18564,82
227.16486,20
227.19896,14
229.18037,25
231.17488,16
234.15762,77
237.18568,18
239.05932,57
239.12836,15
239.20116,45
241.18048,15
241.21379,15
242.22037,86
243.01773,12
247.16994,70
249.18575,19
250.14463,51
250.15729,47
251.20131,37
253.21705,132
255.19648,16
255.23008,20
269.21225,23
270.25199,16
283.04923,74
284.26739,19
297.04709,158
298.04665,15
299.04421,63
301.21738,68
315.05794,13
330.04466,58
371.06606,66
404.0638,11
658.42436,23
719.48771,28
737.45166,50
751.4202,12
759.43702,14
761.45224,68
762.45599,25
763.46799,148
764.47072,42
765.47166,109
766.47457,34
767.47441,27
769.93445,11
769.94838,20
769.95978,13
769.98638,20
769.99525,23
770.00411,18
770.02312,11
770.03325,16
770.04212,23
770.06619,18
770.07506,14
770.09913,12
785.45098,41
786.4542,17
789.48329,12
791.49922,44
792.50214,20
800.47242,75
801.47497,32
803.45061,67
804.45335,30
857.5063,18
