"m.z","int"
102.0632,14
103.03916,7
104.9797,10
105.9596,11
105.97487,16
107.04942,39
107.94399,23
107.94625,16
109.0286,11
109.94329,7
110.92528,185
111.01919,18
111.0443,67
111.92611,10
112.01848,10
112.92232,108
113.01379,82
113.02362,18
113.06003,34
113.99775,8
114.00908,10
114.0342,60
114.91949,9
114.97546,79
115.02949,96
116.04261,25
116.07901,194
117.00365,28
117.02001,77
117.05492,49
117.9545,600
118.02927,7
118.94136,914
118.95528,36
119.04956,25
119.95156,118
120.93714,25
120.94447,39
120.95244,11
120.95402,113
121.02731,13
121.06521,14
121.94921,17
121.9548,9
122.0366,31
122.95165,9
122.97509,261
122.98463,23
123.04441,14
123.92388,6
123.99965,8
124.01586,11
124.98369,699
125.0601,17
125.09651,50
125.91255,14
125.98453,72
125.98704,9
126.90297,48
126.90433,32
126.98123,59
126.98802,7
127.03936,26
127.07579,169
127.11214,10
127.90958,11
127.95136,10
127.98337,26
128.90011,31
129.00376,134
129.04529,15
129.89235,60
130.05839,38
130.0948,127
130.95312,7
131.00128,6
131.02333,10
131.03436,12
131.07073,89
131.88943,74
131.99087,6
132.88567,173
132.94172,88
132.9838,174
133.06521,14
133.88653,12
133.93219,81
133.94257,7
133.98458,31
134.04676,14
134.88277,9
134.88333,18
134.91537,10
134.93879,14
134.96992,35
134.97522,62
134.98136,35
135.0446,202
135.08099,7
135.92079,315
135.92924,22
135.94127,27
136.016,12
136.01883,18
136.05241,30
136.91716,16
136.92162,26
136.93179,19
136.93958,422
136.94908,304
136.95212,40
136.9908,15
137.01409,38
137.02379,27
137.0351,10
137.06031,6
137.9179,195
137.94037,29
137.94988,22
138.03445,37
138.91082,15
138.91868,13
138.92033,146
138.93538,8
138.93712,35
138.94664,20
139.02241,14
139.0297,172
139.07587,23
139.91489,13
139.92117,12
139.97093,116
140.02494,17
140.0331,15
140.05009,14
140.91749,33
140.96143,50
141.04531,24
141.05514,26
141.0916,220
141.89022,11
141.96871,8
141.9991,64
142.94993,571
143.02463,8
143.94637,12
143.95077,50
143.95343,6
143.99092,12
144.04492,7
144.07413,20
144.86919,124
144.94696,138
144.95441,25
144.9572,7
145.05005,110
145.08641,108
145.11139,12
145.94798,18
145.94955,256
146.02421,32
146.8663,102
146.94462,15
146.95032,20
146.97007,135
146.98254,37
147.94713,26
147.97093,37
148.8633,28
148.91942,19
148.94916,15
148.96705,17
148.97956,7
148.99088,16
149.02387,23
149.06022,78
149.09659,18
149.97915,421
150.00137,76
150.00855,9
150.91638,6
150.95002,68
150.97993,41
150.98257,8
151.00578,7
151.07588,34
151.89849,75
151.92668,43
151.93623,91
151.94878,9
151.97676,44
151.98365,14
152.03476,73
152.91723,37
152.93606,18
152.97071,14
152.97879,36
152.98586,68
152.99528,186
153.04555,12
153.05521,13
153.09159,132
153.89542,54
153.90764,6
153.99914,85
154.01183,9
154.0175,77
154.89799,37
154.90576,501
154.91525,271
154.92783,265
154.9332,14
154.94692,41
155.00148,521
155.07083,73
155.10724,272
155.90659,45
155.91605,20
155.94861,15
155.97852,10
156.0149,13
156.11049,8
156.8865,8
156.89513,7
156.90142,6
156.9027,120
156.91225,61
156.92484,73
156.98627,9
156.99875,13
157.05008,12
157.94733,17
157.97923,65
158.08982,40
158.90025,9
158.905,7
158.92757,65
158.98008,11
159.02929,6
159.06568,57
159.10208,121
159.12719,9
159.12957,24
159.83463,25
159.9443,6
159.96529,94
159.96817,8
159.97668,11
160.01892,6
160.84147,11
160.9247,13
160.93656,8
160.97881,6
161.01405,8
161.04507,11
161.83258,7
161.92709,12
161.93491,110
161.94444,215
161.9569,44
161.96228,11
162.03452,25
162.06803,15
162.83855,19
162.94529,18
162.95528,78
163.02966,58
163.03954,20
163.07595,60
163.91575,65
163.93242,13
163.942,13
164.02504,24
164.05032,10
164.08371,51
164.93621,18
164.944,19
164.9764,23
164.98582,77
165.04539,49
165.0552,14
165.09153,51
165.91263,10
165.93708,9
165.95673,17
166.03978,19
166.04066,11
166.05043,34
166.92766,10
166.93328,6
166.9783,7
166.99442,65
167.01271,67
167.03716,17
167.07082,26
167.10719,60
167.14344,6
167.87089,13
167.95783,6
168.02961,14
168.91621,28
169.08644,333
170.02755,6
170.08974,10
170.12618,16
170.88328,76
170.89281,47
170.91334,14
170.93679,10
170.94474,44
171.00597,139
171.01459,15
171.06578,45
171.13663,81
171.96532,37
172.00971,21
172.10551,57
172.88019,13
172.8899,10
172.92589,8
172.9662,17
173.08143,103
173.11775,71
173.14273,16
173.14516,15
173.95667,17
173.98088,8
174.89998,7
174.96486,8
174.99436,13
175.94281,9
175.9453,78
176.90025,216
176.9322,10
176.94169,94
176.94629,18
177.04541,10
177.05518,26
177.09164,116
177.92222,8
177.94234,51
177.96598,10
178.89617,8
178.8973,51
178.91305,12
178.93518,14
178.93944,7
178.94497,26
178.95023,22
178.95973,25
178.97222,15
178.99451,36
179.00147,13
179.01098,12
179.06097,6
179.07078,6
179.10274,86
179.10729,19
179.89315,9
179.9458,6
179.95496,12
180.06622,9
180.92143,96
180.93384,10
181.01005,11
181.08659,48
181.12286,40
181.99421,7
182.9185,18
182.94681,37
182.97439,70
182.99641,41
183.01446,11
183.0657,13
183.10212,208
183.91267,7
183.97524,18
184.14178,7
184.89396,12
184.94375,18
184.97208,21
185.06026,51
185.08145,135
185.91001,7
185.94202,7
186.12118,15
186.8822,7
186.89098,7
187.0298,17
187.09715,119
187.13342,69
187.9506,50
187.96022,6
188.02517,6
188.05024,7
189.0456,42
189.97591,29
190.04081,11
190.89199,11
190.93249,9
190.95017,21
190.95971,9
190.97457,19
191.06128,7
191.07099,7
191.10732,81
191.92295,22
191.92894,21
192.8889,7
192.9194,8
192.96579,20
192.97549,32
193.08646,8
193.12289,6
193.91161,26
193.9201,10
194.08173,10
194.09424,10
194.89828,11
194.90779,48
194.93022,69
194.93974,187
194.98138,6
195.13852,80
195.90858,26
195.93102,11
195.93248,19
195.94061,33
196.01006,9
196.89891,11
196.90154,9
196.90497,11
196.91104,20
196.92578,10
196.92775,14
196.93725,51
197.0051,7
197.01215,15
197.08135,95
197.11777,53
197.92104,13
198.89875,6
198.90507,79
198.90823,25
198.92386,12
198.95214,17
198.97643,6
199.09713,86
199.13344,207
199.90601,6
199.91589,7
200.13694,6
200.17606,6
200.9206,21
200.94069,49
201.11271,54
201.14906,8
201.1741,18
201.17663,32
201.92762,27
201.93698,90
201.94157,11
202.93777,30
203.90822,20
203.93067,9
203.93446,8
203.94016,44
204.96583,19
