"m.z","int"
107.04935,8
111.04429,16
113.02361,8
115.02933,6
116.079,68
117.01985,6
117.05491,8
117.95441,42
118.94127,35
119.04939,6
119.95147,15
120.95401,10
121.0273,8
122.03659,12
122.975,7
124.9836,34
125.0965,15
126.9044,27
127.03935,11
127.07577,54
129.00375,10
130.09478,62
131.07072,27
134.04665,7
135.04459,69
135.92068,27
136.05239,6
136.93946,106
136.94906,12
137.02377,7
137.91778,10
137.94026,12
138.93701,7
139.02239,6
139.02968,8
141.05513,7
141.09158,136
142.94991,36
144.94684,7
145.05004,38
145.0865,38
146.02409,8
146.96995,16
149.0602,27
149.95975,8
149.97902,19
150.00134,20
151.07586,11
151.92655,10
152.03474,41
152.91709,7
152.93604,6
153.09156,70
154.90563,102
154.91523,11
154.9278,18
154.9469,14
155.07081,20
155.10722,130
155.90645,7
156.90256,21
158.0898,11
159.06577,17
159.10218,46
159.12954,7
159.83461,6
160.96898,6
161.93476,22
161.94429,9
161.95688,6
162.06813,13
163.07593,27
164.08356,6
165.09151,25
166.0504,15
167.10716,11
169.08654,169
170.9418,8
171.00581,7
171.06575,10
171.13647,10
172.10548,18
172.95741,59
172.96981,6
173.08126,32
173.11772,30
173.14514,6
173.91189,8
173.95704,10
176.92589,8
176.93538,12
177.05515,8
177.09161,47
179.10271,90
180.9214,8
181.08656,42
181.12297,8
183.10208,64
185.06022,6
185.08142,70
187.09711,58
187.13338,12
191.10728,44
193.08627,6
194.09436,7
194.89808,8
194.93002,11
194.93954,23
195.13865,27
197.08147,58
197.11773,13
198.90786,7
198.95376,11
199.09708,31
199.13356,67
201.11283,18
201.17642,6
205.12296,10
205.15937,187
206.16266,8
208.98281,10
209.11792,109
209.15432,9
211.0373,7
211.13348,59
211.16986,68
212.86461,7
212.8786,7
212.89628,12
213.14917,72
214.18885,91
216.90897,16
218.13075,22
219.17501,19
220.93588,17
223.02795,36
223.13363,14
225.00694,44
225.14927,6
225.18553,53
227.16475,20
229.14405,6
229.18045,9
231.17497,21
232.92438,20
232.93681,7
234.15749,52
236.1413,11
237.18554,10
237.89158,16
238.87828,6
239.05918,10
239.12844,18
239.20124,35
241.0019,7
241.18056,19
241.21365,10
242.22022,120
243.1234,11
243.15981,6
244.92089,6
247.17001,71
248.17334,8
249.14944,8
249.18582,8
250.14469,66
250.15712,17
251.20137,23
253.21711,343
254.22052,36
254.90652,6
255.1963,9
255.23014,23
257.17579,6
264.16029,8
267.23307,8
269.21229,17
270.25177,8
276.93169,7
276.94399,6
278.88394,13
283.04925,31
284.26741,14
287.90425,7
292.90397,7
297.04709,39
299.04421,24
300.04771,7
301.21737,661
302.22062,112
315.1962,6
318.87672,17
327.23283,16
330.0446,7
333.20735,11
337.1941,9
362.82186,6
380.83232,12
392.8505,6
401.27279,9
405.26766,14
415.25252,16
417.26797,133
418.27131,13
420.82472,7
475.22663,9
483.25972,9
483.27294,11
516.25742,6
519.23685,25
521.22268,73
522.22588,9
527.25331,12
537.21752,6
555.18336,77
557.18026,8
573.28372,6
603.44134,6
607.33206,25
658.42433,9
737.45149,36
738.45454,8
763.46776,28
764.47049,6
765.47143,6
767.47543,12
767.48804,8
770.76193,6
770.77081,6
770.79872,9
770.8076,8
770.8317,8
770.8482,9
770.85835,12
770.8685,12
770.87865,18
770.89514,14
770.90657,12
770.92179,21
770.93448,18
770.94717,13
770.95733,14
770.97763,13
771.00555,13
771.02332,10
771.03855,11
771.05505,8
800.47212,12
801.47466,11
803.4503,53
804.45439,17
811.46748,8
865.44144,8
