"m.z","int"
101.02349,18
109.02411,17
109.02863,18
111.00787,11
111.01911,20
111.08065,10
113.09632,15
114.01883,6
116.07089,43
117.00355,18
117.01848,8
119.04947,18
120.95394,12
121.02724,29
122.97496,34
122.9845,28
123.00803,10
123.03295,6
123.04436,16
123.0807,8
124.01581,18
124.98357,10
125.02359,10
126.98792,10
128.03463,10
128.07896,6
129.00368,57
130.08663,15
131.03429,85
131.05919,6
132.02957,6
132.0741,7
136.94897,46
137.0002,7
137.035,42
137.06011,12
139.02242,18
139.03942,17
139.07578,35
140.04726,6
141.1279,53
142.09479,17
143.03432,24
143.99087,6
144.99866,10
145.06131,24
145.11125,7
146.04532,54
146.05338,10
146.0898,9
147.01126,26
148.05237,26
151.07579,37
151.93604,7
152.92646,7
152.98568,7
152.99521,223
153.00609,9
153.05514,11
153.99908,6
154.01393,52
154.01744,123
154.06289,6
154.09487,7
154.91509,18
154.91817,14
154.92766,35
155.00143,489
156.00481,6
156.11045,7
156.92469,6
156.9972,18
156.9986,23
157.05005,45
157.08506,6
158.12893,6
158.9247,212
159.0143,9
159.02928,8
159.12694,30
159.12944,20
161.94421,8
164.94379,16
165.05499,15
166.01383,20
166.03983,29
166.05036,17
167.01253,28
167.01944,18
167.03428,10
167.0371,9
168.02956,34
168.0426,6
168.89885,30
168.99871,18
169.05004,12
169.15916,12
170.08971,12
171.00582,236
171.01444,10
171.09999,11
171.13648,153
172.13977,9
172.14473,8
173.1426,20
173.91179,14
174.0846,13
175.02416,32
176.92582,6
176.9353,22
177.06625,11
178.89594,8
178.95951,15
179.07069,10
180.02962,16
180.06614,6
180.90665,300
182.92226,39
182.99635,13
183.00413,8
183.06565,24
184.10545,9
184.89362,19
185.90157,11
186.12101,27
188.10024,7
188.10467,6
189.03991,7
191.0192,105
191.0707,11
192.97521,7
193.08635,22
195.10191,9
196.88066,8
198.08466,6
198.08913,7
198.15741,11
198.90468,20
198.91732,1045
199.0606,8
200.13673,8
200.17601,7
200.92039,11
200.93288,301
201.02494,8
202.12046,29
203.99144,8
204.00388,17
204.115,10
205.08644,12
208.09717,7
208.97322,113
208.98272,37
209.01191,7
210.90951,9
210.95383,8
211.03723,73
211.09704,15
211.97602,15
212.96014,30
213.01653,19
213.07626,7
213.11259,18
214.88237,7
214.89115,36
214.95728,9
215.03241,29
215.16463,15
216.13622,8
216.89796,12
216.90686,7
217.02926,7
225.007,190
225.98585,7
226.99604,48
227.03214,45
227.1283,13
228.20726,6
228.85325,7
228.99309,17
229.20545,7
230.15182,148
230.85452,10
230.99911,31
231.8624,8
231.99998,7
232.87037,7
232.89291,6
232.90176,23
233.15188,17
235.13339,17
238.89097,18
239.16461,10
240.05847,6
240.20451,10
241.00192,73
241.14394,6
241.21366,67
242.90244,7
243.01761,33
243.22347,12
244.16757,16
244.86573,30
244.93753,8
245.04279,96
245.84181,8
247.85757,24
247.94041,7
248.86557,6
249.18568,23
253.14417,7
253.18047,7
253.21391,6
255.22957,91
256.23282,9
257.21192,6
257.23687,10
258.99442,15
259.0221,6
260.19879,6
260.84346,70
262.87629,12
262.88892,7
264.89181,11
265.21697,16
265.86805,7
266.8603,79
266.91975,6
267.01233,10
267.19634,14
268.92923,9
270.21523,6
270.84729,6
270.93848,6
270.94747,41
271.22769,20
272.19899,88
273.01018,11
273.96715,7
274.83433,8
275.86012,8
276.81575,16
276.84715,8
278.85401,31
278.8714,71
278.88382,33
279.2326,9
280.86937,24
280.97628,6
281.03325,7
282.83445,6
282.85532,31
282.99498,16
283.04917,216
283.22768,7
284.87096,7
285.02837,50
286.84226,10
286.88662,7
287.2182,19
287.85036,6
288.23031,23
288.85796,10
288.94937,156
293.87105,12
294.8264,14
294.84891,106
295.26386,7
297.24332,17
298.88033,16
299.04398,167
300.23029,9
300.86601,309
301.21716,1750
302.22042,297
302.86966,6
303.00157,10
303.02096,14
303.2237,15
303.23278,7
310.82124,54
311.20755,7
311.29512,10
313.07832,7
314.24614,10
316.83972,43
317.05449,36
317.21219,30
325.00254,6
328.76374,22
328.86095,9
328.87792,9
328.90656,19
330.76211,15
330.90338,15
337.19388,26
338.80562,6
339.19119,9
340.83968,7
341.05466,14
355.22384,7
359.17605,7
359.20753,18
362.82187,50
363.22126,15
363.23111,7
372.79548,6
372.88681,30
377.08577,44
378.79546,8
379.08322,10
380.83252,11
381.18304,9
381.20466,6
384.80361,44
386.81902,7
386.86503,12
387.20268,12
388.86213,11
389.20968,6
391.24884,23
395.81915,8
398.81227,10
400.77759,8
402.81402,41
404.82979,10
407.22003,68
409.23563,62
411.05765,8
418.78768,9
433.23565,9
437.20975,43
452.27806,10
455.22048,35
455.24121,26
456.22346,6
464.76991,11
477.30397,30
478.29341,17
481.2358,16
481.25708,352
482.2601,76
483.25933,9
483.27255,323
484.27619,62
486.75158,6
499.26771,113
500.27053,8
504.76233,14
509.242,16
511.24611,12
519.2368,38
520.23991,9
521.23393,8
521.25228,25
523.26745,6
524.278,23
525.23723,20
525.28291,7
526.29358,71
527.25333,524
527.29712,19
528.25674,109
529.24858,7
529.25724,31
530.26058,6
535.25795,6
539.13838,22
539.21631,9
540.14169,7
541.13436,6
541.23139,9
551.25334,12
553.26843,141
554.27199,25
555.2845,461
