"m.z","int"
102.06324,48
103.03913,11
107.04939,109
109.02418,17
109.0287,45
109.06502,11
110.92519,9
111.00793,15
111.01917,30
111.04435,236
111.08071,16
112.9223,7
113.0137,11
113.0236,58
113.06001,103
113.09643,9
114.0341,15
115.02939,17
115.07461,9
116.04267,106
116.07091,8
116.07906,478
117.01992,26
117.0338,68
117.05497,96
117.9544,27
118.0291,25
118.05023,13
118.94134,28
119.04946,189
121.0273,30
121.06519,47
122.02404,14
122.03659,125
122.97508,10
123.00807,22
123.04447,60
123.08081,16
124.01592,14
124.9836,14
125.0237,22
125.03497,15
125.06009,82
125.0965,218
126.90431,15691
126.98801,6
127.03935,100
127.05064,28
127.07577,466
127.11221,51
128.03471,54
128.07912,10
129.00375,18
130.05846,154
130.0867,18
130.09479,416
131.02305,6
131.03435,48
131.07072,243
132.02962,11
132.88557,8
133.06529,83
134.04657,47
134.91537,7
135.0446,500
135.08098,15
135.92069,24
136.016,49
136.0397,7
136.04798,6
136.0524,113
136.94898,9
137.02388,121
137.0351,42
137.06021,39
137.09665,18
137.9178,16
139.0225,38
139.0296,41
139.03951,20
139.07597,93
139.11224,22
140.04734,9
141.0188,6
141.04521,7
141.05524,89
141.06637,13
141.0916,653
141.12797,20
142.06563,9
142.09485,15
142.89938,49
142.94993,15
142.99807,46
143.03437,9
144.04492,115
144.07413,48
145.05006,306
145.06135,846
145.08652,265
145.09771,56
145.11149,21
145.11388,16
145.94934,8
146.02422,63
146.04535,298
146.06471,19
146.96997,17
146.98244,13
147.04468,11
147.0487,6
147.08105,12
148.05249,35
149.02388,55
149.06023,246
149.0966,102
149.97905,8
150.00137,173
150.00856,23
150.04157,9
150.06358,6
150.06805,31
151.00579,11
151.07589,172
151.11222,6
152.03477,234
152.04288,9
152.99529,429
153.05511,29
153.0916,464
153.12799,9
153.9987,8
154.014,15
154.0174,311
154.06296,17
154.90567,13
154.91515,14
154.92773,29
154.94694,50
154.95929,10
155.00149,605
155.07085,291
155.08206,40
155.10726,634
156.00475,9
156.0133,10
156.1105,27
156.92474,9
156.99725,23
157.00565,6
157.0501,30
157.83667,25
158.03682,6
158.0605,7
158.08984,172
158.12909,13
159.02931,9
159.0657,184
159.1021,312
159.12709,54
159.12959,43
159.83465,65
160.03982,7
161.04497,44
161.8326,28
162.06805,146
163.02957,6
163.03956,80
163.07598,268
163.11228,8
164.07115,14
164.08374,240
165.04529,10
165.05522,37
165.09156,259
166.03993,37
166.04361,7
166.05046,102
166.09499,6
167.01274,97
167.01965,10
167.0345,13
167.03719,26
167.07085,82
167.08199,16
167.10722,192
167.14359,16
168.02977,57
169.05011,15
169.08452,6
169.08647,847
169.15923,10
170.02759,25
170.08991,35
170.12621,33
171.00588,74
171.06581,109
171.10017,13
171.13667,186
172.10555,187
172.13996,12
172.14478,10
173.00859,7
173.08133,238
173.11779,216
173.14277,47
173.1452,59
174.01643,15
175.02432,202
176.0277,12
176.90029,6
176.92875,9
177.05523,81
177.0664,25
177.09155,270
179.01103,6
179.07082,51
179.10279,507
179.10719,101
180.06612,35
181.0865,239
181.09776,26
181.12291,111
181.15918,8
182.08978,6
182.09415,6
182.94671,6
183.00423,18
183.06575,25
183.07691,6
183.10217,440
184.10554,14
184.10865,7
184.14198,27
185.06031,127
185.0815,354
186.08481,7
186.12108,43
187.09705,300
187.13347,151
188.03486,7
188.10045,8
189.03996,9
189.12797,12
191.01923,38
191.05571,10
191.07089,33
191.10723,310
192.07869,6
192.11057,14
193.08653,68
193.12296,45
194.0818,46
194.0943,85
195.06573,10
195.10223,59
195.11338,6
195.13859,293
195.1748,8
196.0609,6
197.08142,333
197.11784,133
198.08926,29
198.15754,30
199.06073,11
199.0972,220
199.13351,428
200.13685,21
200.17613,17
201.11278,161
201.14914,54
201.17417,57
201.17654,166
202.09945,10
204.11509,33
205.08652,31
205.12292,150
205.15932,2346
206.16262,306
207.10224,46
207.13864,148
208.09759,16
208.98277,12
208.98545,10
209.11788,608
209.15428,103
210.12131,27
210.95404,8
211.03726,33
211.09707,19
211.13362,685
211.17,416
212.07469,29
212.10363,11
212.13678,47
212.17323,21
