"m.z","int"
102.06328,10
107.04937,17
109.02868,11
110.92523,62
111.01914,14
111.04432,61
112.92227,29
113.01374,40
113.02357,18
113.06005,15
114.03414,22
114.9754,41
115.02936,42
116.04263,22
116.07903,189
117.0036,10
117.01988,7
117.05493,24
117.95444,292
118.02906,7
118.9413,17
118.95522,11
119.0495,12
119.9515,89
119.95204,18
120.94442,23
120.95396,26
121.02725,15
122.03662,14
122.97503,121
123.04443,18
124.98363,386
124.99067,34
125.06012,18
125.09645,38
125.98438,22
126.90291,14
126.98117,31
127.03938,23
127.07581,112
127.90961,6
128.89996,10
129.0037,105
130.05841,31
130.09482,91
131.07075,63
132.8856,13
132.94165,58
132.98373,109
133.06523,19
133.93212,41
134.96985,13
134.97515,18
134.98129,19
135.04453,166
135.92072,138
136.01593,8
136.05243,21
136.9395,106
136.949,71
137.01392,13
137.02381,18
137.06024,8
137.91782,78
138.03428,8
138.92026,22
139.02243,15
139.02962,60
139.07589,19
139.97086,39
140.96126,26
141.04524,7
141.05517,30
141.09152,196
141.99902,23
142.94985,246
143.03429,9
143.95059,9
143.99094,9
144.07416,16
144.86911,6
144.94688,49
145.05008,89
145.08644,65
145.94947,47
146.02424,10
146.86622,13
146.96999,76
146.98246,32
147.08097,8
147.97084,19
148.91923,10
148.96697,12
149.0239,11
149.06025,53
149.09662,25
149.97896,186
150.00128,42
150.94994,22
150.97974,13
151.07591,20
151.89829,14
151.9266,12
151.93615,20
151.97657,11
152.03479,72
152.91714,6
152.93609,12
152.9787,8
152.98566,14
152.99531,67
153.04536,6
153.05512,8
153.09161,108
153.89522,12
153.99917,46
154.01163,7
154.01401,6
154.90568,30
154.91517,66
154.92774,82
154.97165,9
155.07086,55
155.10716,211
155.94841,6
156.91217,12
156.92475,23
156.99866,8
157.04999,6
157.83656,7
157.97902,41
158.08973,37
158.92748,35
158.97975,6
159.06571,47
159.10211,72
159.1271,7
159.12948,7
159.83466,22
159.9652,33
159.97659,9
161.93482,22
161.94435,50
161.95681,13
162.06806,13
162.95518,27
163.02957,7
163.03957,18
163.07586,56
163.91553,11
164.02494,6
164.08362,25
164.98573,23
165.0453,14
165.0551,10
165.09157,69
165.9565,9
166.03981,8
166.05033,24
166.99432,37
167.01262,13
167.03719,6
167.07085,11
167.10722,29
168.02964,9
168.91598,11
169.08647,264
170.12621,9
170.89258,6
171.00587,77
171.01436,9
171.06568,35
171.13653,65
171.96522,7
172.00975,15
172.10555,34
172.9661,6
173.08133,73
173.11778,53
173.14277,7
173.1452,7
174.96475,6
174.99425,9
175.02418,12
175.9452,33
176.94158,7
177.05508,12
177.09154,98
177.94237,14
178.95963,7
179.07067,7
179.10278,145
179.10718,27
180.06611,8
180.92133,34
181.08648,62
181.12289,19
182.94655,11
182.97428,28
182.99629,12
183.06573,23
183.10215,147
184.14182,7
184.97182,6
185.06029,24
185.08134,97
186.12122,7
187.09704,92
187.13345,33
187.95048,14
189.04533,6
189.97595,8
190.97445,6
191.07087,8
191.1072,75
191.92268,9
192.97521,8
193.08634,14
194.09428,12
194.90767,8
194.92994,6
194.93962,65
195.10205,11
195.13856,39
197.00497,6
197.01202,6
197.08139,94
197.11781,26
198.08791,6
198.90494,6
198.91991,6
198.92407,6
198.95202,6
199.09717,43
199.13348,125
200.94039,8
201.11275,24
201.14911,14
201.17668,22
201.93685,13
203.14364,17
205.08648,9
205.12288,31
205.15928,197
205.92078,6
206.9964,12
207.1022,24
207.1386,14
207.96964,6
208.9829,18
209.0121,9
209.11783,52
209.15423,15
209.92656,7
211.03721,39
211.09702,9
211.13357,134
211.16995,138
212.07465,7
212.89619,9
212.90576,7
213.01649,9
213.04525,7
213.11274,6
