"m.z","int"
101.0236,12
102.05522,15
102.06335,47
103.03925,149
109.06514,24
110.92539,12
111.00813,12
111.04441,155
111.08084,20
113.02375,82
113.06009,87
113.09652,11
116.04277,102
117.01868,59
118.94194,394
119.0496,19
120.98886,21
121.02753,26
122.03675,14
123.04457,21
123.08099,12
125.02398,24
125.0602,44
125.09661,75
126.90444,16
127.03957,97
127.11226,17
128.03476,101
128.89227,5050
129.0039,53
129.01876,21
129.89303,670
130.05854,153
130.09495,121
130.88933,6110
130.8912,19
131.03452,218
131.89005,719
132.02971,523
132.88639,2891
132.93627,408
133.06539,19
133.88709,247
134.88372,496
134.93332,116
135.02946,49
136.94018,461
136.97154,12
137.02401,141
137.03523,37
137.06044,19
137.94041,11
137.94109,43
138.93786,49
139.02256,47
139.03966,28
139.07602,31
141.01907,11
141.05532,67
142.99816,15
143.03456,53
144.07434,46
144.86992,544
144.95514,63
145.06146,127
146.04547,971
146.05353,25
146.86706,564
146.97084,437
147.04883,24
147.06596,13
147.97171,23
148.8641,187
148.96807,186
149.00915,112
149.02403,83
149.06038,81
149.09675,12
150.00153,86
150.8871,53
151.07606,32
151.92753,61
152.03495,74
152.88424,51
152.91731,24
152.91809,67
152.99537,11818
153.01904,11
153.05529,56
153.09167,198
153.99879,320
154.88198,13
154.90656,5656
154.90907,15
154.91821,110
154.9596,382
154.99975,79
155.03477,15
155.07105,160
155.10735,213
155.9074,706
155.91109,236
155.94676,53
155.95923,14
156.90352,3016
156.90958,14
156.91541,22
156.94396,31
157.0502,125
157.90428,222
157.9084,168
158.08996,105
158.90087,241
159.02956,21
159.12721,11
159.12971,11
160.06925,12
161.04523,12
162.06833,20
163.00357,14
163.03973,58
163.07614,72
165.01921,19
165.05528,16
165.09174,23
166.01412,24
166.04,15
166.05052,22
167.01282,579
167.07105,42
167.10742,37
167.9968,300
168.02985,51
168.8367,850
168.94848,22
169.05046,27
170.09001,11
170.83363,1334
170.88408,1134
170.9421,19
170.95442,18
171.00598,52
171.0146,13
171.06712,18
171.13678,62
171.8348,45
172.10567,93
172.82997,296
172.83118,1158
172.88089,422
172.91648,12
172.97014,46
173.04542,22
173.11791,189
173.1429,13
173.14533,18
173.8319,47
173.95725,19
174.08491,25
174.82695,62
174.82887,526
174.87726,17
174.95447,11
174.99976,14
175.02446,431
175.06112,11
175.09738,11
176.02785,19
176.82655,83
176.90115,762
177.05539,52
177.09171,124
178.89809,267
179.07114,18
179.10297,39
179.95978,23
180.02993,14
180.93207,33
180.94361,11
180.95602,111
181.05044,14
181.0867,68
181.12311,27
182.92962,14
182.94767,1717
183.00431,37
183.02192,21
183.06611,52
183.13868,167
183.93558,17
183.94859,196
183.95111,16
184.10562,13
184.94479,1439
184.98535,30
185.04548,15
185.94563,122
185.94789,16
186.12148,24
186.85162,12
186.94205,355
187.06106,45
187.13373,156
188.10072,34
188.84839,26
188.95275,15
189.07676,23
190.88265,15
191.05585,13
191.07104,20
191.10753,204
192.11089,12
193.01036,14
193.08669,80
194.84998,30
194.85095,46
194.92724,283
194.93966,20
194.94499,23
195.05073,11
195.06623,25
195.10242,56
195.13877,86
196.84694,31
196.84792,32
196.92294,18
197.04554,11
197.11804,72
197.19074,25
198.08501,15
198.92532,66
198.93147,11
198.95426,38
198.96658,34
199.06112,31
199.09742,169
200.13708,11
200.92226,36
201.0253,21
201.07684,78
201.11302,181
201.14938,59
201.17678,30
202.82881,18
203.05608,11
203.09245,37
203.12866,14
204.82604,22
205.0868,20
205.12319,94
206.82311,11
207.10236,23
207.13876,20
208.09772,36
208.84614,124
208.95783,11
208.96213,67
208.97037,97
208.97431,786
209.08181,28
209.1182,25
209.15442,54
210.84307,165
210.9048,18
210.97036,14
211.06123,31
211.09741,61
211.11268,81
211.13378,157
211.20655,50
212.84025,75
212.86548,567
213.07682,42
213.11315,78
213.14949,175
213.86619,52
214.86258,459
214.91413,117
214.92664,115
215.05615,18
215.09243,61
215.12872,108
215.16501,59
215.86314,23
215.91354,13
216.85972,90
216.90914,85
216.9296,17
216.9421,11
216.97734,17
217.07173,16
217.10814,31
219.13885,34
219.1752,26
220.93629,35
221.11805,31
221.15451,17
222.08515,58
223.02819,214
223.04576,92
223.06117,13
223.09751,16
223.13367,40
223.17023,74
223.96691,17
224.02773,15
224.81283,41
224.95078,14
224.96318,31
225.0074,26
225.07685,26
225.11309,41
225.14953,79
226.1892,62
226.80982,31
226.96847,40
226.98083,44
226.99624,39
227.05627,12
227.09258,34
227.10759,15
227.1289,64
227.16523,139
228.20767,16
228.84298,127
228.92797,13
229.07178,18
229.10817,44
229.14436,121
229.15957,12
229.18076,105
229.20565,35
229.20812,135
229.21696,46
230.15222,22
230.83996,81
230.92149,11
230.94396,338
231.08738,15
231.12383,21
231.94489,15
232.04355,13
232.92472,249
232.93716,107
232.94095,20
232.94959,18
233.1181,22
233.15208,12
233.92436,33
234.86001,791
234.92147,16
235.06114,11
235.1338,78
235.17014,15
236.85711,537
237.00305,80
237.005,11
237.07683,96
237.11319,17
237.14956,40
237.18594,45
238.85419,50
238.87957,563
239.00001,19
239.05631,17
239.0596,89
239.09269,19
239.12886,126
239.16525,59
239.88038,31
240.20493,28
240.87685,39
240.90655,69
241.07178,20
241.10818,34
241.14458,62
241.18078,457
241.21431,95
242.18425,51
242.90377,93
242.93878,18
243.08769,21
243.12386,48
243.16028,110
243.19647,323
243.22391,24
244.1999,34
244.81052,118
244.9007,21
244.93888,458
245.043,27
245.10304,21
245.13967,30
245.21205,38
245.93939,35
246.80738,260
246.93593,196
247.13389,51
247.17029,401
247.80759,12
248.17363,42
248.80458,172
248.82994,107
248.91979,15
248.93213,11
249.14952,44
249.18589,147
250.80139,45
250.82706,138
250.83389,11
251.12902,44
251.14813,44
251.16535,68
251.19887,18
251.2017,1606
251.82742,13
252.20502,222
252.82424,42
252.87358,15
252.97756,55
253.07204,28
253.09281,68
253.10833,13
253.14462,47
253.18092,28
253.21436,45
254.22064,943
254.85743,82
254.90689,78
254.91944,27
255.0877,14
255.12394,37
255.16042,114
255.19667,149
255.22422,39
255.23002,47
256.19997,12
257.06693,11
257.10334,22
257.13976,44
257.17594,233
257.21238,123
257.21702,12
257.22754,163
257.23732,11
257.23977,67
257.93755,23
258.17939,21
258.18381,29
258.2308,17
258.881,12
258.90471,58
258.93386,97
258.97264,127
259.02256,41
259.11897,32
259.15533,22
259.19169,77
259.97346,17
260.78774,40
260.87465,761
260.90213,77
260.91637,80
260.93236,13
260.96985,51
261.07285,572
261.14964,50
262.07632,33
262.78505,76
262.87018,41
262.89924,18
262.9134,15
262.98999,38
263.12911,11
263.1653,28
263.20175,15
264.78216,50
264.80745,52
265.14474,31
265.14806,566
265.18108,33
265.21744,31
266.15146,43
266.80496,681
266.90833,25
266.921,204
266.93341,203
267.05135,11
267.12407,19
267.16057,19
267.19681,183
267.23307,141
268.0596,22
268.1999,16
268.80216,967
268.91794,42
268.93023,36
269.06703,13
269.1034,13
269.13978,52
