"m.z","int"
100.98901,11
101.02356,296
102.98788,15
114.97547,23
117.00368,137
117.01869,16
117.95446,41
118.00445,12
119.00125,17
119.95153,13
120.95408,20
121.02737,28
122.97509,79
124.98362,36
127.98341,21
129.00381,154
131.03442,23
131.99094,15
132.9838,102
133.93219,14
133.98458,15
134.96993,12
134.98137,31
135.9208,15
136.9491,70
137.03522,14
138.92056,16
141.99917,46
142.95,13
144.9989,23
145.94955,13
147.97094,41
150.91818,11
151.07603,13
151.93628,13
152.9858,22
152.99545,63
154.92779,17
156.99884,37
157.05017,22
157.97909,22
159.01442,12
159.96529,12
160.97882,14
164.94404,12
168.91615,12
171.00594,114
171.01455,21
174.99449,29
188.10509,13
198.91742,12
202.12056,11
204.09988,11
211.03731,50
225.00727,160
230.15209,21
241.00219,62
243.01789,27
264.98745,13
275.20152,13
283.04945,118
299.04456,90
301.21743,76
765.47171,12
765.85983,11
765.86862,13
765.9214,11
765.93774,17
765.95784,25
765.97418,15
765.98047,11
765.99806,17
766.00686,18
766.032,13
766.03828,16
766.04708,12
767.48834,14
785.45248,173
786.45571,55
