"m.z","int"
102.06336,26
103.03926,20
108.98794,9
110.92527,30
111.01925,7
111.04442,82
112.92239,24
113.01386,10
113.02369,45
113.06011,28
113.09646,6
114.03428,9
114.97548,17
115.02951,8
116.04272,57
117.00369,8
117.02005,36
117.95455,105
118.95526,9
119.04954,7
119.95163,36
119.99245,6
120.9541,35
120.98888,18
121.02747,26
122.0367,22
122.9752,28
124.98373,128
125.06023,16
125.09655,17
125.9126,6
125.98458,11
126.90303,14
126.90447,7
126.98129,10
126.98817,9
127.03951,64
127.11221,6
127.98344,8
128.8916,42
128.9001,13
129.00385,81
130.05857,84
130.09489,63
130.88874,42
131.02317,6
131.03446,24
132.031,6
132.0346,12
132.8857,6
132.98384,14
133.93223,22
134.0468,9
134.96998,12
134.97277,17
134.97528,6
135.92085,40
135.92931,6
135.97517,7
136.01607,6
136.91723,7
136.93195,9
136.93965,36
136.94915,39
136.97148,14
137.02396,55
137.03518,12
137.06029,6
137.91798,18
138.01684,9
138.92033,20
138.95207,7
139.0226,8
139.02969,15
139.07597,8
139.97094,11
140.96145,11
141.04543,6
141.05526,32
141.99922,21
142.95006,55
143.99107,13
144.07428,16
144.86924,8
144.94701,11
144.95446,7
144.99886,6
145.94961,45
146.02428,7
146.97015,125
147.97101,13
148.96704,19
149.00919,65
149.02397,13
149.06032,47
149.95987,16
149.97915,38
150.00147,34
150.94772,7
150.95002,6
151.07611,8
151.8985,7
151.97678,6
152.035,12
152.9362,14
152.97074,14
152.97893,6
152.98599,6
152.99542,21
153.05523,7
153.09173,68
153.89545,8
153.99929,43
154.01187,34
154.01414,6
154.90581,16
154.9153,33
154.92787,74
154.93325,6
154.95943,286
155.01319,7
155.07099,56
155.1074,159
155.94658,55
155.95905,7
156.89507,6
156.9249,23
156.94274,6
156.94379,15
156.95626,6
156.96279,21
156.99893,18
157.05014,8
157.94729,7
158.09001,53
158.92753,7
159.12965,7
159.83472,14
159.96538,23
160.94684,9
160.96923,16
161.93478,8
161.94455,21
161.95702,9
161.96239,10
162.06815,9
162.9649,9
162.99204,6
163.02979,6
163.03967,20
163.07608,32
163.91576,13
163.98732,8
164.08385,13
164.95658,6
164.96085,8
164.97643,6
164.9807,12
164.98371,14
165.04542,6
166.04006,9
166.99459,20
167.07087,9
167.10723,8
168.02979,7
168.94842,8
170.08995,11
170.89289,7
170.94204,22
170.94496,8
171.01454,30
171.02727,17
171.13672,35
172.00981,38
172.10561,67
172.97008,45
173.01055,6
173.11785,64
173.14527,8
173.95732,13
174.97746,11
174.9997,8
175.9453,12
176.94183,14
177.05533,14
177.09165,70
177.94249,6
178.95976,10
178.96728,10
178.97239,12
178.97991,6
179.10291,44
179.93768,6
179.955,7
179.95958,22
180.90691,6
180.94341,18
180.95596,118
180.95827,16
181.08664,20
181.99805,8
182.94687,35
182.95142,6
182.95524,6
182.95934,11
182.97446,7
182.99427,14
183.13862,121
183.93552,8
184.94383,25
185.06064,8
185.94211,8
186.94138,7
187.13367,38
187.98738,8
188.91373,7
188.95284,7
189.97604,35
191.10747,42
191.97293,11
192.93926,6
192.97549,18
192.98805,10
193.01046,12
193.08663,7
194.09442,9
194.90766,6
194.92702,10
194.93976,52
194.94477,20
195.13871,24
195.90878,6
195.93268,7
197.00514,19
197.11798,25
197.95791,10
198.90513,7
198.91761,10
198.91894,16
198.92443,9
198.93141,13
198.9542,65
198.96652,35
199.09719,51
200.00465,7
200.92152,9
200.93334,19
201.02524,17
201.11296,39
201.93707,11
203.90817,6
204.1153,17
204.97639,15
205.12313,56
206.99421,9
208.95759,10
208.96816,6
208.97013,49
208.98303,121
209.15418,6
210.90474,7
210.98611,8
211.00846,6
211.09717,6
211.13372,68
212.90593,11
213.11291,6
213.14943,81
214.91388,157
214.9264,91
215.12847,11
215.91348,15
216.91079,9
216.92954,38
216.94204,8
216.96477,23
216.97728,23
218.13106,18
219.17515,10
219.93504,14
219.96367,9
220.93623,54
220.9411,7
221.01218,8
223.02813,113
223.13381,15
223.17017,6
223.95414,11
223.96666,20
224.95052,25
224.96292,50
225.00734,80
225.14947,7
225.89176,6
226.96841,49
226.98098,28
227.16517,28
228.90389,6
228.95215,6
229.1443,11
229.1807,32
229.20806,8
230.15216,17
230.91436,6
232.92445,250
232.93689,71
233.00308,6
233.92409,23
234.92142,17
236.14162,21
236.90115,6
237.00213,22
237.00516,12
238.99929,6
239.05954,54
239.1288,37
239.96537,7
241.00229,10
241.18072,30
241.21425,32
242.9385,31
242.96118,16
242.97397,8
243.01799,7
243.16,8
244.03116,8
244.16795,6
244.94746,7
246.94462,7
247.17023,30
248.17821,14
248.91973,11
249.14946,8
249.18584,15
250.15738,8
251.00137,10
251.20165,14
252.9775,41
252.97965,7
254.22058,9
254.90683,107
254.9119,7
254.91914,19
255.19661,19
255.23021,31
255.90624,12
257.17589,38
257.23972,18
257.93726,19
257.96354,7
258.18352,27
258.88614,12
258.89873,7
258.93356,106
260.92906,6
260.93706,14
260.9493,11
260.98454,6
262.98994,20
263.94703,8
264.16046,6
264.90834,10
264.94336,14
264.95589,6
266.92948,8
267.23302,20
268.92652,6
269.21252,51
269.97907,9
270.25227,33
270.95319,14
270.97567,59
270.9881,12
271.19132,11
272.19943,10
274.88123,38
274.89366,57
274.90609,7
275.20168,10
275.88067,6
275.93555,14
275.94234,6
276.20967,10
276.89676,22
276.90932,15
276.932,52
276.94429,26
276.99813,8
277.21746,12
280.90331,40
280.90834,14
281.87855,8
283.04935,83
284.2678,59
284.97179,6
285.02855,6
285.20751,9
285.94939,8
286.21532,26
286.94586,11
286.94788,63
288.23078,10
288.8823,6
288.98653,14
292.89168,58
292.90416,45
292.91665,7
294.90733,9
297.04733,34
297.2438,12
297.27996,11
298.87898,11
298.9136,7
298.92616,17
299.02638,7
299.04447,74
299.22298,15
300.93705,6
301.21735,211
301.94452,22
302.22092,44
302.89328,6
302.90547,13
302.92829,6
302.94079,42
304.94598,22
304.95861,9
310.90234,9
310.91469,13
310.96833,14
312.94423,9
314.87377,32
314.87873,7
314.88602,26
318.88767,8
318.9005,48
319.89983,8
320.89603,8
320.90387,6
320.91614,33
320.95125,7
322.9568,23
324.91036,10
326.93322,17
327.23307,8
330.04523,11
332.88444,7
336.87605,16
336.89878,9
336.91124,37
344.93866,24
346.91486,48
352.87099,38
354.87424,11
354.88652,6
358.88065,15
358.89314,12
362.90733,12
364.91286,10
366.06944,15
367.84183,6
368.06653,9
370.86928,28
371.06625,9
376.85646,9
380.88299,9
380.91825,14
392.85107,12
392.86354,17
396.87803,25
402.02794,8
411.86494,6
414.85383,6
414.8884,6
418.86009,13
440.88485,6
452.83083,12
474.85572,7
483.26025,6
485.27565,6
509.24299,9
516.25347,8
527.25366,13
658.42529,11
737.45228,38
763.4676,25
764.47159,6
765.47254,23
765.48384,36
765.91595,6
765.93857,6
765.97124,8
765.98381,14
765.99764,13
766.00643,16
766.02026,14
766.03031,15
766.04037,25
766.05922,22
766.07179,11
766.08437,19
766.09442,15
766.12082,14
766.12962,6
766.13591,7
766.14471,9
766.17488,6
766.47546,11
