"m.z","int"
102.06334,9
110.9253,18
111.04438,18
112.92234,13
113.01381,10
114.03421,9
114.9754,10
115.02943,11
116.0791,49
117.02003,11
117.05493,10
117.95444,77
118.9413,15
119.95158,23
120.94441,13
120.95396,6
122.03654,7
122.97511,54
124.98363,110
125.09653,9
125.98455,9
126.90299,8
126.90443,9
127.07581,33
128.90004,6
129.00379,37
130.09491,27
131.07076,18
132.88578,6
132.94174,20
132.98374,24
133.93221,7
134.93881,8
134.97516,9
135.04463,30
135.92081,99
136.92155,6
136.9396,79
136.94901,34
137.91783,61
138.92026,18
139.02963,24
139.97096,23
141.09163,38
141.99913,6
142.94996,163
143.9507,6
143.99095,7
144.86922,18
144.94699,38
144.95444,7
145.05009,14
145.08655,15
145.94947,20
146.86633,17
146.97,29
146.98257,8
149.06026,10
149.95969,7
149.97907,157
150.0014,10
150.97985,6
151.89841,19
151.92672,11
151.93615,10
151.97669,9
151.98346,8
152.03479,15
152.99532,16
153.09162,22
153.89534,6
153.99918,12
154.90569,43
154.91517,39
154.92775,33
154.94684,16
155.07087,16
155.10728,65
157.97903,12
158.08986,6
158.92749,28
159.10212,19
159.96533,15
161.93483,20
161.94436,29
162.95519,10
163.02971,8
163.07599,11
163.91554,7
165.95652,6
166.99446,18
168.91612,6
169.08649,86
170.94187,6
171.00589,8
171.13655,16
172.95748,39
173.08148,15
173.1178,6
175.94521,20
176.9416,7
177.09156,16
177.94225,9
179.1028,19
180.92134,22
181.0865,8
182.9743,26
182.99631,10
183.10217,42
184.97199,10
185.08151,18
187.09706,14
189.04535,8
191.10738,13
191.92286,10
193.91152,6
194.93028,7
194.93964,27
195.13859,9
197.08158,19
197.11783,6
198.95387,9
199.09719,11
199.1335,30
200.94059,18
201.11277,6
201.93704,9
202.93784,11
203.94023,11
205.15931,376
206.1626,15
209.01213,8
209.11786,15
210.93186,7
211.1336,41
211.16998,31
212.89622,7
213.14911,23
214.18898,38
217.95584,6
218.13088,26
219.17495,9
219.92556,14
220.93582,9
221.90622,6
223.02789,23
223.91912,8
225.00708,144
225.18567,32
226.01049,6
227.16489,7
227.1992,8
229.18039,6
231.17491,7
232.92432,10
233.93603,13
234.15764,14
236.14145,7
239.05934,10
239.12838,7
239.2014,27
241.00207,36
241.1805,7
242.22038,47
247.17018,14
250.14463,25
250.1573,9
251.20155,6
251.90214,7
253.21705,46
253.89948,16
255.23008,7
258.93141,16
260.92861,7
264.9871,6
269.21197,8
282.95352,13
282.96621,7
283.04948,118
285.02866,10
297.04703,30
299.04415,123
301.21731,64
340.99544,6
341.00813,10
357.00311,11
371.06587,6
763.46789,21
771.45009,10
771.46025,13
771.50853,18
771.5314,17
771.56316,16
771.57078,16
771.58095,18
771.60382,14
771.62923,8
771.64321,9
785.45216,25
789.48316,8
791.49908,34
