"m.z","int"
107.04938,12
111.04433,31
113.05999,19
115.07488,12
116.07904,152
117.05495,25
117.95446,42
120.95397,13
122.03656,11
122.97513,12
123.04436,13
124.98365,38
125.06014,13
125.09646,39
126.90428,14
127.0394,23
127.07583,134
129.00372,12
130.05843,27
130.09484,99
131.07078,71
135.04456,127
135.92074,15
136.93953,25
136.94903,15
137.02383,13
137.91775,13
138.92018,21
141.0552,19
141.09155,184
142.94988,36
144.94691,11
145.05011,77
145.08647,71
145.94939,24
149.02372,11
149.06028,59
149.09665,22
149.97899,47
150.00132,31
151.07594,14
152.03482,53
152.99534,21
153.09154,99
154.9056,12
154.91532,17
154.94687,19
155.07089,50
155.10719,234
158.08977,15
158.92752,11
159.06575,34
159.10215,78
159.8347,16
161.94439,23
162.0681,19
163.03949,14
163.0759,49
163.91557,11
164.08366,17
165.09148,13
166.05038,18
167.07077,15
167.10726,19
168.02968,13
169.08652,238
171.00592,47
171.06573,24
171.13685,41
172.10546,36
173.08138,45
173.11783,54
177.09159,78
179.10269,115
179.10724,14
181.08654,58
181.12295,12
183.10221,106
185.06035,29
185.0814,79
187.0971,79
187.13351,19
191.10727,57
194.93968,18
195.10211,14
195.13863,53
197.08146,82
197.11787,25
198.90485,11
199.09707,40
199.13355,105
200.176,11
201.11282,34
201.17658,38
205.12295,31
205.15936,407
206.16265,21
207.13868,13
209.11791,56
209.15431,13
211.03729,20
211.13347,201
211.17003,111
213.11282,12
213.14916,89
214.18903,137
215.12837,13
218.13074,77
219.175,44
219.93489,13
223.02795,129
223.13343,17
223.16999,15
225.00713,108
225.14927,11
225.18553,105
227.16495,31
229.18045,22
229.20802,11
231.17497,39
234.1577,100
237.18555,19
239.0594,41
239.12844,49
239.20124,72
241.00213,22
241.18056,29
241.21409,21
242.22023,183
247.17001,277
248.17334,22
248.17775,13
249.18583,87
250.1447,94
250.15713,57
251.20138,204
253.21712,466
254.22053,40
255.19631,17
255.22991,14
257.17556,17
258.18342,13
264.16056,28
269.21205,31
273.18589,49
275.20169,121
278.88397,12
283.04928,78
284.1629,11
284.26744,23
289.18106,14
297.04713,104
299.04425,64
301.21741,1266
302.22067,246
315.19658,15
317.2123,15
318.87677,22
327.23289,24
330.04467,27
333.20705,14
362.82194,12
368.06591,16
371.06601,28
481.25707,31
483.25992,105
483.27252,31
484.26351,18
485.27594,31
516.25766,117
518.27327,23
519.2364,116
521.23422,30
521.25256,33
527.25357,46
529.26612,11
657.4163,15
658.42476,66
659.42751,22
693.39374,27
737.45204,112
738.4551,20
757.42028,19
759.43615,31
761.45261,91
762.45512,15
765.47203,93
766.47494,21
767.47478,70
767.48739,44
768.47784,18
768.49047,16
769.49046,13
771.16103,16
771.17753,18
771.18769,14
771.20166,17
771.21181,21
771.2207,22
771.22705,20
771.23848,26
771.25372,11
771.2626,20
771.27657,23
771.288,17
771.29562,16
771.30832,17
771.31594,12
771.32356,12
783.48187,22
785.45135,63
785.48528,20
786.45456,16
800.47144,153
801.47532,47
802.48784,21
803.45097,150
804.45371,50
805.44748,30
805.46645,26
857.50663,17
858.50937,12
