"m.z","int"
102.06328,13
103.03925,32
111.0444,41
113.02367,19
113.06001,17
116.04269,29
121.02737,8
122.03667,15
125.09652,14
127.03947,36
130.05844,32
130.09485,51
131.03442,19
137.02391,43
141.05521,6
143.03446,7
144.07423,8
148.05252,6
149.00903,21
149.02391,13
149.06027,23
150.00142,17
152.03483,6
153.09167,47
155.07093,37
155.10734,74
157.05008,9
158.08995,23
162.06808,10
163.03959,13
163.07601,23
167.10728,6
171.13651,9
172.10566,23
173.11777,26
177.0917,37
179.10282,35
181.08655,9
183.13852,68
187.13357,21
191.10736,39
195.1386,7
197.11787,11
199.09724,11
201.11284,25
205.12301,12
211.13359,36
213.1493,43
215.12834,8
223.02798,49
223.13366,8
227.16502,11
229.14414,10
229.18055,10
229.2079,6
230.1518,6
233.15165,6
239.05937,17
239.12841,11
241.18055,16
241.21386,24
243.15982,8
247.17005,11
251.14788,6
254.22063,18
255.19642,11
255.23002,33
257.17569,14
257.23952,7
258.18331,11
267.23306,8
269.2123,30
270.25205,23
272.19921,6
284.26755,30
286.21507,7
288.23053,7
301.21738,87
302.22065,8
481.25733,19
483.27343,43
484.27644,10
657.41665,10
658.42512,43
659.42788,17
747.44826,29
748.45237,15
765.47227,20
766.38336,9
766.39594,11
766.40475,10
766.41481,10
766.42739,18
766.43619,15
766.44751,12
766.47393,30
766.48651,16
766.50538,11
766.51419,18
766.523,16
766.53684,16
766.54564,13
766.56074,10
767.47504,12
785.45177,59
786.455,9
800.47201,10
803.45022,7
857.5063,27
858.51054,15
981.56272,7
982.56256,6
