"m.z","int"
102.06337,23
103.03928,32
106.98552,7
107.94629,6
110.92536,45
111.01927,7
111.04444,53
112.92241,27
113.01381,6
113.02371,40
113.06012,26
114.9356,7
114.9755,39
115.03846,6
116.04274,35
117.00371,72
117.95457,201
118.94144,107
118.95536,9
119.95165,44
120.95412,12
121.02742,11
122.03672,13
122.97522,21
123.92401,7
124.98376,346
125.06025,14
125.09658,14
125.91254,6
125.9846,22
126.90305,34
126.9814,22
126.98819,44
127.03953,47
127.11231,9
127.98347,16
128.89162,451
128.90013,20
129.00387,428
129.89247,36
130.00471,30
130.05859,57
130.09492,65
130.88877,462
130.95324,9
131.00141,29
131.01955,6
131.03448,20
131.88957,42
131.99101,18
132.88582,127
132.94178,17
132.9815,10
132.98386,71
133.06545,6
133.8866,11
133.93226,58
134.88285,6
134.8834,12
134.9701,24
134.98144,9
135.92088,52
135.92933,13
136.01609,10
136.93198,12
136.93967,115
136.94918,15
137.02398,34
137.0352,11
137.91791,33
138.01687,13
138.92055,16
138.93724,7
139.02982,15
139.07609,8
139.97106,33
140.91763,6
140.96148,47
141.05529,16
141.89027,6
141.99925,83
142.94999,109
142.99996,6
143.95085,8
143.96109,7
143.99109,67
144.07431,12
144.86938,37
144.94704,18
144.95449,8
144.99889,8
145.06143,15
145.94964,25
146.8664,45
146.97018,236
147.97104,31
148.0526,10
148.86343,8
148.91944,11
148.96146,6
148.96718,42
149.00912,38
149.024,8
149.06035,39
149.09672,68
149.97918,117
150.0015,15
150.94764,16
150.95005,19
150.96479,6
150.97997,9
151.07603,8
151.89853,16
151.97681,6
151.98358,8
152.03492,8
152.88332,8
152.91728,20
152.93623,31
152.97885,30
152.99545,10
153.09176,61
153.99932,141
154.0119,89
154.89818,9
154.90584,112
154.9279,17
154.93328,9
155.00155,263
155.07102,50
155.10743,129
155.90668,7
156.00494,9
156.01499,9
156.90279,23
156.92493,8
156.98637,15
156.99733,16
156.99897,94
157.01145,12
157.05029,11
157.97674,24
157.97921,43
158.08993,39
158.92757,24
158.99648,6
159.01467,18
159.83488,12
159.96542,75
159.97681,7
160.97653,22
161.09683,11
161.92736,8
161.93494,13
161.96243,7
162.06818,13
162.96505,11
162.99219,26
163.02983,6
163.0397,9
163.07611,42
164.97646,15
164.98073,25
166.03997,7
166.9276,13
166.9945,69
167.10739,8
168.91383,12
168.91617,6
169.98574,8
169.99415,8
170.88339,13
171.00609,14
171.01458,131
171.02717,11
171.13675,13
172.00998,119
172.10564,42
172.88046,7
173.01058,8
173.11789,59
173.95682,26
174.00743,7
174.99452,15
175.02444,17
175.94298,8
175.94533,33
176.90043,51
176.98067,7
177.05537,9
177.09169,50
177.94253,8
177.97927,6
178.8975,11
178.94262,10
179.10295,40
180.95831,48
181.08668,15
182.94691,134
182.95542,15
182.9745,22
182.99651,6
183.13865,105
183.94769,11
183.97535,7
184.00982,13
184.94387,65
186.12116,6
187.0072,6
187.13371,29
187.98742,23
189.97608,51
190.9746,10
191.01951,55
191.10751,47
191.92299,23
191.97313,12
192.02281,6
192.97569,19
193.91151,7
193.92,6
194.93981,23
195.13875,22
197.00519,60
197.11802,14
197.19072,15
198.92447,21
198.95208,14
199.09724,35
199.98993,10
200.00486,14
200.92157,18
200.94065,6
201.02528,164
201.11301,38
201.14953,6
201.17677,7
202.02595,9
203.94032,6
204.11534,12
205.00288,9
205.00515,9
205.12318,70
205.95351,15
206.99143,23
208.97358,31
208.98307,63
209.15458,7
209.92711,6
210.84215,11
211.13377,33
212.00254,8
212.86454,14
213.11295,8
213.14948,60
214.02053,34
214.86164,8
215.12852,10
215.93798,13
215.96997,15
216.91822,9
217.96752,8
218.13092,9
222.15324,12
222.96718,9
222.96895,8
223.02818,104
224.95718,13
225.00739,51
225.14953,7
225.22205,9
226.1892,9
227.16502,16
229.14435,7
229.18075,16
229.20811,18
229.96851,8
230.00056,10
230.15222,11
230.99952,18
231.91578,8
233.90421,7
233.93369,6
233.93602,8
234.85915,31
235.0135,14
236.14168,17
236.85624,24
237.00219,55
238.8787,8
238.99913,15
239.0596,45
239.12864,46
240.90567,6
240.93338,8
240.96509,9
241.00234,24
241.18078,35
241.21409,35
243.01782,10
243.1967,52
244.03121,26
246.80647,10
247.03097,10
247.17029,351
248.17363,30
248.17827,13
248.80365,10
249.18613,29
251.20171,147
252.20526,11
252.97995,16
253.14463,6
253.2146,7
254.22064,99
255.19668,19
255.23028,37
257.17595,17
257.23978,23
258.18358,24
258.9314,6
260.87341,10
263.94456,9
265.21746,7
265.96083,6
266.8042,49
267.19683,165
267.23308,33
268.20017,9
268.80113,74
269.21258,214
270.21573,11
270.25207,31
270.79838,44
270.82374,14
271.19192,13
271.22819,53
272.19976,6
272.79526,15
272.82064,10
273.1862,197
274.18958,33
275.20175,131
276.20538,9
276.20974,6
277.21753,50
279.23312,71
280.23665,7
283.04942,86
284.26787,60
285.02891,8
285.16047,11
285.19245,23
285.20758,43
286.2151,35
287.16536,8
288.23085,10
289.18126,17
291.05766,12
291.19696,9
292.81837,15
293.21267,10
294.81525,11
297.04741,24
297.24358,6
299.02646,7
299.04455,115
299.22306,7
301.21773,463
302.221,82
303.02122,8
303.23336,21
304.76556,14
305.16117,15
306.76249,12
309.19255,6
311.20815,27
313.22381,60
315.19706,40
317.0551,13
317.21247,40
324.76294,9
326.7599,19
327.23316,76
328.21095,6
328.75697,14
328.78241,7
330.7542,7
330.77953,11
331.19149,6
333.20739,24
337.19455,11
337.21547,33
338.21883,10
339.20298,13
339.21224,9
341.21857,7
350.77685,10
352.77405,12
353.21913,7
354.77092,8
355.23448,7
361.21572,28
362.26767,55
363.23103,52
364.23451,13
365.21898,10
365.22808,11
365.2467,393
366.25024,68
367.23455,38
367.24373,114
368.24755,14
369.25003,12
372.27575,17
375.27545,26
377.08611,7
384.7185,16
385.21555,19
386.71566,6
388.7384,6
389.29153,39
391.2492,6
395.22121,24
397.21773,9
410.73262,11
411.05852,10
411.23101,29
413.22869,12
417.28615,13
419.3017,95
437.24701,12
439.24367,6
442.6774,7
444.67472,6
448.69377,7
468.69116,9
470.68866,6
477.30504,14
479.32059,9
479.41081,6
481.25754,38
483.27364,16
502.63295,7
504.63039,9
505.42704,15
507.44253,9
527.25383,43
528.25724,7
555.28503,45
556.28865,12
557.47988,22
558.59511,8
560.59239,16
575.25427,90
576.25759,20
583.49521,9
585.51087,14
685.32271,7
719.48845,10
737.45257,58
738.45563,21
739.44405,6
765.47285,10
766.32357,7
766.34369,6
766.36382,6
766.37388,11
766.3852,8
766.39778,11
766.41287,13
766.43929,12
766.46067,12
766.47577,15
766.48709,18
766.4959,13
766.51225,15
766.52232,14
766.53112,12
766.54371,9
766.55,11
766.5802,6
775.42114,18
785.45238,169
786.45561,63
791.50068,7
811.46812,7
811.94112,7
829.47484,15
891.21243,7
896.2288,6
947.74375,7
951.02141,10
961.89019,6
963.89182,7
968.34962,7
992.49818,10
993.77846,6
993.79517,9
