"m.z","int"
101.0235,175
106.98538,7
117.00361,14
117.01854,7
117.95447,36
119.95154,15
121.02738,20
122.97502,7
124.98363,86
125.98439,10
127.98333,8
129.00373,26
131.03443,15
132.9838,6
135.92072,6
137.03514,10
139.97089,13
140.9613,7
141.99908,20
142.94991,25
144.94696,7
144.9988,6
149.97897,28
152.97874,15
153.99911,11
154.01168,13
157.05007,13
159.01443,7
159.9653,8
166.99436,25
171.13661,8
172.00983,12
189.97589,14
197.00497,21
225.00708,10
232.16754,6
243.19633,8
267.19663,9
275.20153,7
334.23598,6
337.21507,13
360.25178,33
362.26719,37
363.23096,45
365.228,11
365.24621,44
367.24323,7
375.27493,6
417.28598,12
419.30203,9
765.91135,8
765.92768,7
765.93774,9
765.95659,9
765.9679,11
765.98549,11
765.99555,10
766.02068,11
766.03451,8
766.04457,12
766.06719,9
766.07725,10
766.10239,10
766.11748,9
766.17028,9
766.18034,10
766.21177,7
766.22057,9
766.22812,11
