"m.z","int"
104.10702,26
105.00332,17
107.95041,20
115.0541,15
119.0188,86
120.08065,12
123.01363,24
128.06181,13
130.0648,20
131.01859,29
132.10156,42
133.03421,9
135.00255,119
135.04989,10
137.02915,277
137.04038,11
138.02985,26
139.02659,23
141.06941,8
145.0342,6
149.02918,96
151.04471,26
151.09502,6
151.97629,9
153.00903,21
153.95558,7
157.00095,7
157.08321,49
160.04513,9
163.04459,28
164.92009,29
165.03529,6
165.06948,10
165.08822,8
167.03963,56
172.99581,10
174.98492,12
177.00896,6
177.06035,17
179.05071,10
180.89395,7
184.07293,18
191.03956,10
191.10376,12
193.09172,17
199.04473,6
203.07598,9
207.0708,10
209.06139,6
217.09162,14
222.88808,6
249.15415,6
297.16921,12
331.22599,23
333.24756,10
351.2159,6
359.25698,8
405.13562,7
466.16261,6
467.17024,33
481.18618,15
482.19335,6
490.37218,8
496.33835,8
536.43592,21
541.20656,6
582.40539,57
583.40825,17
584.42123,7
614.23506,19
615.23804,10
630.35328,28
631.3565,8
727.56365,6
756.61172,17
757.61456,8
767.05662,7
767.06543,6
767.08307,13
767.09062,16
767.10448,14
767.1133,17
767.13345,20
767.14731,23
767.15738,21
767.1662,21
767.17376,19
767.1851,21
767.20021,20
767.22037,11
767.23549,6
767.24557,9
767.25565,6
767.26447,6
767.27203,6
784.49694,6
789.45205,12
800.60155,33
801.60433,12
806.56648,43
807.57096,20
828.5489,25
829.55224,9
878.56639,12
892.53246,54
893.53552,35
894.53868,9
951.49178,9
951.50396,15
952.507,8
953.50638,7
953.52035,13
