"m.z","int"
119.01902,28
130.06503,34
131.0189,25
132.10186,20
135.05009,114
137.02943,51
137.04769,19
149.02938,27
152.05657,185
153.00931,40
163.04492,17
165.06063,31
174.03848,175
177.06059,27
177.09705,20
184.07326,16
191.11266,27
196.02051,20
239.16163,79
257.15974,20
257.19006,18
275.17015,237
276.17112,25
276.17357,20
303.10594,44
325.08778,156
326.09084,22
467.17061,25
536.43639,20
582.40712,28
630.35567,34
770.32812,24
770.34333,23
770.36742,22
770.42066,16
770.44601,18
789.44176,28
806.56791,34
892.53322,17
953.50834,29
954.51104,19
