"m.z","int"
105.00334,141
105.06997,14
106.90459,10
107.00085,17
107.08554,17
114.09132,15
115.0542,66
119.08543,6
120.01962,35
120.02343,9
120.08067,11
121.00744,12
121.01636,29
121.03443,28
123.01372,165
123.02311,70
123.96425,8
124.01458,10
125.01122,11
125.09595,7
128.06182,85
130.0649,55
131.0187,91
133.0073,90
133.03432,40
133.10093,8
135.02302,77
135.04991,17
137.03858,102
137.04039,84
138.02997,134
138.03256,10
138.03381,36
139.01786,503
139.0267,168
139.02904,254
141.06953,48
144.98184,24
145.03432,17
145.10082,12
146.97997,13
147.02287,9
147.02467,8
147.04982,7
149.03869,14
151.02679,11
151.04484,124
151.0543,13
151.11155,12
152.02752,15
152.04563,10
152.04941,6
152.06175,27
153.00915,107
153.03351,51
153.04237,7
153.06954,21
154.00996,19
154.06482,9
155.00666,22
155.08506,8
156.08044,7
157.08322,61
158.98967,22
158.99062,7
159.04994,9
159.11655,6
160.04514,7
161.02912,12
161.03857,10
161.04038,21
162.99339,24
163.01782,23
163.04473,45
163.05411,11
165.03354,42
165.0353,26
165.06044,55
165.06962,50
165.08823,8
166.97081,48
167.01277,14
167.03977,155
167.04912,32
167.08509,8
168.0804,12
169.02834,106
169.03733,24
169.12205,24
170.97534,36
171.02598,38
171.11644,11
173.00553,8
173.00837,6
175.01773,27
175.04478,20
177.00911,60
177.0334,59
177.0605,34
177.06986,11
178.00989,10
178.06496,10
178.07735,9
178.96836,44
179.00655,7
179.01266,12
179.03964,12
179.04915,51
179.05086,63
179.07614,40
179.08523,23
180.08035,6
180.99771,17
181.02832,213
181.06471,11
181.10068,9
183.1164,7
184.07293,60
184.98133,182
185.13222,8
188.98591,14
189.06048,11
191.03972,24
191.04912,30
191.07604,14
192.08055,12
193.02843,140
193.03972,18
193.0553,7
193.06484,15
193.09172,44
194.96569,23
195.04399,29
195.08049,52
195.11652,13
197.13214,12
198.95487,16
198.99697,247
199.00812,11
199.04474,41
199.14766,6
199.16899,9
201.03329,10
203.07598,30
205.00406,15
205.02842,9
205.03956,6
205.06463,8
207.04395,20
207.07098,8
207.08034,6
207.10737,9
208.98131,84
209.05977,10
209.06157,12
209.09616,8
210.99685,7
211.03883,11
211.14774,10
213.01257,26
217.09181,32
217.1011,9
219.01978,11
219.08052,16
219.10743,8
220.97881,9
221.05965,19
221.09609,10
221.12318,8
221.15087,11
222.99701,72
223.03886,21
223.0752,13
223.11155,13
223.14771,6
226.94972,6
227.00304,8
227.02818,9
229.00752,93
229.10103,13
230.95458,28
231.11675,14
232.98749,17
233.05961,6
233.08661,8
233.09589,7
235.11168,7
235.13861,6
237.01263,14
237.1271,6
238.99191,11
239.02805,12
240.96548,14
242.07696,10
244.96054,44
245.12313,6
247.10213,7
247.11157,6
249.09097,15
249.12733,7
249.15437,12
249.18212,6
251.14285,15
253.00747,29
253.14065,6
255.05949,10
255.10731,6
256.95822,36
258.97629,140
260.9375,6
260.99173,9
261.16354,6
262.97112,95
263.14311,9
263.17905,6
265.00763,6
269.12296,7
271.15392,34
272.95541,13
272.96503,7
272.99204,18
273.11802,6
274.95618,8
275.00754,14
276.93231,8
276.98669,35
276.9979,6
278.94916,8
279.05967,8
279.15863,28
279.17412,8
280.95824,7
281.08671,10
285.22104,9
285.24188,14
286.971,23
288.98654,48
289.16428,7
290.93365,24
291.13792,14
293.19552,7
295.018,6
298.92652,20
298.97095,8
300.98658,11
301.19471,6
304.93956,125
304.98155,10
305.2106,49
305.21692,46
307.22622,8
309.24189,15
311.2576,25
312.98658,7
313.22175,13
314.90055,7
317.22568,23
318.95505,165
318.99727,6
323.2213,11
325.20051,158
326.20131,6
326.2041,24
327.1085,10
328.98133,8
331.23202,7
332.93433,8
332.9707,7
333.24787,10
335.23633,7
336.9766,10
337.14903,25
338.92791,10
339.13775,9
340.9369,7
345.22053,9
346.94995,24
348.96546,30
350.91246,8
359.25732,26
360.96573,16
364.91842,39
376.91622,19
378.93413,89
382.92868,7
390.97623,8
398.90629,6
400.93935,12
406.92918,9
411.14436,22
412.15245,9
413.16027,10
414.14432,6
414.90081,8
414.96645,7
420.94465,6
422.13656,13
423.1446,40
424.14798,7
424.15212,18
424.89779,14
425.15597,7
425.16013,27
426.16808,12
426.95516,20
427.17595,9
429.27785,22
435.14477,14
436.15282,15
437.16057,42
438.16367,10
438.16802,28
438.91336,29
439.13967,16
439.17568,52
440.14741,20
440.18354,8
441.15532,28
442.16283,12
442.19921,8
442.90844,25
449.16012,7
450.13178,29
450.16802,8
451.13955,100
451.17591,10
452.14728,172
453.15096,25
453.15496,36
453.19156,24
454.16315,10
454.1993,14
455.17067,38
455.20752,6
456.88185,92
456.92412,38
460.2964,21
460.91878,8
461.30444,46
462.31167,7
463.13957,11
464.14689,18
465.15513,90
466.1583,14
466.16307,144
467.13419,13
467.1707,390
467.20722,8
468.14257,12
468.15998,9
468.17439,80
468.1786,18
469.15,17
469.16807,39
470.17157,8
470.19393,6
474.89267,6
474.93378,6
479.17058,16
480.17828,17
481.18603,282
482.15742,9
482.18943,56
482.19383,128
483.16575,57
483.18401,12
483.19786,25
483.20164,14
484.1684,8
484.17345,7
485.18114,15
489.29872,13
492.90273,48
495.20147,10
497.18097,29
498.18935,35
499.19684,8
502.29975,12
502.88757,12
507.24257,48
507.25544,82
508.24641,10
508.25863,9
509.258,8
510.18857,6
510.9135,11
511.16006,7
511.2738,7
511.28683,9
512.20441,6
513.21268,56
514.21564,6
514.34285,11
516.90274,24
520.89765,7
526.18404,68
527.18724,19
535.4288,6
536.43647,424
537.4396,145
538.44333,18
539.19148,15
540.19937,73
541.20711,142
542.21019,25
542.32248,10
543.2048,9
552.43085,11
552.8822,61
553.24769,12
555.22328,179
556.22671,50
557.22038,10
559.21808,51
560.22136,11
561.28961,10
564.30529,16
566.41077,104
567.26363,19
567.41424,33
569.23913,20
571.21851,18
580.3898,10
580.87751,8
581.39825,40
582.406,412
583.40885,170
584.41178,18
586.24109,6
587.24966,6
588.90334,13
589.42388,8
594.85064,9
598.40058,31
599.2128,38
600.2158,9
607.43478,11
612.86173,14
612.90311,6
613.22887,35
614.2366,659
615.23958,201
616.23414,74
616.24139,26
617.23747,13
624.46126,24
624.92407,7
629.22302,11
630.87216,7
640.41141,23
641.41949,15
642.42224,7
648.88211,8
654.82953,9
656.40592,8
657.41405,35
658.42149,868
659.42422,314
660.42724,42
666.89268,8
674.41709,7
708.86193,11
739.43754,9
741.45259,9
761.44617,7
766.99701,8
767.02472,17
767.03605,22
767.05746,17
767.06754,25
767.09147,11
767.10658,17
767.11666,17
767.13933,23
767.14815,18
767.16074,9
767.1809,15
767.19476,9
767.2061,6
768.84014,6
778.53599,6
783.42814,23
786.51295,48
786.85043,6
787.51688,13
789.46476,11
791.45683,46
791.46872,126
792.45967,25
792.47157,40
793.47501,13
793.48429,6
800.51918,9
811.44828,13
826.5359,27
837.46206,11
838.46438,7
848.51693,8
851.47723,17
852.47973,8
870.56375,17
881.48629,7
886.48629,7
890.51824,49
891.52106,28
892.53348,1009
893.53654,604
894.5397,156
895.53343,26
895.54296,19
896.53678,13
907.51882,7
908.5294,27
909.5319,16
