"m.z","int"
102.92589,18
104.95228,19
106.90471,28
107.95061,11
108.90439,31
109.91689,24
115.05439,22
116.93268,8
116.986,15
117.03972,7
119.01898,177
119.92972,16
120.01977,8
120.08091,10
120.92612,71
120.93629,7
121.01651,8
122.96268,9
124.9642,20
125.961,82
128.062,23
130.06506,39
130.93283,16
131.01885,76
133.03454,17
133.10106,6
134.99636,20
134.99877,72
135.00277,73
135.05012,221
135.99955,6
136.0509,10
137.02936,299
137.04772,17
137.94012,11
138.03025,33
138.93645,39
139.02688,18
140.9346,9
140.93797,10
140.959,126
140.9714,8
141.06969,6
142.94799,101
144.92744,24
145.03445,54
145.10105,7
147.05004,27
147.93097,6
148.00417,8
148.94336,23
149.02325,103
149.02939,97
149.93059,14
149.98589,14
150.0372,104
150.97681,19
151.04502,40
151.09533,8
151.90775,10
152.0348,8
152.90659,11
153.00696,11
153.00932,380
153.90786,17
154.01012,68
154.90732,140
155.00681,81
155.1041,95
156.0807,9
156.91192,13
156.9329,138
156.94537,20
156.97451,6
157.08347,145
157.93249,6
158.92194,11
158.93109,8
159.05017,68
160.04537,7
160.90124,8
160.91855,8
160.93936,11
160.99917,11
162.94093,70
162.99359,26
163.04505,82
164.92042,13
164.92996,66
165.06075,73
165.06968,6
165.08854,15
165.99209,22
166.01466,9
166.89477,6
166.9486,8
166.95064,9
167.03994,24
167.94113,6
168.8949,13
169.89437,68
170.97547,11
171.01683,11
171.05011,6
171.09906,47
171.98105,8
172.90694,64
172.92783,31
172.9521,10
172.97759,25
173.05746,8
173.13239,8
174.89587,27
174.98516,59
175.04501,12
175.0814,30
176.91331,10
176.97303,10
177.00932,84
177.06071,146
177.086,7
177.08851,7
177.09703,72
178.0101,6
178.91492,94
179.00689,9
179.05816,9
179.07634,16
179.10419,17
180.90366,10
181.91834,10
182.90228,10
182.92619,16
183.01745,7
184.07324,45
184.94494,6
184.96597,16
185.11474,123
185.93944,6
186.93577,18
186.94638,6
187.04491,6
187.07312,15
187.9551,15
188.90164,11
188.95137,45
189.06059,15
189.09696,21
190.06847,11
190.09208,6
190.96266,30
191.07629,18
191.10401,22
191.11262,449
192.0841,9
192.11346,25
192.11598,12
193.06014,7
193.09195,52
193.11025,30
193.11979,15
194.88879,24
194.89992,13
194.98366,6
195.03936,7
196.91789,34
197.06573,9
197.11708,8
198.97418,15
199.04492,40
199.16917,15
199.92885,23
200.93987,28
200.9522,14
201.08872,55
201.91333,7
202.09204,8
202.90964,13
202.94134,16
203.07629,19
203.92905,11
204.92556,25
205.09191,18
205.12831,7
205.95146,8
206.09977,36
206.94784,39
207.07126,23
207.07815,12
207.09016,16
207.10748,14
207.13557,20
209.94486,6
210.87378,6
210.94115,6
210.99982,16
211.91254,25
213.14593,54
213.16346,6
214.96501,10
215.07604,6
215.11269,6
216.91387,16
216.93489,14
217.09201,46
217.1563,7
218.91527,23
218.9362,41
218.94869,11
219.09915,9
219.10761,104
220.10834,6
221.12315,33
221.15103,16
221.92532,18
222.07729,44
222.92176,80
223.10932,7
226.93625,21
227.11268,14
227.8865,6
228.93777,7
229.12003,31
229.12846,6
231.10766,44
231.1439,15
231.1589,8
231.17411,12
232.90871,7
233.12337,178
234.12404,10
234.88917,6
234.9103,55
234.92268,20
235.08521,6
235.1209,8
235.13885,15
235.16664,11
235.90983,12
236.90711,7
237.14616,8
237.89919,7
238.89577,35
238.91657,6
239.1591,24
239.16173,776
240.16494,47
240.89716,11
240.91822,18
242.07714,6
242.85963,26
243.08393,13
243.10753,11
243.91535,8
244.91183,22
244.93274,21
244.94683,6
245.06323,6
245.07847,71
245.12328,32
247.10249,8
247.13888,33
249.10064,10
249.1032,11
249.15472,24
249.95846,7
250.88431,15
250.95476,8
251.14082,8
253.11996,9
253.14097,71
254.14437,7
255.13273,11
255.13563,498
256.13902,54
256.89234,44
256.90454,14
257.12341,6
257.13367,31
257.15959,71
258.83381,23
259.07887,8
259.91028,9
260.88578,8
260.90676,45
261.05248,71
261.14377,18
261.15478,27
261.90623,6
262.91447,13
263.13398,25
263.17017,6
265.1565,6
265.93249,15
266.91472,15
266.92894,29
269.11502,73
270.9858,11
271.15434,18
272.86601,20
272.87723,11
273.01089,6
273.15456,19
274.8077,8
275.17022,462
276.1712,28
276.17364,31
276.88078,17
277.11774,20
277.16779,30
277.18585,15
277.90155,8
278.88213,25
278.88821,7
278.90312,19
278.91748,14
278.92963,8
279.15899,95
281.08705,44
281.89226,9
282.8887,38
282.90281,21
284.90434,12
284.92516,13
285.22134,13
285.24247,11
288.85115,10
288.86133,7
289.14094,6
289.14939,19
289.18583,13
290.15734,58
291.1476,17
293.19605,16
293.87552,8
294.1412,8
294.87708,36
294.88939,14
295.87653,7
296.88471,8
298.86268,28
299.17012,12
300.86388,15
300.89915,20
302.14412,12
303.16513,27
303.20143,6
304.91349,9
305.21104,64
305.21704,64
306.13489,28
307.22664,17
309.19072,8
309.20296,7
309.24229,20
310.11522,17
311.25798,17
313.22212,25
313.27339,33
315.88611,7
316.85889,20
317.11484,75
317.1808,68
317.21697,7
318.11819,9
322.88906,6
323.22158,19
325.20112,121
326.20191,8
326.20436,17
326.81784,11
327.20136,9
331.19614,6
331.23259,7
333.15828,6
333.1608,8
333.24842,19
337.14918,169
337.86818,9
338.15258,7
338.88404,14
338.89624,6
339.14677,10
341.17823,7
343.23289,6
344.87104,11
344.90597,18
346.84429,10
347.19111,23
352.13659,13
359.25766,27
360.26129,6
360.86605,12
365.14404,6
371.26406,12
371.27636,12
372.85395,7
373.25805,8
379.16003,15
382.84752,6
389.2742,6
404.87255,9
423.14481,22
437.16064,14
438.16862,9
439.17627,13
440.14799,9
441.15589,10
445.2017,11
450.16851,10
451.14003,40
452.14776,58
453.15543,12
455.1717,9
455.33409,8
459.21739,15
460.22539,9
460.29739,6
461.23319,6
461.30484,14
465.15549,19
466.16342,35
467.17104,156
467.26324,12
468.17413,11
468.17893,9
481.18687,116
482.18963,8
482.19465,33
483.16594,17
483.18357,6
483.19805,13
489.29949,8
497.18168,7
502.30042,6
505.25319,10
507.24319,81
507.25538,80
507.26825,27
508.25925,8
509.2586,35
509.27086,35
510.27457,8
511.27439,20
511.28673,23
513.21256,18
513.28977,8
513.30218,15
519.23812,23
526.18377,20
527.23433,7
529.25033,23
530.2529,10
536.43683,127
537.43995,45
540.1997,20
541.20743,53
542.32279,13
547.26943,14
555.22346,50
556.22687,10
559.219,12
561.29051,8
564.30537,9
567.26448,8
569.28023,7
581.39815,6
582.40673,62
583.40957,8
592.26741,41
593.27014,10
599.21338,12
607.43529,26
613.22843,8
614.23705,245
615.24002,82
616.23366,9
640.41256,7
641.41967,34
642.42337,15
657.41406,15
658.4225,353
659.42522,143
660.42923,17
717.44174,11
717.45427,29
718.45673,8
719.46929,7
721.48477,9
739.42588,30
739.4378,44
740.42936,11
740.44131,15
741.44087,16
741.45404,17
742.44486,6
742.45686,7
771.51625,7
771.52895,11
771.53912,8
771.54547,9
771.56199,8
771.57342,17
771.58232,17
771.60138,12
771.60773,12
771.62044,21
771.64204,23
771.65729,26
771.67635,21
771.68779,19
771.69668,14
771.70431,15
771.71829,18
771.72845,20
771.73989,9
771.75133,10
771.75896,7
771.77421,7
771.78946,6
771.81361,6
786.51272,23
791.45655,126
791.46975,141
792.45938,63
792.47128,47
793.46146,7
793.47338,21
793.48531,23
794.48668,7
795.48862,7
813.46314,7
851.47624,8
852.4802,10
892.53354,361
893.53659,255
894.52864,14
894.53974,54
895.53347,8
