"m.z","int"
105.00335,299
115.05421,36
120.01964,98
121.01638,96
121.03438,43
123.01383,402
125.01141,55
128.06211,26
130.06511,48
131.019,273
133.03454,95
134.9987,247
135.05004,32
135.99958,36
136.99642,24
137.04053,118
138.03002,421
139.02675,482
145.03428,207
147.04978,25
150.06116,23
151.02697,50
151.04502,536
153.00923,1647
154.01004,415
155.00697,439
157.0833,23
159.05027,83
160.04523,32
162.99349,273
163.04482,175
165.06079,221
165.08845,23
167.03962,328
167.10414,30
169.03757,83
170.97505,40
171.09864,35
175.04517,105
177.00951,421
177.0609,57
177.08828,39
178.01002,74
179.00653,76
179.05084,35
179.07641,217
179.10426,25
189.06032,59
191.03972,27
191.07604,25
193.05546,29
193.09172,154
193.11972,46
199.04524,285
205.0039,43
207.10738,76
207.13566,33
210.99996,53
213.09703,32
217.09221,59
219.01942,22
221.1236,107
221.1509,31
227.11241,32
235.13909,177
249.15491,114
253.14049,69
255.10691,25
271.15455,482
272.15684,35
273.15185,28
277.18587,42
281.08627,100
289.14868,21
289.165,108
291.17989,38
293.19567,202
294.19825,23
302.14444,36
305.21013,150
305.21772,140
309.24271,22
313.2216,89
317.11436,67
323.22184,24
325.20141,1400
326.20361,341
327.19782,140
333.24809,44
337.14963,103
343.2108,50
359.25679,36
401.20258,39
423.14556,52
424.15256,23
429.27988,21
437.15888,50
438.1685,21
439.17725,24
441.1569,21
451.14063,99
452.14665,199
453.15376,71
455.17119,21
461.30498,53
464.14685,21
465.15389,88
466.16183,139
467.17066,473
468.17315,160
481.18663,291
482.19191,209
483.16509,23
483.20035,24
507.24189,207
508.24573,65
513.21338,44
526.18334,56
536.43724,356
537.44037,104
540.19867,84
541.20641,180
542.21098,36
553.24775,32
555.22178,194
556.22832,73
559.21736,26
561.28967,37
567.2653,49
582.40525,245
583.40978,73
589.42398,21
599.21204,30
607.4349,50
608.43728,30
614.23674,699
615.24153,356
616.2379,60
624.45956,43
640.41159,22
641.41967,34
657.41425,33
658.42269,1056
659.42543,604
660.43046,129
717.44839,23
734.4838,23
739.43191,369
740.42945,176
741.44336,181
742.44497,75
743.46784,32
768.11435,23
768.16988,43
768.20017,51
768.24057,39
783.42336,21
785.42914,138
786.43231,32
786.51599,85
787.44263,155
787.52124,26
788.44441,48
789.45862,35
791.46123,880
792.46011,433
793.46088,120
794.46885,26
799.44653,62
800.44982,25
801.46039,33
802.46209,24
809.47225,22
837.46259,195
838.46347,110
839.46614,31
851.48073,206
852.48324,126
853.48752,32
881.48691,35
892.53096,1473
893.53718,1177
894.53876,604
895.53567,200
896.54062,33
