"m.z","int"
104.10735,107
105.00353,327
105.07016,40
107.00085,26
107.08567,35
109.10135,65
114.09155,68
115.05442,186
116.9664,228
117.06996,26
117.96628,29
119.0856,39
120.01986,94
120.081,72
121.01661,154
121.02861,47
121.03461,69
122.02103,90
122.0578,34
123.01374,323
123.02345,91
124.95334,27
125.01132,43
125.09622,34
128.06202,157
129.0523,218
129.06969,30
129.9578,63
130.06502,365
130.95705,77
131.0189,502
131.02637,29
131.08543,57
131.95312,667
132.1017,195
132.95334,42
133.00752,100
133.01661,46
133.03444,254
133.10105,48
133.94989,47
134.99897,364
135.00269,95
135.02315,62
135.05032,255
135.11696,35
135.99948,75
136.02167,57
136.07322,272
136.99631,74
137.04081,299
137.04766,39
137.05717,178
138.0303,486
138.03414,67
139.0181,491
139.02704,538
139.03637,62
139.07292,32
140.00397,93
140.01379,28
141.06987,62
141.08855,33
144.04192,41
144.08046,28
145.03458,237
145.10087,39
147.05009,179
149.03885,27
149.05741,70
149.06561,71
149.98609,36
150.03009,51
150.06104,27
150.08894,63
151.02685,80
151.0449,595
151.07308,399
151.09553,47
152.07626,33
153.00956,1668
153.03379,56
153.04277,30
153.0522,225
153.08858,84
153.12721,30
154.00991,409
155.00684,457
155.06773,148
155.10391,51
157.04723,78
157.08364,769
158.08704,50
158.92179,38
159.05014,148
159.11675,35
160.04558,30
161.02956,48
161.06591,49
161.09354,95
162.99385,161
163.02741,30
163.04518,200
163.07283,136
164.92044,82
165.0335,26
165.04306,26
165.05211,101
165.06066,296
165.06971,38
165.08882,624
166.09183,57
166.9709,66
167.03999,394
167.04921,35
167.06764,220
167.104,801
168.04071,27
168.10737,58
169.02857,98
169.03742,117
169.04733,97
169.0833,97
170.97543,97
171.01679,55
171.02634,63
171.06294,65
171.09902,1087
172.10223,64
173.04193,39
173.06568,41
173.07864,396
173.09376,65
174.02472,26
174.0819,26
175.02745,26
175.04502,161
175.07303,34
175.10929,39
175.11863,208
177.00936,300
177.03393,37
177.06075,182
177.08868,486
178.00986,29
178.09155,66
178.9689,165
179.00695,48
179.02228,37
179.03989,29
