"m.z","int"
102.97042,60
105.00357,62
107.95047,116
107.97308,23
115.05447,94
119.01911,459
119.08564,33
119.89498,31
120.0196,27
120.981,88
123.0138,84
128.06208,82
130.06507,130
131.01896,160
135.00275,102
137.02946,1395
137.04049,35
138.02997,103
138.99134,42
139.0271,142
141.06993,35
145.03464,46
145.10094,41
147.05016,21
149.01217,28
149.02339,168
149.02943,367
150.97632,38
151.04497,196
153.00918,505
153.95561,50
154.00999,113
154.96802,64
155.00692,131
157.10099,21
159.05021,33
162.99343,43
163.04525,45
164.92052,49
165.00694,24
165.06073,68
167.02267,47
167.04007,179
169.1011,21
170.96332,103
171.11662,33
172.97887,111
172.99614,39
174.89582,24
174.98526,89
177.00944,104
179.07634,56
180.08012,23
181.94078,25
183.95166,39
184.073,112
185.13228,24
186.93556,21
188.93578,24
191.10415,31
193.09228,46
194.93399,22
195.05409,21
197.13255,31
197.91329,38
199.04516,77
203.93816,69
204.94605,48
214.89336,46
216.95111,25
217.93957,33
226.92088,26
228.06162,31
232.9459,45
235.13898,24
244.9314,30
248.94043,32
249.15479,23
258.83325,38
259.89607,33
260.90348,23
271.15442,31
274.80783,23
277.9061,39
281.08725,79
293.19551,60
305.21756,192
309.24254,27
311.2576,146
313.22275,172
313.27402,31
322.82517,22
323.22166,61
325.20123,81
329.26914,23
331.23312,38
333.2479,53
337.14943,60
345.02255,36
348.82875,30
351.23736,69
351.24984,85
411.14598,31
422.13774,28
423.14528,103
424.15228,53
425.16081,49
429.27749,32
435.14549,21
436.15245,36
437.16075,116
438.1682,97
439.13986,26
439.17696,120
440.14759,28
440.18263,53
441.1544,43
442.16247,21
450.13085,45
451.14032,282
452.14634,377
452.18282,23
453.15345,182
453.19234,46
454.16163,49
454.19836,27
455.17088,73
455.20773,34
456.17887,24
461.30466,34
464.14653,28
465.15595,213
466.1639,329
467.17033,898
468.1416,21
468.17523,376
469.14963,41
469.16891,39
479.17021,27
480.17916,44
481.18629,690
482.15642,21
482.19157,452
483.16475,124
483.19749,100
484.17119,48
485.18077,25
494.32229,97
497.1806,74
498.15207,21
498.18898,69
499.19514,53
502.30139,38
505.25353,29
507.24152,249
508.24536,78
509.25762,29
511.28577,32
513.213,161
513.30399,77
514.21803,47
514.28993,33
516.30651,122
520.33882,32
525.1769,23
526.18295,160
527.18902,52
527.23208,41
536.43683,479
537.43997,178
539.19036,31
540.19826,145
541.20599,387
542.21057,145
552.43356,21
553.20721,41
553.25041,43
555.22446,397
556.22789,181
559.21693,124
560.22177,35
567.26165,57
571.21975,53
582.40479,274
583.40931,102
597.27539,23
598.40194,31
599.21504,70
601.26204,84
613.22671,74
614.23624,1577
615.24103,817
616.2374,229
617.23983,45
630.23068,32
631.23738,28
641.41913,25
657.41369,93
658.42213,1289
659.42487,602
660.4299,135
674.41674,25
739.43124,32
768.44187,43
768.48228,43
768.50754,48
768.56312,21
791.46048,75
792.45936,44
890.51641,54
891.52554,93
892.53638,2291
893.53628,1894
894.53786,994
895.54112,300
896.53971,34
908.52428,80
909.53166,74
910.5342,31
