"m.z","int"
102.92594,17
105.07009,25
106.90476,51
107.95066,15
108.90444,45
109.10144,20
111.11703,43
115.05438,112
116.98605,26
117.06996,31
119.01904,247
119.08565,21
120.01975,13
120.08089,13
121.01657,22
124.9376,13
125.96106,88
128.06206,85
129.06989,28
130.06513,68
131.01891,98
131.08544,43
133.03452,21
133.10113,27
134.99642,59
134.99884,20
135.00284,14
135.05018,79
135.11673,11
137.02943,438
138.03022,39
139.02695,51
141.06976,61
142.07766,15
142.94806,417
143.08545,29
145.03452,29
145.10112,39
147.05011,15
147.11684,13
149.02332,264
149.02947,96
149.93067,12
150.03727,117
151.02705,14
151.0451,37
152.062,17
153.00704,21
153.0094,146
153.06978,25
155.00689,35
155.08541,35
157.08355,59
157.10117,44
158.92191,31
159.05014,44
159.11675,24
161.09594,11
163.04501,61
164.92038,11
164.92992,56
165.06071,127
165.06989,29
165.99231,15
166.01487,21
167.04003,31
167.97141,14
169.10104,45
169.12229,32
171.09902,18
171.11666,35
173.13248,37
174.98512,20
175.0451,17
177.00928,28
177.06067,77
177.09699,15
178.06498,20
179.07629,21
179.08539,11
180.08078,22
181.03827,11
183.0177,15
183.11681,28
184.07334,44
185.11484,25
185.13246,43
190.96277,25
191.04007,20
191.10411,24
191.11273,47
192.08073,12
193.09206,48
195.11684,30
197.13244,40
199.04503,23
199.14795,14
199.16911,186
199.92896,18
200.17252,16
204.90376,35
205.05564,14
205.09203,11
207.0712,14
209.13239,13
211.14792,19
213.14587,65
216.08062,13
217.09213,25
217.17995,14
219.10774,36
221.12328,23
221.13244,14
222.91439,21
223.04861,11
231.10779,14
231.15904,59
231.17425,33
233.1233,34
233.18999,22
235.13899,24
235.20548,16
237.22122,15
237.90151,26
239.15924,16
239.16166,1036
240.16508,109
242.85978,59
244.89653,49
245.07839,32
246.91208,52
253.14112,69
255.13578,26
255.23172,11
257.15974,119
260.87045,12
261.15469,12
262.88583,13
262.90705,35
267.21087,19
270.98597,17
271.15424,27
273.15472,20
275.17039,600
276.17109,31
276.17382,48
277.16796,49
279.15916,234
280.16226,28
285.22123,84
285.24237,154
289.14957,28
290.15723,248
291.14778,35
291.16074,13
292.15466,15
293.19594,13
299.20038,80
301.21614,20
302.14431,16
303.16532,62
303.23199,25
303.25265,18
305.21123,103
305.21724,126
306.13508,89
306.85208,16
307.22684,68
309.20348,12
309.24217,70
311.25786,176
312.26132,17
312.83916,18
313.22232,74
313.2736,59
315.19549,63
317.181,232
317.21115,329
317.22622,37
318.18434,12
318.21428,31
321.83897,14
323.22145,54
324.86263,17
325.20099,305
325.21385,26
325.23471,25
325.23715,29
326.20457,32
327.19877,12
327.25281,18
328.83396,34
329.2685,71
331.19028,14
331.2328,13
331.28392,11
333.15814,28
333.20573,18
333.24828,18
337.1494,97
339.19291,162
340.19616,20
344.80825,12
345.22121,28
346.29489,20
346.84452,67
347.19134,42
351.23794,67
