"m.z","int"
100.07603,12
102.97454,10
103.95116,18
104.10729,8
104.99256,119
105.00353,189
106.00431,9
106.02819,20
106.96318,19
106.9889,6
107.0011,7
107.96159,6
108.9044,7
108.94275,14
109.91691,28
110.00619,337
110.9522,13
111.00703,25
112.00374,26
112.89593,203
112.94928,7
112.98523,555
113.02105,13
113.98603,53
114.06016,11
114.09151,29
114.89294,57
114.89403,17
114.98228,142
115.03668,8
115.98298,10
116.97978,15
118.035,19
118.08641,9
119.00168,9
119.00799,6
119.08561,7
119.92492,17
120.01988,11
120.08086,11
120.94042,7
120.97236,22
121.01655,14
121.0347,656
122.03551,54
122.05773,38
123.01391,935
123.03219,67
123.04174,154
123.05291,12
124.01469,73
124.93752,8
124.95326,50
124.96419,67
125.0114,83
125.02093,6
125.98363,64
125.99218,16
126.96885,35
127.08606,11
127.96944,7
128.95352,11
128.96264,18
129.0522,160
130.06509,13
130.99559,6
131.01897,68
132.98721,62
133.03459,32
135.00284,2038
135.04162,17
135.04739,277
135.05018,111
136.0062,45
136.02153,6
136.05088,10
136.07327,215
137.04067,67
137.04314,8
137.04771,9
137.05722,146
138.03024,243
138.03274,17
138.90636,71
138.94334,7
138.98928,6
139.01814,10
139.02698,238
139.03359,7
139.0365,123
139.07286,21
139.11157,6
140.01392,22
140.06816,134
140.90347,50
140.93799,21
140.95902,263
140.97966,10
141.05203,13
141.07149,7
141.08848,27
141.95862,9
142.9385,36
142.96667,7
143.06786,16
143.10662,6
145.02601,7
145.9356,8
146.01883,19
146.99642,10
147.03911,6
147.05275,8
148.92556,19
148.93515,40
148.96123,17
148.97351,7
148.98958,21
149.0573,23
149.06583,6
149.09367,57
149.96094,24
149.98468,9
149.99469,6
150.03031,34
150.03728,12
150.08894,12
150.97999,7
150.99132,8
150.99253,6
151.02696,36
151.02773,12
151.04512,145
151.07296,184
151.09542,22
151.11161,11
151.98002,11
152.0278,9
152.06803,6
152.93294,14
152.97185,11
152.97488,19
152.98442,8
153.00932,82
153.01628,11
153.02436,28
153.04265,13
153.05219,122
153.08857,23
154.01024,18
154.93009,6
154.96371,10
155.00683,17
155.03143,9
155.06783,111
155.10424,21
155.94614,11
156.91195,6
156.93293,156
156.95391,37
157.00137,14
157.02936,84
157.04709,17
157.0835,1930
157.93253,6
158.0869,117
158.92199,78
158.92508,7
158.93102,9
158.99031,7
159.0501,14
159.08769,6
160.04542,8
160.92007,6
160.93277,16
160.96473,12
161.01838,24
161.02928,6
161.09362,49
162.94089,21
162.95075,21
162.96864,7
162.9827,11
163.04501,60
163.07291,69
163.97662,12
164.90896,11
164.91901,9
164.92051,891
164.98457,13
165.0244,63
165.03559,6
165.05218,30
165.06073,31
165.08851,336
166.01489,13
166.09189,23
166.91623,36
166.95076,107
167.00794,14
167.03148,7
167.03993,1644
167.06783,81
167.1042,28
168.04077,167
168.04336,31
168.91065,13
168.94879,11
168.95413,20
168.97197,6
168.97926,12
168.98694,15
169.00179,12
169.03748,221
169.04413,8
169.04712,29
169.0582,15
169.08348,24
169.1222,20
170.96979,21
171.0626,10
171.09908,61
172.90697,26
172.92787,44
172.92962,6
173.05749,217
173.07842,78
173.09367,6
173.93022,32
173.99701,7
174.0607,6
174.89592,17
174.89907,6
174.99386,7
174.99537,31
175.02762,12
175.03408,9
175.04506,33
175.05563,14
175.11895,48
176.93849,6
176.9844,6
177.00702,8
177.00939,22
177.02433,14
177.05226,6
177.06078,88
177.08858,450
178.0144,8
178.09187,22
178.89897,9
178.91486,15
178.93075,10
178.96368,7
178.98738,6
179.02259,25
179.04006,16
179.05114,27
179.06534,16
179.06776,55
179.07628,27
179.10413,177
179.91699,17
180.10756,12
180.1358,43
180.89438,202
180.95945,12
180.97922,54
181.00189,14
181.00319,6
181.04694,7
181.06254,18
181.08348,84
181.11975,7
181.98713,12
182.89257,9
182.94376,10
182.96973,12
183.06278,24
183.0992,27
184.02096,8
184.07321,41
184.95238,6
185.00607,22
185.02189,6
185.04203,18
185.05725,18
185.0783,7
185.11488,101
185.92801,11
186.11798,6
186.94653,14
186.99533,8
187.00321,6
187.01049,8
187.07297,7
188.90181,7
188.92752,7
189.05228,14
189.0606,16
189.0885,9
189.90409,17
189.92519,17
189.97222,9
189.98246,7
191.00009,8
191.02263,9
191.04,92
191.06787,9
191.07632,15
192.1075,84
192.88125,40
192.94526,8
192.96147,74
192.98706,10
192.99326,6
193.002,10
193.0384,24
193.05574,35
193.06257,36
193.08357,62
193.092,47
193.11984,166
194.12336,8
194.87821,41
194.9437,9
194.95855,18
195.02877,6
195.06284,9
195.07818,21
195.09918,62
195.13554,8
195.96654,7
196.00297,7
196.02054,10
196.10989,8
196.85671,8
196.86506,42
196.86834,24
196.87538,9
196.9545,199
196.95762,52
196.98548,14
197.03302,8
197.05745,10
197.07844,60
197.11486,19
197.95409,12
198.08161,8
198.86218,47
198.95115,11
198.97428,29
199.04501,20
199.09397,9
199.99047,11
200.85912,10
201.02799,7
201.03694,13
201.06077,7
201.08866,37
202.92039,10
202.94147,97
202.94335,7
202.98998,7
203.05258,13
203.07642,8
203.10182,10
203.10422,10
203.92608,6
203.94093,9
204.91283,19
204.9224,14
205.01564,6
205.05567,21
205.08353,19
205.11992,28
205.92726,7
205.98701,11
206.89383,9
206.98789,18
207.01985,6
207.05394,9
207.06277,6
207.07125,86
207.07814,171
207.09916,78
207.13556,127
207.96639,14
208.00267,14
208.08147,12
208.13878,10
208.85841,6
208.93538,32
208.95919,7
209.05736,9
209.06166,24
209.06972,9
209.07617,7
209.07832,28
209.09374,15
209.11471,60
209.15111,6
211.00402,8
211.07309,12
211.09399,14
211.13036,31
212.85184,7
212.92826,54
212.93526,24
212.94926,7
212.95921,6
212.98003,18
212.99164,19
213.05228,15
213.14597,44
213.9279,10
214.94787,11
215.04206,10
215.12546,17
215.96442,6
216.92056,6
217.00582,17
217.03823,6
217.04714,15
217.06818,6
217.09207,27
217.10459,38
217.11976,16
217.15618,143
218.15961,19
218.91535,66
218.93629,198
219.07136,14
219.13538,17
219.89988,10
219.93585,11
220.90431,22
220.90937,12
220.92533,17
220.93312,7
221.00322,7
221.01043,8
221.05056,133
221.05738,6
221.07842,17
221.11467,12
221.15113,106
222.05131,11
222.15433,9
222.87906,132
222.88853,26
222.91082,12
223.0488,27
223.07289,8
223.09403,24
223.10924,15
223.13038,26
223.16674,7
223.99757,7
224.03394,15
224.87601,27
224.9182,21
224.9368,7
225.07326,7
225.08867,9
225.1097,18
225.96187,8
226.91532,14
227.0181,7
227.1041,9
227.1252,11
228.92541,9
228.95416,11
229.11999,11
229.90803,9
230.92258,9
230.92528,8
231.01601,6
231.07119,8
231.09909,6
231.10763,6
231.13534,7
232.90765,11
233.05733,25
233.07863,9
233.09361,7
233.13011,22
233.15101,41
233.98202,14
234.88918,8
234.91031,127
234.93123,9
235.13031,6
235.13886,11
235.16665,63
236.16998,9
236.89913,12
236.90562,20
236.90843,7
237.1096,7
237.12496,11
237.14596,16
238.01325,11
238.85269,24
239.08877,40
239.10412,9
239.16177,17
240.84979,6
240.88636,6
240.91805,12
240.92603,20
241.06798,6
242.94184,7
243.08378,23
243.91859,7
244.87034,6
245.06286,6
245.15113,16
246.92331,14
247.01626,18
247.10236,24
247.16662,10
248.03415,6
248.9023,6
248.94025,8
249.06254,7
249.14598,21
249.18235,33
250.01318,7
250.83969,15
250.88421,17
250.90518,17
250.92002,11
251.14025,10
251.16148,7
252.83673,23
252.91707,10
253.14088,181
254.14429,15
254.82346,42
254.83383,10
254.96146,16
255.06261,6
255.15634,10
255.97257,9
256.82053,34
256.89985,14
256.92109,94
257.92031,12
258.81772,25
258.91772,7
258.93674,25
259.07858,6
259.09391,10
261.12498,7
262.05578,9
262.88691,13
262.99029,10
263.198,15
263.90771,6
264.90481,6
265.15624,8
266.86847,6
269.09699,7
269.11479,43
270.98559,43
272.88397,10
272.89493,66
273.14606,26
273.18219,14
273.89453,7
274.91071,19
274.93152,41
275.93092,6
276.89481,6
276.93387,21
277.17719,6
277.18567,6
277.21358,13
278.04452,7
278.85077,8
278.88197,40
278.90295,79
279.19284,9
279.88164,7
279.90246,6
280.83758,31
280.89981,9
282.8347,23
285.22093,7
288.88103,9
289.17728,9
290.78737,15
290.90529,33
292.78451,21
292.90246,6
294.78189,16
294.87673,62
294.89804,7
295.87618,9
296.8113,6
300.86387,10
300.89265,7
300.93907,6
301.08892,12
302.14412,35
302.90838,13
305.21043,9
306.87964,6
308.96786,14
309.20335,44
309.24203,9
310.85055,9
310.87167,8
312.78198,13
312.8981,10
314.77881,22
316.7761,9
316.88777,17
317.11463,46
318.11799,9
318.79888,6
318.90318,18
319.1126,8
322.85346,8
322.87478,6
324.89003,6
324.94176,9
325.17698,7
328.74879,6
329.02742,17
329.08404,7
332.86132,12
334.87719,13
334.89826,29
336.83261,6
336.91362,10
338.79597,9
338.84848,9
338.86992,11
340.79333,9
340.86421,14
340.8851,13
345.02218,6
346.88029,8
347.09449,7
350.74305,11
350.87198,29
350.98656,6
352.7403,11
354.73722,6
354.8434,16
356.85903,9
356.88022,17
359.25776,7
361.23464,16
362.8748,7
365.24472,12
368.86206,7
368.91331,6
368.93431,7
372.85417,19
373.85364,6
374.73412,6
376.75705,9
378.86984,11
379.86947,6
380.88541,6
384.85676,13
392.82834,11
394.84343,7
394.86436,7
396.23222,6
396.88109,7
400.83078,11
400.85172,17
401.85082,7
410.8385,14
416.82574,16
416.84643,9
426.81278,6
428.82879,6
428.8488,7
430.91693,7
432.82116,10
438.8374,12
442.80823,8
446.89032,6
452.14761,21
454.81025,7
454.83152,8
458.78181,6
458.80278,9
465.15603,7
466.16338,10
467.17101,43
470.80591,10
476.79257,6
479.77585,6
481.18694,45
482.19411,8
513.2129,6
520.78511,6
526.18423,7
536.43664,20
536.7594,6
540.20029,6
541.20728,8
555.22341,25
559.21821,6
566.41088,15
614.23659,72
615.23957,21
658.42236,68
659.42509,17
681.41194,12
682.41482,6
698.91243,6
765.53784,6
765.79783,6
765.8217,6
765.83804,7
765.84683,10
765.85563,12
765.86442,13
765.87447,20
765.89584,18
765.90714,17
765.91971,24
765.93353,21
765.9461,16
765.9549,15
765.96872,15
765.97501,17
765.98506,8
765.99763,7
766.01145,9
766.0567,6
786.03008,18
791.46946,42
792.47231,18
793.4837,25
794.48773,12
886.64808,9
892.53407,79
893.53554,42
957.55289,11
