"m.z","int"
102.92586,31
107.95064,7
111.11695,7
112.89586,17
115.05429,8
116.98605,11
119.01896,43
119.8949,8
120.08081,7
120.93627,13
125.96099,35
128.06199,14
130.06505,34
130.93273,18
131.01884,39
131.08537,6
133.03445,8
134.99635,10
135.00268,7
135.04732,7
135.05011,27
137.02936,90
138.03015,7
139.02688,10
140.06805,31
141.06969,6
142.9479,113
145.03435,8
147.05005,8
148.94338,12
149.02326,43
149.02941,62
150.03721,11
151.02688,6
151.04493,19
151.09523,11
153.00923,97
154.01003,19
154.90724,26
155.00684,23
156.04189,55
157.08338,25
158.92186,10
159.05009,11
163.02756,6
163.04496,8
164.92033,48
164.92987,19
165.06067,106
166.06138,11
167.03986,17
167.05816,8
169.12212,8
169.89429,21
170.97539,9
171.09898,15
172.95216,10
174.89592,12
174.98509,6
177.00925,6
177.06064,17
177.0971,25
179.10411,7
181.0381,9
181.91827,10
182.92611,8
183.01752,20
184.07316,10
185.11467,14
189.06052,6
190.9626,34
191.07622,15
191.10394,11
191.11256,34
193.09189,10
193.11973,7
196.1806,8
196.8777,7
199.16911,50
199.92879,21
204.90359,13
205.09203,13
207.07103,6
207.1076,7
207.13534,6
213.14588,35
218.22254,6
219.10757,17
221.12311,9
221.15099,12
222.07725,10
222.91402,10
223.18893,8
223.1915,7
225.20467,11
225.20707,7
230.22248,23
231.14408,6
231.15908,12
231.94427,7
233.12335,15
237.14592,14
239.15887,36
239.1615,1033
239.2229,11
240.16492,107
242.85962,26
244.89614,12
245.07846,25
245.12327,9
246.21762,7
246.91193,6
246.92021,7
247.13887,7
249.15448,8
253.14097,56
253.23841,7
254.14413,7
255.13563,92
256.13878,8
256.8206,11
257.15959,80
258.16315,6
263.13374,7
268.24927,7
273.13719,14
273.15458,19
275.17025,535
276.17096,42
276.17368,49
277.1588,6
277.16783,47
277.18561,6
279.15903,31
281.08681,20
282.26472,6
284.28079,8
285.2211,11
289.14944,16
289.18559,8
290.1574,92
291.14765,37
292.15454,8
294.26511,7
296.2807,10
297.12024,17
298.2963,8
299.16989,10
302.14388,14
303.16489,63
305.2108,12
305.21712,12
306.11211,16
306.13465,97
306.85196,11
307.13799,12
309.20337,16
309.24238,8
310.29604,6
311.25775,10
312.31192,6
314.7788,7
317.1146,7
317.18056,75
319.14264,13
321.83887,8
322.82589,8
324.31166,6
324.86218,8
328.83387,10
333.15805,14
333.24819,9
337.10822,10
337.14932,36
340.83642,6
344.80779,6
345.21201,9
346.84445,37
347.19127,78
349.18876,9
351.32296,8
353.33815,8
355.35405,9
359.12022,16
359.25784,7
362.81791,16
363.16886,10
367.35397,6
372.73767,10
396.38033,7
400.41179,6
412.41162,6
423.14513,7
424.15264,6
430.69652,11
446.75595,8
451.13986,13
452.14816,23
455.32125,40
455.33392,44
456.32511,11
461.30467,10
465.15533,12
466.16326,15
467.17088,71
468.17457,12
481.18672,47
482.19451,18
483.16579,8
504.29636,6
513.21245,8
526.18367,6
536.43674,45
537.43986,12
541.20734,26
555.22338,23
566.41157,128
567.41504,40
568.41796,7
582.40669,16
599.21336,8
613.22933,8
614.23705,99
615.24002,29
616.23457,11
640.41068,6
657.41412,9
658.42256,163
659.42529,69
660.42829,15
769.82961,9
769.83974,7
769.85367,18
769.86127,17
769.87013,18
769.879,18
769.89166,24
769.90812,19
769.92585,21
769.93979,18
769.95245,13
769.96005,15
769.97398,12
769.98032,14
769.99045,15
770.00565,9
770.02592,7
791.45684,10
791.46872,22
792.47156,7
815.49326,6
830.40899,7
892.53245,191
893.5355,121
894.53865,37
895.53237,9
957.53834,8
957.55063,9
