"m.z","int"
102.12794,6
104.1072,13
105.00351,6
105.07007,16
107.08576,8
109.10135,13
111.08056,7
111.11701,42
115.05436,111
117.06995,14
119.01903,166
119.08556,26
120.01966,10
120.08088,26
121.01648,14
125.96097,29
128.06197,94
129.06989,25
130.06512,124
131.01891,111
131.08544,28
132.01964,8
133.03452,40
133.10113,39
134.99875,71
135.00275,45
135.0501,22
135.11664,7
135.99953,10
136.99626,12
137.02935,311
137.04057,15
138.03013,20
139.02686,33
141.05706,7
141.06967,44
142.07758,22
142.94798,86
143.08536,13
144.08064,7
144.09314,6
145.03444,48
145.06468,7
145.10104,30
146.01866,6
147.05003,44
147.11665,15
149.02324,99
149.02939,137
149.06574,10
149.98589,17
151.02697,11
151.04501,45
151.09532,12
152.06192,18
153.00932,379
153.0697,16
154.01012,75
154.06497,26
155.00681,102
155.07273,6
155.08532,32
155.1041,12
156.0807,19
156.0933,13
157.08335,49
157.10109,36
159.05006,17
159.11667,26
161.02934,12
161.09586,8
162.9936,26
163.04493,39
164.92042,63
164.92984,47
165.06076,242
165.06981,28
165.07195,7
166.06147,22
166.06502,12
167.03995,41
167.05825,19
167.07285,9
167.0854,22
167.99638,7
168.0807,31
169.03749,15
169.10096,29
169.12208,34
170.09621,6
170.1087,9
171.09894,37
171.11659,50
173.13241,29
174.98519,62
175.04503,6
175.08142,13
177.00935,64
177.05445,10
177.06074,23
177.09706,90
178.01012,10
178.06491,21
178.07744,7
179.00692,10
179.07622,25
179.08546,13
179.10393,7
180.08056,25
181.10103,16
182.09626,11
182.10893,10
183.11675,32
184.07327,255
185.11463,44
185.13239,28
187.0451,6
187.08135,6
187.14796,8
189.06063,10
189.097,36
189.12722,6
191.03986,10
191.07273,7
191.07633,27
191.10405,11
191.11267,265
192.08052,19
192.11335,14
192.11603,10
193.08866,6
193.092,57
193.11029,13
193.11968,8
194.09642,19
195.09158,7
195.11662,30
197.06578,7
197.13239,36
198.97407,14
199.04497,23
199.14789,25
199.16906,158
200.17246,8
201.16352,11
203.07618,18
203.08527,8
203.11256,17
204.08061,9
205.05559,8
205.09198,35
206.05511,10
206.09633,10
206.09983,22
207.01993,6
207.09146,8
207.10754,23
207.11673,10
209.13235,23
210.9999,7
211.14788,20
213.09694,10
213.14601,94
213.16353,23
214.9649,7
215.11277,12
215.1427,6
215.17937,11
217.07597,7
217.0919,30
217.17972,6
218.09621,18
219.09155,9
219.1077,79
220.11191,7
221.10706,7
221.12324,37
221.13221,11
223.14795,6
224.1045,19
226.0837,13
227.11257,22
228.06168,12
229.12835,7
230.09614,6
231.09152,8
231.10755,28
231.14401,29
231.15901,17
231.17422,56
233.10723,8
233.12327,73
233.18975,14
235.13897,22
235.20546,8
237.14584,27
237.1636,13
239.15901,30
239.16164,1457
239.1794,11
240.16506,120
241.17726,9
242.07726,17
243.08384,10
243.0917,8
244.89606,7
245.07837,41
245.10726,6
245.12319,24
246.08635,7
247.10263,15
247.13901,31
247.148,7
249.10334,6
249.15463,28
249.16372,8
253.14088,63
255.13554,47
257.01605,11
257.10719,7
257.15974,276
258.1606,25
258.16306,15
259.13912,12
259.15742,24
261.14368,56
261.15469,36
261.1637,8
263.13389,8
263.17945,8
267.21063,23
269.10735,7
270.98572,37
271.15426,81
273.15448,49
273.17,12
275.13389,6
275.17015,1483
275.17935,6
276.17112,150
276.17357,135
277.16772,152
277.17456,14
277.18605,13
277.19507,16
278.17109,6
279.15891,42
281.08698,65
281.10737,7
281.18981,6
283.20566,10
285.15446,6
285.22127,62
285.2424,26
286.22452,7
289.14932,33
289.16448,6
289.18605,10
290.15728,249
291.14753,22
291.15814,10
291.16079,16
291.18052,8
292.15471,16
293.13618,10
293.19599,14
297.12012,39
299.17006,24
301.08917,8
301.19481,12
303.16507,162
304.16579,7
305.16231,8
305.21098,213
305.21699,27
306.13483,27
306.21423,31
307.22659,83
309.20323,6
309.24224,46
311.17005,10
311.25793,78
313.22207,10
313.27335,6
315.15013,20
317.18075,175
317.2263,54
318.18139,6
318.18409,8
318.22951,8
319.17832,10
319.20537,6
323.22154,30
325.18579,7
325.20108,98
326.11353,6
326.20222,8
326.20432,11
327.10871,16
327.19852,7
329.02752,32
329.18077,7
331.19646,8
333.16077,21
333.24226,8
333.24839,7
337.14916,57
345.02256,12
345.21184,16
345.22097,21
347.19109,92
348.19193,7
348.19462,9
349.18858,10
352.12913,6
359.23666,6
359.25765,127
360.26088,17
364.12943,6
371.26407,11
374.11325,6
377.26847,8
401.28365,19
402.14473,7
409.12981,12
410.13738,18
411.14522,34
412.15331,26
413.12429,6
413.16063,14
414.14466,9
421.12932,15
422.13735,22
423.14488,101
424.14876,12
424.15291,72
425.12453,6
425.15675,9
425.1609,51
426.16885,30
427.14008,10
427.17672,37
428.14825,7
428.16085,7
429.15577,9
429.2786,44
430.28165,8
435.14494,26
436.15298,36
437.12442,17
437.15639,8
437.16073,86
438.13228,24
438.16436,16
438.16871,73
439.14036,37
439.15836,6
439.17255,19
439.17636,102
440.14808,34
440.17983,17
440.18421,37
441.15543,54
441.17411,13
441.19224,39
442.15908,8
442.16349,24
442.19491,6
442.19987,15
443.17114,10
443.29395,10
444.17946,7
446.28134,8
449.12405,14
449.16073,23
450.13239,36
450.16862,23
451.14014,178
451.1765,48
452.14331,30
452.14787,275
452.18435,37
453.13782,17
453.15154,54
453.15554,99
453.18757,6
453.19215,58
454.14593,26
454.15913,19
454.16372,30
454.19585,7
454.19987,36
455.17124,77
455.20348,6
455.20808,29
455.32153,79
455.3342,42
456.17922,22
456.33753,6
457.18708,21
458.15875,6
460.29693,49
461.16109,8
461.30496,119
462.16784,6
462.30806,24
462.31278,48
463.14008,16
463.17612,23
463.31621,6
464.14799,60
464.18415,13
465.15562,149
465.1919,22
466.15878,31
466.16355,203
466.19936,16
467.13466,12
467.15322,12
467.17118,615
467.20769,31
467.26338,14
468.14304,16
468.15625,6
468.16105,21
468.17426,141
468.17907,69
468.2151,9
469.15046,24
469.16853,57
469.17516,7
469.18239,10
469.18661,23
470.15872,18
470.17202,20
470.19499,17
471.16599,8
475.17604,9
476.18409,14
476.31286,7
477.15518,7
477.19164,14
477.29918,8
478.16334,8
479.17158,29
479.20765,10
480.17429,9
480.17865,39
481.15011,9
481.18702,443
482.1584,9
482.18979,106
482.19481,220
482.23059,6
483.1661,89
483.18436,46
483.19065,6
483.19821,46
483.20262,40
484.13716,6
484.16937,9
484.17379,20
484.18769,8
484.19211,10
485.18211,18
489.29966,47
494.19458,7
495.20237,25
496.17393,7
496.20997,6
497.14572,7
497.18186,72
498.15332,15
498.18958,70
499.19242,8
499.19771,24
499.32006,7
502.30061,6
504.17853,6
506.30196,13
507.24339,56
507.25558,8
507.30977,9
508.24586,8
509.2588,13
510.22558,9
511.16085,26
511.19716,12
512.16878,7
512.2052,23
513.21277,101
514.21572,18
514.34293,40
515.34642,6
515.35128,12
521.31021,15
521.41325,10
521.4556,11
524.31285,19
525.17654,35
526.184,126
527.1872,21
527.19222,13
527.2281,13
528.18175,11
535.42868,30
536.43708,676
537.4402,264
538.44318,37
539.19206,42
540.19995,120
541.20769,285
541.24351,9
542.19728,9
542.21076,73
542.32305,10
543.20536,16
549.17592,7
549.48657,6
551.19183,15
551.3875,6
552.43134,44
553.20729,20
553.43491,16
554.21607,16
555.22374,276
556.22716,60
557.20367,7
557.2216,20
557.41972,6
559.21851,77
560.22178,14
561.29081,42
562.29413,10
564.30567,13
566.41193,202
567.4146,63
568.23198,10
568.42716,24
569.23948,35
569.43035,6
570.24724,6
571.21883,46
572.22212,6
581.39849,42
582.40623,251
583.40991,99
584.41283,7
584.42205,6
585.2345,8
586.24213,15
587.24984,10
589.4249,30
590.42807,11
595.47137,26
596.47448,7
597.39356,7
598.40153,19
599.21375,75
599.40945,7
600.21762,8
600.41643,8
607.43567,71
608.43892,23
609.45091,12
612.22178,6
613.22972,72
614.23745,965
615.24042,306
616.23497,93
616.24313,47
617.23738,41
624.4611,17
629.22375,7
629.40437,13
630.23177,10
631.24034,15
640.41205,52
641.42013,45
642.42286,15
643.39892,6
652.32595,6
656.40644,17
657.41455,109
658.42299,1249
659.42572,524
660.42872,91
667.31293,11
668.32068,13
674.41642,15
681.32914,9
682.33606,9
683.34416,36
697.35999,19
698.36656,6
717.45376,6
732.55298,58
733.55663,14
739.42656,29
739.43848,56
740.43005,12
740.44199,12
741.44156,25
741.45473,43
742.45874,18
743.45759,7
743.46961,33
744.47291,9
745.47341,6
745.48548,7
752.51907,6
754.53502,45
755.53865,19
757.38013,19
758.38325,6
769.48708,7
770.70585,7
770.72995,8
770.73883,11
770.74644,10
770.75405,16
770.77055,26
770.79211,21
770.80607,22
770.81875,26
770.82764,24
770.84413,11
770.85301,24
770.87839,10
770.89615,6
770.90757,11
771.39507,15
778.53663,39
780.55337,25
781.55626,11
783.42874,7
786.51352,28
787.51744,8
789.45347,10
789.46662,8
791.45737,249
791.46925,345
792.46019,108
792.47209,129
793.45432,9
793.46227,21
793.47287,57
793.4848,74
794.47555,26
794.48883,30
795.48944,8
795.50141,14
800.51964,45
801.52225,7
802.53484,16
807.42942,10
809.44484,45
810.44787,11
811.44864,24
812.45127,10
826.53752,91
827.54003,30
830.40813,47
831.41201,18
831.42907,24
833.52081,31
834.52462,20
837.46218,14
837.47511,10
848.51841,50
848.54332,8
849.52156,20
851.47721,14
852.47971,12
852.55201,23
853.55641,9
864.53899,8
865.54201,6
870.56355,25
871.56791,8
874.53473,16
881.48908,7
891.52538,27
892.53306,1682
893.5361,1032
894.52974,105
894.54084,232
895.53457,89
896.53791,14
896.54746,7
907.55714,8
908.52718,24
909.5313,7
957.55305,25
958.54278,8
958.5551,9
