"m.z","int"
102.926,40
104.10729,11
104.90817,24
107.95072,18
109.10144,28
115.05445,70
117.03978,16
117.07004,16
119.01904,256
119.08565,15
119.89513,13
120.08089,19
120.93634,14
121.01657,14
125.96115,50
128.06215,51
129.06989,12
130.06521,121
130.93289,83
131.019,193
131.08553,20
132.01982,11
133.0166,12
133.03461,66
133.10122,27
134.99651,13
134.99893,64
135.00293,125
135.05027,171
137.02943,347
137.04779,15
138.03022,31
139.02695,46
141.06986,17
142.07776,12
142.93854,28
142.94806,97
144.08072,15
145.03462,42
145.10112,11
146.01884,11
147.05022,31
147.11673,12
148.93514,15
148.94344,25
149.02332,36
149.02947,243
150.0303,11
150.03738,127
151.02705,17
151.03816,15
151.0452,45
152.03477,12
153.0094,265
154.0102,52
154.9074,31
154.9417,19
155.00689,85
155.08552,11
155.10429,14
157.08354,30
157.10117,22
159.05025,61
163.04501,93
163.9078,11
164.91585,11
164.9205,730
164.93004,152
165.06083,86
165.07202,14
166.91633,20
166.94881,13
167.04002,69
168.08077,13
169.12228,15
169.89445,12
170.10904,12
170.96323,23
170.97555,12
171.09914,17
171.11666,13
172.95232,38
172.99629,36
173.13247,15
173.9304,11
174.97578,157
174.98525,53
175.0451,31
175.08149,25
177.00941,35
177.0608,140
177.0886,19
177.09712,96
179.00698,12
179.07643,31
179.08552,13
180.08077,17
180.89438,133
180.9039,33
181.91844,55
182.92643,15
183.11681,20
184.07333,39
185.11483,24
185.1326,16
186.91193,18
188.97379,12
189.06084,28
190.96276,42
191.04007,11
191.07639,20
191.10426,42
191.11272,64
192.0842,14
193.09221,48
196.86853,11
196.9578,19
197.13244,26
198.97429,53
199.04519,28
199.1691,31
199.92912,32
204.91297,38
204.96132,11
205.09219,41
205.12842,29
206.09988,13
207.07137,62
207.10758,13
211.1481,16
212.9149,14
213.14623,40
214.89358,12
215.07634,12
215.90146,11
217.09212,16
217.15642,12
219.07139,11
219.10773,72
221.05058,24
221.12327,22
222.87906,58
222.91102,30
231.10778,20
231.14423,12
231.17444,24
233.1235,47
235.13919,33
235.20568,11
238.85322,11
239.15923,14
239.16186,604
240.16507,49
242.07727,15
243.08406,25
245.0786,42
247.13924,30
249.15486,27
253.14111,50
255.13577,82
255.88661,11
257.01628,20
257.15973,53
259.07902,32
261.14416,18
261.88526,16
270.98595,51
271.15449,65
275.17038,348
276.17135,17
276.1738,26
277.16795,20
277.18628,14
278.90328,11
279.15915,11
279.89556,12
281.08721,21
285.2215,46
285.24235,53
287.85391,11
289.14985,12
290.15751,81
293.19622,21
295.21194,18
297.12035,13
301.0894,19
303.1653,29
303.23197,12
305.2109,97
305.21722,102
306.13506,22
306.85174,38
307.22682,18
309.24247,20
311.25816,95
313.2223,58
313.27358,21
317.11502,14
317.18098,44
317.2262,25
323.22177,87
325.20131,467
325.21383,53
326.2021,45
326.20455,77
327.19875,49
329.02775,35
331.23278,11
333.24862,50
337.14938,18
341.1788,19
345.22119,12
347.19132,40
347.19592,26
359.25787,66
409.13001,17
422.13755,12
423.14507,35
424.1531,33
425.1611,26
426.16904,12
427.17691,14
429.27879,17
436.15316,16
437.16091,35
438.16455,15
438.1689,37
439.14,14
439.17655,46
440.14827,16
440.18057,15
440.1844,11
441.15617,13
441.19242,13
449.16091,12
450.1688,14
451.14032,95
451.17668,22
452.14805,133
453.15172,12
453.15572,61
453.19232,31
454.1639,16
454.20005,13
455.17141,20
455.20768,13
460.2971,17
461.16126,11
461.30513,82
462.30823,16
462.31295,12
463.24662,16
464.14815,17
465.15579,72
465.19266,11
466.15895,11
466.16372,114
467.17134,347
467.20786,11
467.26354,32
468.17503,47
468.17923,36
469.1687,19
469.18256,11
475.1762,14
477.1918,14
479.17174,14
479.20781,11
480.17943,21
481.18718,276
482.19057,52
482.19497,106
483.16625,51
483.20277,12
489.29981,18
497.18201,23
498.18972,21
502.30075,53
507.24353,291
507.25572,349
508.24668,23
508.2589,70
509.24054,19
509.25894,47
509.2712,61
510.26192,11
511.16098,11
511.27473,17
511.28707,15
513.2129,51
513.29011,22
513.30252,22
514.34376,15
521.45573,39
523.22998,16
526.18413,63
536.43719,282
537.44031,84
539.19217,15
540.20006,56
541.20779,131
542.21086,19
549.48667,29
555.22461,158
556.22725,23
559.2186,29
561.2909,14
567.26487,33
569.23956,11
581.39855,23
582.40713,169
583.40997,41
595.47228,25
599.2138,25
607.43571,12
613.22976,38
614.23748,477
615.24045,159
616.23499,50
616.24225,23
640.41205,14
641.42013,29
657.41453,68
658.42297,705
659.42569,314
660.4287,33
723.48849,11
723.50118,11
741.45459,31
742.4574,12
743.47067,29
771.00637,21
771.01779,19
771.02668,24
771.0381,19
771.04572,20
771.0546,21
771.06222,26
771.07872,39
771.09903,17
771.10791,13
771.1168,12
771.13584,16
771.15235,15
771.16123,14
771.16885,14
783.42984,33
786.51462,21
791.45715,78
791.46903,201
792.45997,34
792.4732,85
793.4859,33
795.50119,12
809.4446,18
892.53424,747
893.53571,509
894.52934,35
894.54045,127
895.53417,22
957.55252,21
