"m.z","int"
103.02414,17
104.10706,206
105.00331,185
105.06993,6
105.11049,7
106.00409,8
106.90461,38
107.00087,20
107.08557,9
108.90424,44
109.10124,8
109.91669,65
110.07124,10
111.91481,10
112.8957,432
114.09128,22
114.89271,125
114.8938,70
115.05415,31
116.89086,16
119.08538,6
119.92476,82
120.01957,70
120.02214,7
120.08063,34
121.01631,65
121.03447,91
121.92282,9
123.01368,226
123.03188,6
124.01446,13
125.01117,31
128.06186,39
130.04964,45
130.06485,108
131.01874,246
132.01947,15
133.01617,11
133.03427,100
133.10088,9
134.99861,7
135.0026,101
135.04995,118
136.93987,7
137.04034,126
137.04738,7
138.02992,230
138.03251,22
138.04116,9
138.05463,23
139.02665,250
139.03326,7
139.03793,10
140.95869,13
141.06957,15
143.154,8
145.03427,27
145.10087,6
146.02948,8
147.02472,23
147.04987,24
147.07599,14
147.93081,6
148.06007,8
148.93481,7
149.96071,13
150.02998,35
150.03695,12
150.97987,6
151.02673,63
151.04478,235
151.07274,6
152.02757,21
152.04557,18
152.06169,10
153.0091,124
153.02391,9
153.04231,18
153.06959,12
154.0099,22
154.06476,15
155.0066,23
155.08512,7
156.0805,10
156.88516,31
157.08328,290
158.08656,6
158.90075,20
158.92177,283
159.04988,44
160.04508,36
160.90109,26
160.91984,13
161.02918,39
161.04032,25
162.99346,23
163.04479,151
163.9942,6
164.04551,8
164.90887,79
164.92017,30
164.93486,27
165.02405,20
165.03537,59
165.0424,9
165.06051,120
165.06956,24
165.08829,23
166.01455,6
166.05564,7
166.93302,7
167.03971,455
167.95381,12
168.04043,31
168.94857,65
169.03727,90
169.05798,16
170.07429,10
171.98795,6
172.90689,73
173.05714,97
173.0782,9
174.06076,8
174.8861,14
174.8957,1345
175.04471,80
175.05528,7
175.0811,18
175.98567,6
176.87495,15
176.89378,179
176.98238,8
176.99215,15
177.00904,51
177.02398,32
177.06043,177
177.08823,16
177.96647,13
178.05559,14
178.06123,7
178.95041,7
179.00662,11
179.02224,14
179.03957,29
179.05093,114
179.05789,6
179.07607,92
180.07684,9
180.08028,8
180.87312,12
180.88264,201
180.89403,143
182.88093,33
184.07301,254
184.93742,12
185.03198,7
185.11437,8
186.91163,7
186.93511,8
187.04471,17
187.05593,17
187.07277,11
187.96193,15
188.9324,13
189.05208,11
189.0604,60
189.90405,66
190.01223,21
190.05556,9
190.06814,7
190.09207,8
190.96891,6
191.02227,8
191.03965,112
191.05076,7
191.07597,51
192.96604,28
193.00244,7
193.03805,13
193.05538,37
193.09181,130
193.98807,8
194.08678,15
194.09255,8
195.03907,17
195.1166,7
195.89074,19
196.02035,7
196.84703,12
196.85669,170
196.86815,302
196.87765,767
196.95399,12
197.0325,49
198.85468,37
198.86382,10
198.86615,31
198.87562,84
198.94331,7
198.95279,11
198.95562,8
198.97392,30
199.04483,50
199.91771,11
199.99599,25
200.90164,15
200.91109,37
200.97999,29
201.06042,14
201.08831,8
202.94095,8
203.03953,6
203.07607,101
204.08033,6
204.90622,10
205.00398,7
205.05532,33
205.06664,50
205.09171,21
205.87804,264
205.89888,37
205.98701,10
206.05064,60
206.05485,27
206.98171,11
207.01385,34
207.01967,7
207.07089,77
207.07796,77
207.10729,20
207.87611,41
207.99787,9
208.00249,12
208.10248,8
208.9352,7
209.057,6
209.06148,70
209.09338,12
210.89324,20
211.01294,17
211.07273,7
211.86467,67
211.99417,36
212.84192,374
212.85131,705
212.90157,6
213.0005,13
213.09674,9
213.86264,8
214.83771,12
214.83995,54
214.84947,132
214.91725,38
214.94789,87
215.01591,6
215.07592,9
215.9699,105
216.07964,7
216.9062,14
216.95393,178
