"m.z","int"
100.07614,94
100.93924,28
100.95902,30
101.06013,65
102.09177,129
102.12811,1507
102.92596,56
103.05465,87
103.13148,76
103.95609,92
104.10731,159
104.90812,61
104.95247,669
105.00355,29
105.03385,159
105.07024,707
105.99268,71
106.06556,19
106.07359,19
106.95053,48
106.98903,487
107.04948,123
107.08587,1299
107.95068,274
108.08112,124
108.08925,72
109.06512,418
109.0764,97
109.10153,2412
109.91703,1814
110.06036,17
110.06844,13
110.07159,50
110.09672,11
110.10487,143
111.04438,214
111.08074,680
111.09199,124
111.11712,5667
111.91507,268
112.05087,81
112.07605,13
112.08407,24
112.12051,470
112.89383,11
112.89596,2704
113.05998,165
113.09641,46
114.0916,886
114.89303,958
114.89405,341
115.05455,428
115.07562,155
115.09501,34
116.01676,12
116.05789,21
116.06234,15
116.07086,36
116.10727,53
116.8911,126
116.93284,380
116.98608,87
117.03988,65
117.05752,22
117.07014,188
118.03233,1681
118.06533,78
119.01907,749
119.03577,46
119.08575,598
119.895,54
119.92505,59
119.92988,419
120.01986,70
120.0282,48
120.08099,652
120.08911,14
120.9262,2161
120.93629,18
121.0166,101
121.02867,1140
121.03467,16
121.06507,138
121.08434,30
121.1014,616
121.92797,47
121.96645,63
122.03203,39
122.06025,76
122.09663,180
122.10471,26
122.9243,283
122.96284,468
122.98378,11
123.01395,18
123.0442,44
123.05553,21
123.0807,255
123.09196,54
123.11706,1055
123.94548,11
123.96577,42
124.0759,21
124.12032,60
124.96438,101
125.05992,62
125.09632,768
125.96109,1129
126.09152,16
126.09966,37
126.96156,11
127.03911,15
127.07553,203
127.11197,476
127.96301,57
128.06227,183
128.10721,48
128.11521,16
128.95369,264
128.97079,68
129.05228,14
129.0548,134
129.06558,12
129.07001,107
129.09114,207
129.10244,50
129.12758,743
130.05004,732
130.06525,1504
130.08635,67
130.09761,21
130.12278,17
130.13087,23
130.93293,87
131.01895,621
131.04936,11
131.05336,18
131.06866,118
131.08565,205
131.95334,19
132.01977,45
132.02678,86
132.08094,46
132.90666,102
133.01654,38
133.03464,144
133.06494,79
133.10135,1015
134.0173,19
134.06017,12
134.09661,20
134.10471,60
134.99646,203
134.99897,46
135.00297,1951
135.04417,78
135.05022,323
135.08056,180
135.11696,507
136.00633,39
136.02166,1830
136.051,23
136.06192,172
136.07575,212
136.11217,101
136.12027,18
137.025,94
137.02947,935
137.04069,32
137.04773,45
137.05981,100
137.09616,269
137.10739,31
137.13261,250
137.94032,256
138.01748,35
138.03026,76
138.05497,72
138.09143,20
138.93666,1196
138.94345,50
138.94676,11
138.95763,44
139.02699,106
139.0543,12
139.0755,123
139.11187,1361
139.93843,18
140.10699,13
140.11515,98
140.93471,140
140.93808,52
140.95911,2153
140.97152,202
141.0699,64
141.08858,21
141.09106,403
141.10229,11
141.12743,78
141.94778,13
141.95881,70
142.07781,43
142.09447,11
142.1228,19
142.94051,11
142.94811,213
142.95489,12
142.95601,33
143.07048,18
143.0857,42
143.1068,699
143.93682,169
144.08087,222
144.1102,39
144.1384,43
144.92756,1061
144.94473,85
144.96573,56
145.03457,132
145.04575,13
145.06491,56
145.10127,200
145.12241,38
146.06012,49
146.09654,22
146.92561,44
