"m.z","int"
102.92588,8
115.05438,9
118.94318,6
119.01905,34
119.95104,8
120.93619,6
125.96099,31
128.06207,9
130.06513,12
130.93281,20
131.01892,14
133.03453,8
134.99885,35
135.0502,30
137.02935,51
137.03886,6
139.02696,9
142.94787,36
145.03443,9
148.94335,6
149.02948,16
151.045,8
153.0093,153
154.0101,31
154.90731,7
155.00691,51
162.9937,6
163.04503,15
165.06073,14
172.95222,7
177.0093,23
177.06069,12
177.09701,33
179.07618,6
181.91832,7
189.09694,6
190.96264,10
191.1126,253
192.11344,15
192.11596,8
193.09193,11
193.11038,18
199.04506,6
199.92883,11
203.88121,6
205.09206,10
206.09975,7
207.09031,17
215.90113,8
217.09198,6
219.10758,27
222.05471,7
222.07727,21
227.11265,6
233.12334,54
239.16149,30
247.13908,6
249.10317,7
249.15446,6
257.15956,13
271.15404,6
275.17019,105
276.17089,6
277.16776,9
302.14408,6
305.211,30
305.21701,19
306.13485,8
314.779,6
317.18076,6
325.20108,53
326.20432,6
337.14951,12
359.25761,14
451.13997,10
452.1477,11
461.30478,9
465.15543,8
466.16336,11
467.17098,43
481.1868,32
482.19459,7
507.24313,31
508.24627,7
526.1837,7
536.43602,16
537.43988,12
541.20736,12
555.22338,15
561.29044,7
582.40665,19
607.4352,30
608.43846,7
614.23696,71
615.23993,11
624.46244,6
658.4224,80
659.42513,28
772.16446,10
772.17464,8
772.18227,7
772.19626,8
772.2039,10
772.2128,19
772.22679,11
772.24079,18
772.25097,13
772.26114,13
772.27132,16
772.27896,13
772.28913,12
772.29677,9
772.30567,14
772.32222,11
772.34894,11
772.36293,13
772.38839,10
772.39729,7
772.41638,12
772.42784,9
772.45584,7
772.51184,7
772.52202,6
772.56785,6
786.51391,17
789.45386,10
791.45644,155
791.46832,65
792.45926,92
792.47249,33
793.45339,8
793.46267,19
793.47194,6
837.46112,6
851.47758,17
892.53341,101
893.53646,60
894.53961,9
957.53932,10
