"m.z","int"
112.98512,30
116.96615,26
118.03495,11
121.03456,134
124.01454,63
125.01125,70
131.0188,12
131.9531,132
132.10167,15
133.03441,22
135.04721,279
137.04047,27
139.01794,19
139.02678,176
145.03427,16
149.02934,118
151.04487,85
153.00918,207
153.0241,14
155.0068,34
156.98663,32
159.04994,12
162.9935,31
165.06055,31
168.04059,26
169.03742,50
174.99722,22
175.04485,14
177.00917,31
179.0762,27
191.07605,24
193.09188,85
199.04488,16
207.07109,11
216.96565,17
217.09189,23
229.90141,13
276.9447,13
289.14917,14
337.14923,35
766.64825,11
766.65454,12
766.69607,14
766.71117,17
766.72124,15
766.72879,12
766.74012,18
766.74641,16
766.759,29
766.77536,15
766.78291,14
766.79424,14
766.81816,17
766.84082,17
791.45534,13
791.46722,11
