"m.z","int"
100.98987,30
101.05253,43
104.01092,117
105.03375,27
105.05507,130
106.02649,16
106.04468,51
107.05261,60
108.06033,60
109.04128,34
109.04999,20
109.07457,20
109.07538,21
112.04463,84
112.06847,19
113.01613,2939
113.03436,25
113.04384,68
113.05246,162
113.51651,246
113.5178,135
114.01489,290
114.01821,25
114.0421,19
114.0603,1195
114.55805,17
114.56074,68
114.56197,59
115.04128,123
115.04991,102
115.05423,22
115.0554,30
115.05906,94
115.06813,79
115.98372,28
116.03083,23
116.04906,50
116.05773,40
116.97902,25
117.03867,38
117.06067,37
117.06292,19
117.06428,43
117.06555,35
117.58146,194
118.02823,30
118.04655,52
118.05591,77
118.06283,29
118.08101,5323
118.082,28
118.56047,18
118.58007,18
118.58145,517
118.58267,555
119.01885,37
119.0257,64
119.05242,83
119.07067,25
119.07984,596
119.08307,50
119.08423,16
119.58145,36
120.02393,43
120.03344,44
120.0421,134
120.04756,20
120.0573,310
120.06027,161
120.07844,21
120.55782,52
120.98972,26
121.00487,298
121.03928,16
121.04125,37
121.04986,109
121.05547,26
121.0681,94
121.08634,16
121.56574,32
122.0061,20
122.02137,2006
122.03951,24
122.0491,705
122.05781,334
122.06333,87
122.07596,194
122.52176,142
122.52297,87
122.55063,60
123.02014,206
123.03867,64
123.04199,18
123.04433,33
123.04741,24
123.05671,54
123.06554,134
123.0712,17
123.07323,42
123.07476,20
123.09136,95
123.55446,32
124.04647,151
124.06277,17
124.06441,16
124.07334,42
124.52404,86
124.54974,30
124.98904,27
125.02169,17
125.03603,18
125.05244,31
125.05426,86
125.06305,16
125.06852,24
125.07068,201
125.07632,26
125.08884,16
125.56819,27
125.5702,149
125.57103,18
125.57237,21
126.04209,28
126.04393,91
126.04972,50
126.05165,18
126.06029,182
126.06591,30
126.06768,40
126.06977,2520
126.07842,216
126.56204,20
126.57141,191
126.58011,18
127.03173,82
127.04107,29
127.04675,17
127.0499,86
127.0555,27
127.0594,26
127.06815,375
127.07724,21
127.08624,2284
127.56568,166
127.5685,19
127.5867,156
127.58789,154
127.9837,47
128.03084,193
128.04896,48
128.05773,111
128.06219,38
128.06331,149
128.06615,29
128.06726,37
128.07594,153
128.08505,252
128.09407,17
128.54674,45
128.57353,133
128.5763,18
128.98419,62
128.98523,30
129.0291,17
129.03857,114
129.04735,65
129.05239,26
129.05691,54
129.06247,383
129.0656,946
129.07108,65
129.0749,26
129.08377,397
129.53611,27
129.55446,31
129.56408,20
129.56583,49
129.56714,50
129.58139,40
129.5841,27
129.99496,34
130.01007,518
130.0447,671
130.04646,184
130.05209,47
130.05517,51
130.06449,102
130.07337,74
130.08093,23
130.08287,47
130.09158,21
130.54498,67
130.54631,68
130.98903,24
131.0189,45
131.02645,16
131.04335,40
131.05046,17
131.05251,106
131.05429,484
131.0598,21
131.06185,43
131.06292,111
131.07066,42
131.07244,23
131.08106,59
131.09931,31
131.55594,40
131.56837,21
132.02386,18
132.04383,26
132.05112,16
132.0602,73
132.06218,92
132.07073,63
132.07649,31
132.07847,1499
132.08405,227
132.09665,85
132.57597,18
132.57787,17
132.57886,97
132.58022,130
132.58438,24
133.0317,359
133.0499,47
133.05172,74
133.05736,26
133.05945,126
133.06809,462
133.07719,78
133.07938,316
133.08293,19
133.08621,83
133.52939,50
133.53213,22
133.55327,17
133.56836,27
133.56992,25
133.57971,24
133.58099,23
133.96707,40
134.02702,716
134.03052,23
134.03843,16
134.03962,17
134.04901,71
134.05481,22
134.05766,128
134.06327,53
134.06723,79
134.07358,28
134.07597,953
134.07809,20
134.0941,53
134.52726,38
134.52864,31
134.57352,93
134.57537,37
134.5763,80
134.57759,78
135.02044,28
135.02574,47
135.02909,23
135.03458,29
135.0369,268
135.03867,34
135.04416,18
135.04918,37
135.053,25
135.05505,2279
135.05681,92
135.06249,17
135.06556,266
135.07124,581
135.07505,3926
135.08371,456
135.0932,19
135.10186,24
135.5372,17
135.55441,59
135.55544,112
135.55665,240
135.56592,25
135.56713,23
135.57153,33
135.57284,24
135.57668,335
135.58136,61
135.58407,22
135.58538,21
136.02165,16
136.03557,28
136.03698,77
136.04639,95
136.05203,46
136.05382,176
136.05504,34
136.05702,24
136.06464,138
136.07,45
136.07904,76
136.08261,68
136.09155,414
136.09918,2785
136.55278,20
136.55533,25
136.55845,16
136.56233,57
136.56631,16
136.57094,19
136.57378,70
136.57501,66
136.58911,22
136.59195,25
136.59328,28
136.59952,199
136.60085,278
136.98897,196
137.03604,124
137.05249,101
137.0543,820
137.05744,32
137.05991,62
137.06305,72
137.07066,34
137.07237,202
137.07818,16
137.08122,525
137.08683,39
137.08883,28
137.09064,130
137.09797,216
137.09949,50
137.1012,23
137.10254,21
137.556,53
137.56824,52
137.57006,26
137.57398,23
137.57877,49
137.58145,23
137.58288,45
137.59695,44
137.59963,29
138.03335,229
138.04393,57
138.05114,23
138.06027,67
138.0622,82
138.06778,17
138.06979,37
138.07076,45
138.07836,84
138.07999,67
138.08403,38
138.08903,181
138.09461,20
138.09663,292
138.10712,53
138.53503,19
138.57603,60
138.59218,53
138.59431,116
138.59701,17
138.59837,20
139.02672,18
139.03168,18
139.0412,171
139.04227,31
139.04985,224
139.0517,153
139.05919,22
139.06813,431
139.06998,115
139.07377,39
139.07863,42
139.08631,211
139.08797,23
139.09186,3105
139.09526,34
139.55015,18
139.55142,25
139.56843,32
139.5697,42
139.58388,40
139.58798,20
139.58955,24
139.59228,200
139.59355,279
140.0394,29
140.04893,32
140.05777,1263
140.05944,118
140.06308,24
140.06524,27
140.06721,756
140.07281,139
140.07596,557
140.08146,56
140.085,22
140.0907,264
140.09414,120
140.53715,41
140.558,60
140.55938,98
140.56896,56
140.57361,54
140.57617,47
140.57756,44
140.59179,31
140.95876,28
141.02049,42
141.02912,131
141.03091,36
141.03846,30
141.03975,51
141.0473,51
141.05296,55
141.05474,17
141.05673,184
141.06547,255
141.06805,144
141.07123,24
141.07481,76
141.08375,1496
141.08921,79
141.10183,29
141.55453,16
141.55832,30
141.56312,16
141.56721,31
141.58139,103
141.58409,89
141.58539,98
142.01573,141
142.02827,20
142.0371,170
142.04644,55
142.05517,30
142.0629,282
142.0647,405
142.07023,38
142.07344,967
142.07886,19
142.08268,123
142.08579,17
142.09161,382
142.10115,38
142.10989,19
142.5624,31
142.56321,17
142.56462,18
142.56624,32
142.57371,63
142.57502,94
142.58037,17
142.58431,16
142.58915,69
142.59198,25
142.59329,33
142.59682,29
142.97258,98
