"m.z","int"
100.07597,10
100.08731,16
101.06003,20
103.0545,9
104.10729,9
104.99257,7
105.00354,446
105.07016,24
106.00432,43
107.00104,39
107.08574,22
109.10141,35
110.00619,1652
110.07148,18
111.00703,160
111.08071,7
112.00374,174
112.98524,179
113.98597,12
114.09152,54
114.98221,56
114.98272,17
115.07546,8
118.03508,12
119.0857,17
120.01981,13
120.08087,48
120.97237,6
121.01655,14
121.03463,643
121.1012,6
122.02992,7
122.03551,48
123.01262,8
123.01392,2497
123.0322,60
123.04175,19
123.05299,9
124.00913,20
124.0147,225
125.01141,249
125.01812,9
125.09614,9
125.98363,139
128.06202,6
129.05221,11
130.06518,57
131.01889,75
131.0855,15
132.0807,7
133.0346,72
133.10121,10
135.00284,93
135.01382,10
135.05019,149
135.11674,6
136.02154,23
136.04533,19
136.05098,7
136.05662,7
136.07328,27
136.07554,6
137.04068,164
137.04762,8
137.05723,22
137.09604,10
138.03025,506
138.03275,54
138.0414,7
139.02582,21
139.02689,508
139.0336,24
139.03816,11
139.11167,8
140.01403,6
142.07763,9
145.0345,49
145.10111,10
146.01863,7
147.05011,10
147.11673,7
148.04535,7
149.06584,18
149.98588,16
150.03032,35
150.03729,49
150.06094,6
151.02697,60
151.04513,369
151.07286,20
151.09543,22
151.11162,15
152.02769,54
152.04592,31
153.00933,814
153.02437,100
153.04255,39
153.05209,10
154.01014,194
154.06511,8
155.00684,197
155.01096,6
155.06772,78
155.10654,7
156.08073,13
157.08351,198
157.10114,13
158.922,14
159.05023,44
159.06141,18
159.09162,7
159.11673,10
160.04543,12
161.02941,19
161.04068,6
162.99369,115
163.04502,133
163.99444,22
164.05272,6
164.92052,24
164.99124,18
165.02441,89
165.0356,27
165.06074,125
165.06338,6
165.08865,43
166.01478,6
167.03802,14
167.03994,1718
167.9965,31
168.04079,177
168.04337,22
168.0807,6
168.99724,6
169.03749,248
169.04414,11
169.12221,70
170.10897,6
170.97537,12
171.09909,14
171.1166,9
171.13784,8
173.07829,14
173.13243,12
174.99154,6
175.04521,72
175.08146,12
176.0403,6
177.0094,182
177.02434,22
177.06079,88
177.08859,48
177.09711,6
178.01019,17
178.05595,7
178.06497,7
179.00684,37
179.03993,31
179.05115,48
179.06777,10
179.07629,73
179.10414,29
180.08064,12
181.05561,6
181.08335,9
182.02703,7
185.11489,7
185.13251,14
185.15357,7
187.04507,11
189.00931,6
189.06077,33
190.05592,9
190.09228,28
191.04001,80
191.07633,88
193.05575,32
193.09217,88
193.11985,32
195.11681,6
196.86524,6
197.13243,10
199.04503,97
199.14812,10
199.16911,10
201.06062,20
201.07194,12
203.07626,34
205.00434,17
205.05569,26
205.09225,14
206.06346,13
207.02004,54
207.07126,40
207.09917,8
207.10765,10
207.1354,32
209.01741,12
209.06185,32
209.11472,8
210.99986,26
211.14802,6
212.00057,6
212.99737,7
213.0971,23
213.16351,6
215.0761,8
217.0919,50
219.02006,10
219.07118,24
219.10771,14
219.1354,8
221.05038,56
221.12326,28
221.15114,24
223.09642,13
227.11264,16
228.06155,16
229.09184,9
231.0712,11
231.10765,17
231.15889,13
233.08688,26
233.12338,9
235.01495,6
235.13888,45
235.16667,13
241.09197,8
243.10761,11
244.06615,9
245.08699,6
247.10238,22
247.13877,12
249.15439,26
249.18237,7
253.1409,26
259.10258,6
275.13353,7
279.15885,74
281.08692,8
289.14932,14
302.14383,9
305.21709,14
309.20305,8
326.37754,9
333.24799,9
337.14914,42
411.14478,10
421.12944,8
422.13697,6
423.1445,33
424.15253,14
425.16053,16
426.16848,10
427.17583,13
437.16042,24
438.16841,10
439.14006,8
439.17607,13
440.14725,7
440.18393,7
441.1557,12
442.16322,11
443.17087,6
449.1605,9
450.13159,10
451.13481,6
451.13992,37
451.17628,10
452.14309,7
452.14765,91
453.15076,10
453.15533,26
453.19193,11
454.14515,7
454.16294,9
455.17104,19
457.18689,6
465.15548,52
466.16282,56
467.17105,192
468.17474,33
468.17895,16
469.14974,9
469.16842,9
469.18649,7
481.18699,107
482.18976,28
482.19415,52
483.16607,27
483.19755,8
497.18193,12
498.189,11
513.21295,31
526.18428,29
536.4367,9
539.1917,8
540.1996,24
541.20808,55
555.22347,57
556.22612,12
559.21826,16
567.4136,7
571.21785,11
599.21202,10
613.22803,15
614.23666,251
615.23964,85
616.23419,25
616.24235,6
630.23106,6
658.42243,87
659.42516,39
766.41515,11
766.43276,6
766.44534,10
766.45792,11
766.46547,11
766.49818,14
766.50698,15
766.51956,12
766.52711,16
766.54724,11
766.55479,15
766.57367,13
766.58373,19
766.59631,15
766.61896,16
766.63406,20
766.64539,10
766.66427,6
766.67182,6
766.68063,6
766.69447,10
892.53418,214
893.53565,115
894.53881,16
908.52845,17
