"m.z","int"
100.11234,11
104.99254,38
105.00351,127
110.00623,332
111.007,25
112.00371,22
112.98514,12
114.09149,7
120.08083,9
120.97233,13
121.03467,229
122.0354,16
123.01388,676
123.03217,15
124.01466,57
125.01138,60
125.93583,6
129.05217,7
130.06506,13
131.01894,29
132.98718,11
133.03447,7
133.10117,8
135.00281,362
135.05015,48
136.07314,7
137.04064,21
138.03021,133
138.03271,12
138.90633,6
139.02695,154
140.90344,9
140.95908,17
146.01869,6
148.92552,12
148.93511,6
150.03725,14
151.02692,6
151.04508,107
152.02776,6
153.0094,121
153.02432,22
154.01021,13
155.00691,26
157.08346,94
159.05018,10
161.02936,6
162.95071,6
162.99364,19
163.04497,40
164.92047,96
164.99131,6
165.02436,15
165.06081,30
165.08847,8
167.04001,652
168.04073,44
168.95422,13
169.03757,78
169.12216,20
177.00934,38
177.02428,6
177.06073,40
177.08853,14
179.03987,7
179.05123,13
179.06544,9
180.89434,13
184.07331,18
191.03995,32
191.07643,8
192.96158,15
193.05568,8
193.09211,30
199.04512,13
203.07636,8
207.01997,10
207.07119,9
209.06178,7
210.96454,7
221.05049,29
233.18978,11
235.13879,8
243.08393,16
245.06301,6
259.07875,6
270.98576,39
279.15874,21
301.08912,9
305.21064,11
307.22658,17
309.24192,6
311.25763,7
325.20085,32
329.02731,23
333.2482,8
345.02206,10
359.25762,7
423.14481,9
424.15284,8
437.16075,10
439.17585,11
451.13969,36
452.14742,36
453.1551,13
455.17081,6
464.14701,6
465.15524,20
466.16318,28
467.17141,115
468.17871,6
469.16878,7
481.18674,74
482.19453,34
483.16582,8
483.19793,6
509.25868,11
509.27163,14
513.21337,15
526.18471,12
536.43714,26
537.44027,6
540.20004,13
541.20778,27
547.47103,7
549.48672,8
555.22316,35
559.21873,10
582.4058,16
613.22857,8
614.2363,161
615.23928,46
616.23383,11
658.42203,106
659.42476,44
739.43795,10
741.4542,7
765.63915,13
765.66678,16
765.67306,16
765.68688,19
765.70949,20
765.72707,20
765.74591,16
765.75345,16
765.76853,11
765.80119,6
791.4677,13
837.4752,9
892.53355,165
893.53661,101
894.53025,10
894.53977,11
