"m.z","int"
104.10736,7
105.07016,7
106.90483,66
108.90444,58
110.07157,8
115.02424,16
115.05445,36
117.03978,27
119.00811,31
119.01912,41
119.08566,9
120.08089,6
120.97239,24
121.02375,93
128.06207,29
128.95357,45
129.06989,7
130.06513,39
131.019,26
131.08562,10
133.03461,197
133.10122,12
134.03538,11
134.99894,21
135.00294,335
135.03214,22
135.05019,598
136.0062,6
136.05106,49
136.94978,6
136.99749,7
137.02944,65
137.03885,73
137.04779,81
139.02695,6
140.95927,14
141.06976,11
141.08854,13
142.94806,103
142.96671,11
143.08555,11
144.92741,10
145.03463,12
145.10113,12
146.01885,43
147.93105,10
148.92566,53
148.93514,95
149.02343,6
149.02958,27
149.93067,8
150.03738,303
151.03817,20
151.0451,6
151.09551,21
152.03488,29
153.0094,76
153.01636,11
154.01031,12
155.00689,10
155.08552,11
155.10418,20
156.01445,8
157.08355,72
157.10117,12
159.05026,21
160.93291,14
160.96475,36
161.01609,20
161.01852,22
161.05486,9
162.9827,8
163.04513,264
163.07056,55
164.04585,13
164.90908,11
164.92063,352
164.93004,298
165.04274,19
165.06084,7
165.06989,7
165.08863,13
166.01487,11
166.91633,10
167.00791,9
168.08078,9
168.95421,29
169.11994,30
171.09915,41
171.11679,10
173.13261,6
173.9304,46
174.98526,7
174.99541,9
175.03412,6
175.08163,152
176.08228,7
177.00942,11
177.0608,434
177.06346,6
177.07016,13
177.07198,6
177.0791,8
177.0886,12
177.09713,84
178.06159,37
178.06413,11
178.9309,9
179.01408,25
179.05839,46
179.06535,18
179.07629,6
179.10428,12
179.91714,12
180.02563,9
180.89452,40
180.9039,43
181.1011,6
182.96985,6
183.11681,7
184.07333,48
185.04214,14
185.11484,54
185.13246,12
185.92811,11
185.95998,8
186.91193,70
188.9276,7
189.06084,35
189.08611,6
189.90417,6
189.92527,20
190.93617,6
191.04007,6
191.07639,35
191.07905,11
191.10176,6
191.10426,44
191.11272,6
192.08073,6
192.0842,17
192.96153,14
193.04084,9
193.08124,7
193.09221,369
193.11989,11
194.00129,7
194.09295,25
194.09551,9
195.08969,44
196.02057,20
196.98025,29
197.06354,18
197.13244,6
198.9648,10
198.97429,39
199.04269,6
200.9572,7
203.0402,6
203.10179,18
204.00946,9
204.91314,20
204.92253,45
204.96132,11
205.09219,57
205.09481,6
205.12859,7
207.07137,116
207.09681,7
207.0991,6
207.11041,7
207.13568,8
208.07927,127
209.06911,8
209.97274,6
210.07667,6
210.92328,9
210.96487,11
211.05136,10
211.05827,6
211.1481,8
212.95781,8
213.14604,42
214.94644,8
215.07633,9
217.09212,10
217.11753,7
217.12853,7
217.15642,10
218.00271,19
218.89139,6
218.92345,16
219.10772,62
219.13561,7
220.89654,7
220.90939,7
220.92048,7
221.02466,6
221.08701,69
221.15114,11
222.08506,6
222.87906,30
222.88853,23
222.91102,7
222.92049,17
224.8762,9
224.98019,7
225.95259,7
229.90839,6
231.17444,13
231.88914,12
233.05725,6
233.12349,32
233.18998,9
235.10264,92
235.13897,99
236.1006,7
236.85774,6
236.88951,9
236.97274,15
237.10017,9
237.13676,6
238.85475,7
238.8867,6
239.15945,8
239.16186,503
240.16507,61
241.17748,8
243.08406,54
243.8868,8
243.91887,12
244.87061,6
244.90265,11
245.06336,12
