"m.z","int"
104.10712,10
104.95222,14
105.00336,15
106.98879,17
108.06823,12
109.91681,22
112.89576,11
114.09134,8
115.05421,15
119.01883,114
120.08068,6
120.92597,25
121.01637,6
121.03444,58
122.96255,10
123.01373,21
124.96401,15
128.06191,17
129.95778,37
130.06491,11
130.95684,38
131.0187,126
132.95294,23
132.98703,19
133.00731,10
133.03432,6
133.94986,30
135.05,11
136.00593,17
137.04039,21
138.03006,37
138.93637,30
139.01796,8
139.0267,48
140.9379,10
140.95874,80
140.97124,6
141.06952,10
142.94784,53
142.98148,6
144.9272,11
145.03421,6
145.96855,6
148.93486,20
150.03002,28
150.90637,6
151.02678,22
151.04483,22
152.9747,10
153.00914,68
154.00995,9
155.00665,8
156.91177,8
156.93286,69
156.94522,7
156.95373,9
156.98649,10
157.96859,24
158.08672,6
160.00264,8
161.01832,13
161.09344,6
162.94071,27
163.04483,19
164.92021,42
164.92975,80
165.02409,6
165.06055,12
165.0696,11
166.89458,9
166.95045,93
167.10414,7
167.8936,13
168.0406,11
168.94861,13
169.0373,19
171.98411,11
172.90679,33
172.92769,17
172.95856,8
172.97744,10
173.05718,10
173.07824,9
173.9635,13
173.97465,9
174.8956,7
174.98504,23
174.99519,15
175.04488,12
175.97657,7
176.97292,38
176.99218,10
177.00907,8
177.02415,7
177.06046,14
178.91469,46
179.00964,8
179.05096,9
180.13562,18
180.90373,17
184.07304,32
184.96578,7
185.11455,14
186.9356,7
187.12028,349
187.90468,16
187.95493,10
188.12369,28
188.95121,20
188.98694,7
189.05195,6
190.96894,10
191.03967,57
192.947,15
192.9613,12
193.02838,6
193.05541,16
193.06241,8
193.09183,8
193.91812,6
194.88868,9
194.89981,14
196.87767,8
198.97395,8
199.04468,7
200.93965,12
201.97861,9
202.94113,9
202.97782,6
203.09427,51
203.92885,6
204.92223,8
204.92519,12
205.11976,9
206.94766,11
207.01969,11
207.07091,12
208.93522,8
209.0615,21
209.07816,6
209.09358,11
209.96112,10
210.95572,7
210.95754,25
211.13021,12
211.91241,10
212.85132,10
213.14581,10
214.91409,10
216.93442,7
218.9152,13
218.93613,24
219.13523,11
221.05021,170
222.05096,9
222.92172,34
222.96178,6
223.07275,8
223.10909,14
226.93585,11
227.90588,8
228.90494,6
228.91685,6
229.90128,27
230.92181,16
232.97959,6
233.07828,6
234.90996,37
234.92234,10
234.97592,7
235.13872,6
237.12483,18
240.91792,14
241.13932,11
243.08365,10
244.91134,7
244.93247,13
246.08138,10
247.01614,25
247.1665,6
249.12488,6
250.88385,7
250.90482,10
250.9199,8
251.14036,10
252.97252,11
253.90104,8
255.13544,6
256.89192,23
259.94963,7
260.90638,20
261.05209,78
261.12462,8
262.05542,11
262.99019,38
265.1198,6
266.9286,7
268.94622,23
270.98549,28
276.88025,6
278.07358,9
278.88189,9
278.90287,12
278.96418,13
281.08654,6
282.88849,7
283.9115,10
285.24199,10
289.1195,6
289.14923,6
294.87667,18
298.86199,12
299.06363,7
301.08887,16
304.97471,7
305.21039,7
305.21671,26
308.93112,7
311.25737,9
313.16008,10
316.85832,14
318.02044,6
322.90951,6
325.20061,76
329.02707,30
345.02184,14
346.92323,10
359.25741,24
377.208,7
387.03241,9
405.13609,14
437.1601,7
438.16754,6
439.17575,11
441.15483,6
451.13904,19
452.14734,28
453.15502,10
453.19105,6
461.23226,6
461.30391,9
465.15459,16
466.16253,22
467.17075,77
468.17385,14
468.17865,7
481.18608,62
482.18948,11
482.19387,23
483.16516,8
501.22768,8
507.25547,7
509.27029,7
513.21202,9
515.24305,7
516.25058,37
517.25409,15
517.25827,23
518.26192,7
518.32208,7
526.18334,8
536.43648,38
537.43962,10
540.19939,6
540.3051,22
541.20713,18
555.22251,29
566.41076,88
567.41343,27
568.33844,9
581.3974,8
582.40598,102
583.40884,32
590.31989,11
597.274,6
613.22794,7
614.23567,129
615.23864,33
616.2332,7
657.41298,7
658.42142,209
659.42416,60
766.11108,6
766.15634,6
766.1752,7
766.19029,7
766.20035,9
766.21166,10
766.23555,12
766.24938,7
766.26447,6
766.29843,8
766.30723,8
766.32358,10
766.33364,12
766.34119,10
766.34999,10
766.35754,10
766.37263,8
766.38395,8
766.40282,12
766.41539,10
766.42168,10
766.44055,10
766.45062,7
766.45942,10
786.51277,19
788.52912,16
791.45665,17
791.46853,60
792.47139,26
793.47218,9
793.4841,31
794.48814,16
812.55782,7
831.42725,10
881.48757,14
892.5332,227
893.53625,159
894.53942,33
957.55207,41
958.55589,20
959.56657,9
