"m.z","int"
102.92588,27
104.90804,13
106.90476,126
107.95059,23
108.90444,115
109.10137,13
109.91694,15
112.89601,17
115.05437,52
116.98598,17
117.06996,11
119.01904,191
119.08557,11
119.89498,15
119.92977,16
120.08089,53
120.92609,54
120.93634,13
124.96426,45
125.96106,130
128.06214,36
129.06989,11
130.06512,134
130.9328,26
131.01891,127
131.08552,12
133.03451,28
134.99642,45
135.00284,187
135.05018,74
137.02943,318
138.03022,21
138.93652,47
139.02695,34
140.95897,129
141.06975,12
142.94806,211
144.9274,11
145.03452,27
145.10102,19
147.05011,11
147.93093,15
148.04545,11
148.93514,50
148.94333,27
149.02332,80
149.02946,189
150.03727,95
150.97688,15
151.02694,11
151.04509,39
151.09529,11
153.00692,20
153.00939,186
153.90793,11
154.01019,27
154.06505,16
154.9074,118
155.00688,39
155.10418,17
156.91199,27
156.93297,65
157.08354,175
157.10105,14
158.9219,36
159.05013,34
159.11674,15
160.04532,11
160.99937,11
161.01851,12
162.94089,45
163.045,50
164.92049,59
164.93004,186
165.06071,60
165.08862,15
166.01487,16
166.95072,14
167.04002,43
167.9714,12
169.03756,20
169.89445,48
171.09914,178
172.90702,44
172.95218,19
172.97767,11
172.99629,14
173.93026,16
174.03869,18
174.89581,32
174.98525,53
175.04509,17
175.08148,14
176.97326,16
177.00927,22
177.06066,26
177.09712,58
178.91487,52
179.06549,15
179.07628,38
180.90389,35
181.91829,18
182.92628,31
183.01754,51
185.11483,222
185.13245,13
186.91192,58
186.94662,14
187.07306,19
187.95504,19
188.95162,29
188.97364,11
189.06068,12
190.06841,13
190.9626,47
191.1041,64
191.11272,59
193.09205,48
193.11989,22
194.88888,12
194.90001,18
194.93405,11
196.02057,39
197.13243,20
197.91332,13
198.97428,54
199.04501,29
199.1691,16
199.92895,48
201.08865,35
202.92036,13
202.94144,25
203.92898,12
204.90374,12
204.92253,35
204.92548,22
204.93053,23
205.09201,16
205.94981,21
206.92694,11
206.94794,14
207.07136,11
207.0968,22
207.10758,26
207.13567,14
208.06165,15
210.9576,12
213.14604,367
214.14944,20
215.90145,16
217.09211,51
218.91538,19
218.93631,23
219.10772,36
221.12326,40
222.0774,14
222.91437,11
222.92049,23
222.92187,41
224.92338,14
229.12014,94
231.10777,21
231.14402,16
233.12328,11
234.07744,16
234.91021,24
235.12807,43
235.13897,17
238.88823,11
238.89589,11
239.16163,482
240.16506,44
240.91834,18
242.85953,38
244.93263,17
245.07837,98
245.12318,19
246.08199,13
249.15461,33
249.18259,11
253.1411,30
255.13576,168
256.13915,20
257.01627,14
257.1338,12
257.15972,15
258.83369,30
259.079,26
260.9069,12
261.05261,37
261.1439,22
266.92882,22
269.11516,15
270.98594,37
271.15448,34
273.01103,20
274.80757,11
275.17036,167
277.16794,11
277.18599,12
278.88228,13
279.15913,27
281.08691,27
282.88885,11
285.2212,12
290.15749,32
291.14804,12
293.19621,15
303.16529,15
305.21088,12
305.2172,125
306.13505,33
311.25782,35
313.22229,22
313.27356,30
317.115,25
317.18063,25
323.22141,34
325.20095,202
325.21381,31
326.20173,12
326.20453,18
329.02773,11
333.24824,20
337.14936,30
338.79954,11
341.17841,12
345.02238,31
347.1959,26
423.14504,35
424.15307,16
424.77415,12
425.16106,19
429.27876,15
437.16088,33
438.16886,16
439.13996,14
439.17651,30
441.15613,14
450.13196,15
451.14028,56
452.14801,76
453.15168,11
453.15568,19
455.17137,12
461.30509,16
464.14812,12
465.15515,44
466.16368,63
467.1713,212
468.17499,38
468.17919,14
469.16926,16
481.18651,160
482.1899,30
482.19492,59
483.16621,39
497.18196,15
502.30004,17
505.25281,26
507.24348,170
507.25567,319
507.26854,16
508.24663,25
508.25886,60
509.25889,58
509.27115,129
510.27486,19
511.28702,28
513.21286,22
513.30247,20
523.22993,22
526.18408,34
527.23463,19
529.25064,18
536.4364,121
537.44026,48
539.19212,18
540.20001,26
541.20774,95
542.21081,22
555.22378,83
556.2272,19
559.21933,26
566.41196,83
567.41462,19
571.21885,13
581.39933,13
582.40623,113
583.40991,26
598.40152,15
599.21286,11
613.22969,17
614.23741,391
615.24038,141
616.23402,21
641.42006,18
657.41446,16
658.42289,533
659.42562,212
660.42862,11
673.32741,13
673.33984,48
675.3559,15
771.02531,13
771.0342,19
771.05704,23
771.08116,20
771.09512,25
771.10401,28
771.11036,27
771.11924,25
771.13194,31
771.14844,15
771.1624,11
771.17383,12
892.53411,539
893.53558,348
894.53873,78
908.52825,14
