"m.z","int"
102.12795,19
103.02418,12
105.00341,19
105.03359,6
105.07003,6
107.08561,6
109.10121,12
110.07128,8
114.09131,20
115.05419,67
118.98956,9
119.01888,184
119.08549,7
120.01968,9
120.02358,25
120.08074,42
121.00758,25
121.01642,14
121.0345,81
122.03531,7
123.01379,34
123.02325,384
123.03207,16
124.01842,15
124.0266,6
128.06189,75
129.05216,11
129.06972,9
130.06497,149
131.01876,268
131.08538,9
132.01959,22
132.02345,13
132.98709,10
133.00746,1497
133.01628,22
133.03438,13
133.10099,14
134.01088,36
134.03911,6
135.01165,6
135.02309,123
135.04997,10
136.00599,11
137.03874,147
137.04045,26
137.0571,13
138.03003,52
138.03263,8
138.03397,151
138.04522,11
139.01802,551
139.02677,75
139.0292,347
140.9713,223
141.06959,35
142.0775,6
142.94791,14
142.98936,15
144.08047,9
145.00508,23
145.03438,20
145.10088,9
147.02304,23
147.04999,7
149.0024,10
149.03885,41
149.05719,10
150.03009,53
150.0326,12
150.03401,102
151.02685,84
151.0449,36
151.05436,31
151.0952,22
151.1115,10
152.02135,84
152.04969,23
152.06181,22
153.00921,95
153.02223,20
153.03368,58
153.0696,15
154.01002,17
154.06488,14
154.99791,6
155.00672,16
155.06772,7
155.08512,7
156.08062,21
156.94529,43
156.96628,16
156.98668,4218
157.00499,12
158.08667,9
158.98985,8
158.99092,50
159.02301,8
159.05,7
160.01604,6
161.00241,36
161.01113,43
161.01827,7
161.03874,38
162.99357,12
163.018,30
163.02923,8
163.04491,20
163.05429,19
163.0728,8
164.92041,14
164.92983,11
165.02417,11
165.03372,156
165.03548,7
165.06063,18
165.06968,34
166.06528,11
166.9504,7
166.97099,116
167.01296,62
167.0493,39
167.06056,9
167.07273,6
167.10422,6
168.04055,43
168.04313,6
168.04455,10
168.08059,15
168.96627,8
169.02853,551
169.03739,76
169.08339,12
169.10098,9
169.12197,17
170.03195,11
170.0422,7
170.97552,14
171.0023,11
171.02073,9
171.02616,52
171.06263,6
171.11663,10
173.00005,224
173.00559,20
173.03878,20
173.05726,7
173.07832,23
173.13233,6
174.01324,13
174.03407,6
174.98485,76
174.9972,870
175.01806,312
175.02918,10
175.04497,34
175.0543,8
176.02136,13
176.98529,8
177.00148,6
177.0093,28
177.02424,20
177.03374,112
177.06055,18
177.0632,8
177.07005,16
177.16339,6
178.06529,38
178.07741,8
178.96855,807
179.01285,108
179.03983,7
179.04934,71
179.05105,24
179.07619,16
179.08543,14
180.04459,7
180.08054,22
180.13571,21
180.97279,10
180.98664,305
180.99776,50
181.02851,230
181.03977,68
181.05104,7
181.0649,23
181.12197,6
182.03188,7
182.0961,6
182.98197,28
183.1166,8
184.98153,214
185.05702,7
185.11479,28
185.13226,9
187.01799,27
187.05438,12
187.0562,9
187.09079,8
187.12038,18
188.97394,13
189.03371,75
189.0522,11
189.06052,13
189.06992,10
189.08842,6
189.12712,10
191.01285,12
191.03977,113
191.04932,118
191.05104,9
191.07264,8
191.07625,8
191.08564,7
192.04051,6
192.04462,26
192.08091,42
192.9614,11
192.98667,19
193.00812,8
193.02863,1098
193.03754,8
193.03976,203
193.0555,50
193.0625,6
193.06505,32
193.08334,18
193.09192,14
193.10115,6
194.03193,56
194.04314,7
194.0962,6
194.94266,32
194.9659,19
195.00238,7
195.02627,7
195.03289,10
195.0442,61
195.06261,7
195.0807,45
195.11656,10
195.13547,8
197.01803,7
197.02344,15
197.07837,8
197.13218,12
198.95524,105
198.99717,316
199.00833,14
199.01565,10
199.04495,28
199.0521,11
199.05444,7
200.04742,7
200.95055,162
200.97082,34
201.01288,6
201.03367,44
201.06054,8
201.0886,14
202.06502,7
203.04926,37
203.0858,16
204.08062,9
205.0041,6
205.02864,1322
205.0396,6
205.05544,21
205.06484,17
205.1014,16
205.11969,9
206.032,70
206.06006,12
206.09618,6
206.96347,149
207.01979,15
207.03286,14
207.04416,107
207.07119,36
207.08055,14
207.09133,7
208.08142,6
208.98152,105
209.0177,9
209.02344,17
209.05981,33
209.0616,71
209.07612,7
209.07827,12
209.09619,14
210.95583,47
210.99725,62
211.03904,32
211.05904,7
211.09412,6
211.13031,20
211.14777,9
212.99251,17
212.99472,17
213.01278,34
213.03361,14
213.1461,22
214.06278,7
215.01042,75
215.04706,6
215.0493,23
215.08576,21
215.12523,7
216.9245,64
216.95348,7
216.96579,2724
217.04709,9
217.05544,6
217.06491,26
217.09184,11
217.10132,18
217.10454,17
218.09635,12
218.96121,70
218.97005,30
219.0348,7
219.04422,22
219.08054,34
219.13534,8
220.07587,10
220.97923,343
220.99052,21
221.02344,69
221.05032,428
221.05987,71
221.07098,6
221.09631,22
222.05108,26
222.05363,12
222.055,7
222.09149,6
222.93742,27
222.99506,9
222.99723,175
223.00829,7
223.01559,8
223.04797,39
223.07266,6
223.07543,35
223.09399,13
223.09617,6
223.1094,8
223.11177,17
223.13035,7
224.04246,52
225.01258,11
225.0434,9
226.95015,41
226.99191,9
227.01057,46
227.02841,24
227.0493,6
227.12517,10
228.0615,27
228.94551,13
229.00775,833
229.02624,10
229.04411,6
229.06487,10
229.10125,46
229.12017,8
230.01117,16
230.9546,22
230.98456,37
230.99559,9
231.00538,6
231.01204,11
231.07116,9
231.08054,27
231.1074,7
231.11698,25
232.07583,13
233.0571,13
233.05984,20
233.09634,19
234.09153,13
234.96409,24
234.97391,16
234.97647,700
234.99484,29
234.99697,7
235.03905,11
235.05016,18
235.07558,42
235.11191,13
235.13884,15
236.1435,14
236.95317,102
236.96441,10
236.98063,9
236.99253,7
237.01048,18
237.01286,26
237.03363,6
237.05483,12
237.09119,9
237.12473,6
237.12755,13
238.95119,7
238.99214,96
239.02851,12
239.08876,14
240.9431,31
240.96572,114
240.97703,20
241.01895,7
241.04401,12
241.06487,10
242.07719,12
242.96114,62
242.9845,34
243.00246,11
243.0056,8
243.03233,7
243.04176,7
243.04424,12
243.08063,9
243.10759,8
244.95782,6
244.96078,136
245.0001,6
245.01852,7
245.02102,250
245.05991,10
245.0938,7
245.0963,24
246.0243,9
246.0815,33
246.09157,16
246.93757,6
246.99463,7
247.01627,22
247.0188,6
247.02547,6
247.07543,17
247.10237,25
247.11204,22
248.97425,36
249.01036,9
249.05486,29
249.09121,92
249.12524,6
249.12757,17
249.14599,11
249.15438,11
249.16348,7
250.09477,10
250.96905,12
250.98696,19
250.98979,553
250.99215,11
251.02846,14
251.07043,13
251.10676,16
251.11242,6
251.14309,17
252.96621,10
252.98744,8
252.99388,8
253.00772,212
253.04399,6
253.21374,6
254.82348,7
254.92166,10
255.00299,15
255.02351,16
255.04428,30
255.05973,11
255.1566,6
256.91696,10
256.95822,942
257.02099,17
257.07547,6
257.09624,13
258.93503,20
258.9627,12
258.97654,455
258.98766,15
259.07564,13
259.11199,20
260.93775,16
260.95324,12
260.97423,48
260.99223,20
260.99498,78
261.01298,8
261.05223,67
261.09124,12
261.12501,12
262.05531,9
262.11593,6
262.97137,201
262.98982,44
262.99286,7
263.0705,6
263.10693,34
263.14311,8
264.98435,6
265.00788,20
265.0442,16
265.04983,25
265.06109,52
265.08616,10
265.1225,17
266.9427,140
266.96364,211
266.98692,10
267.00295,18
267.02339,20
267.08056,16
267.10748,9
268.96075,45
269.03921,21
269.0939,7
270.97638,37
271.02954,22
271.03668,6
271.07319,8
271.10971,6
271.11209,22
272.9324,331
272.95566,24
272.9717,128
272.97411,15
272.99202,70
272.99497,6
273.01609,13
273.09126,9
273.11801,6
273.12765,22
273.16377,10
274.93049,25
274.95644,7
274.98969,108
