"m.z","int"
104.10718,15
104.99245,8
112.89573,12
112.9851,15
121.03454,34
124.0146,11
130.06498,6
139.02686,31
149.02932,17
151.04496,16
153.00916,11
164.92031,11
169.0374,9
169.12211,19
184.07309,19
193.09201,11
198.97395,6
200.98001,6
207.07106,6
261.1554,17
307.22616,11
317.2259,6
359.25741,6
424.15245,9
437.16032,8
439.17597,14
450.1309,6
451.13922,26
452.14752,35
453.1552,7
455.1709,9
461.30407,7
465.15533,18
466.16267,19
467.17089,119
468.17398,14
468.17879,9
481.1868,81
482.18957,12
482.19459,30
513.2127,9
526.184,8
536.43639,21
537.44026,14
540.19928,12
541.20776,31
542.21084,7
549.48669,7
555.22312,34
559.2179,13
566.41055,62
567.41402,12
582.40571,9
613.22843,9
614.23615,163
615.23913,45
658.4218,101
659.42453,45
766.18405,6
766.19788,8
766.20919,9
766.22177,15
766.23308,12
766.24188,14
766.25697,20
766.26829,13
766.28212,17
766.29093,14
766.30602,27
766.32362,22
766.33368,15
766.345,18
766.36638,9
766.39154,9
766.45317,6
892.53274,188
893.5358,123
894.53896,24
