"m.z","int"
102.12789,10
103.02418,35
105.00341,165
105.06997,17
106.00419,11
107.00091,18
107.08561,9
109.06481,7
109.10121,23
110.07135,22
112.89574,11
112.98504,34
114.09132,20
114.98209,15
115.05419,68
119.01888,991
119.0855,14
120.01968,88
120.08074,64
121.01643,77
121.0345,286
121.10108,10
122.03531,20
122.05753,15
123.01371,252
123.032,41
124.01457,13
125.01129,26
125.09593,7
125.99189,10
128.06189,80
129.05208,35
129.06973,8
130.06497,69
131.01877,667
131.08538,16
132.0195,32
133.01629,41
133.03439,153
133.101,26
134.99863,46
135.03193,8
135.04998,163
135.11653,8
136.02142,6
136.04522,10
136.05077,9
136.07551,11
137.04046,218
137.0476,8
137.05711,50
138.03004,355
138.03254,27
138.04129,6
139.02561,10
139.02677,452
139.03338,15
139.0364,12
139.03805,8
139.05389,7
140.0037,10
140.06785,10
141.0696,21
141.08827,7
142.94782,18
144.05034,7
145.03429,95
145.06453,6
145.10089,13
146.01862,12
146.06863,6
146.11731,12
147.03182,6
147.0499,47
147.11652,9
148.04514,18
149.0571,41
149.06562,35
149.09346,7
149.98577,19
150.0301,154
150.03261,19
150.03708,24
150.06094,10
150.08873,7
151.02686,188
151.04491,350
151.09522,70
151.11151,33
152.02759,20
152.0457,11
152.06182,18
153.00923,865
153.02415,30
153.04244,33
153.06961,14
153.08825,6
154.01003,175
154.06489,8
155.00673,224
155.06762,36
155.08525,10
155.10391,18
156.00737,14
156.0418,42
156.08051,7
158.08669,36
159.05001,86
159.06119,13
159.0914,11
160.04521,29
161.02919,22
161.04046,14
161.06554,12
161.09341,37
162.06091,8
162.98249,6
162.99347,79
163.0448,188
163.07269,48
163.99421,8
164.9203,202
164.92972,25
164.99114,17
165.02419,43
165.03537,17
165.04241,7
165.05197,20
165.06052,139
165.06328,6
165.06969,28
166.09168,27
166.95055,31
167.08542,7
167.10398,62
167.99628,21
168.04056,91
168.04315,9
169.0374,177
169.04691,21
169.08327,26
169.10087,6
169.12199,16
170.97528,13
171.01663,9
171.04992,23
171.06252,21
171.11651,6
173.02935,6
173.06565,18
173.0782,117
173.09346,106
173.13221,9
174.09671,7
174.985,63
175.04485,136
175.07272,7
175.08124,10
175.10912,16
176.0765,8
176.87495,7
177.00918,230
177.02412,35
177.06057,144
177.09689,8
177.1247,17
177.16355,9
178.00996,25
178.05573,7
178.06122,6
179.00662,44
179.03971,40
179.05093,63
179.05803,8
179.07607,69
179.0853,12
180.08042,6
180.10721,22
180.13559,73
180.89403,9
181.04673,6
181.11968,18
183.04995,6
183.06257,33
183.09899,42
183.13528,13
185.00586,16
185.05704,13
185.09346,18
185.10197,6
185.11466,126
187.04485,21
187.05623,6
187.08125,24
187.10371,8
187.12025,1109
188.12366,86
189.00924,7
189.06055,93
189.08829,8
190.0557,11
190.09205,19
191.03979,206
191.05106,12
191.0675,12
191.07611,81
191.07877,11
192.04054,11
192.08046,6
192.88104,23
192.98907,8
193.05553,73
193.08336,102
193.09179,136
194.09253,7
194.12299,23
194.87784,20
195.06247,16
195.08637,11
195.08928,6
195.13533,11
196.85667,12
196.95741,35
197.07823,55
197.11465,18
197.13221,8
197.15091,7
198.8618,18
199.0448,113
199.05729,7
199.08127,9
201.04231,8
201.06039,39
201.07307,6
201.08829,27
201.09674,17
201.1248,13
203.03968,6
203.06747,8
203.07604,45
203.10384,17
204.12265,8
205.00412,15
205.05547,45
205.05982,12
205.08315,20
205.09185,29
205.11972,48
206.98786,11
207.01965,76
207.07104,94
207.10743,26
207.11009,9
208.02043,6
208.13858,28
209.01737,9
209.06145,54
209.07812,41
209.10196,28
209.1509,19
209.95638,10
210.85544,7
210.99964,37
211.09379,22
211.13016,75
211.1478,7
212.00035,8
212.85145,44
212.93487,8
212.99733,11
213.06037,8
213.09688,43
213.10942,6
213.12473,12
213.14576,55
214.84962,11
215.07607,20
215.11254,10
215.12507,15
217.04694,10
217.05547,9
217.09187,72
217.10439,73
217.11956,21
218.08702,6
219.01965,13
219.07096,29
219.09884,12
219.10749,37
219.13518,117
221.05036,249
221.07822,22
221.0866,7
221.11447,35
221.12305,60
221.85175,9
222.05091,9
222.15413,29
222.87886,43
223.04781,27
223.08119,6
223.09383,61
223.13018,69
223.16654,21
223.97193,15
224.918,10
225.09668,13
225.1093,20
225.14574,18
226.91513,10
227.07611,17
227.11243,57
227.12501,23
227.14023,13
228.06134,6
228.92521,16
229.05545,9
229.09183,33
229.15598,7
230.92239,7
231.07099,26
231.0989,6
231.10744,87
231.13535,29
232.92789,11
233.05693,48
233.08646,16
233.11452,10
233.12317,24
233.1257,8
234.15422,9
235.13012,15
235.13867,91
236.10762,9
236.16979,21
236.90543,22
237.09685,20
237.10941,16
237.14577,56
237.18215,19
239.07609,14
239.08858,212
239.12497,20
240.092,11
240.1648,8
241.06779,9
241.09154,14
241.13926,8
243.07101,10
243.08359,7
243.10741,91
245.07496,14
245.08679,6
245.12318,17
246.08155,82
246.15434,9
246.85551,6
247.06603,6
247.10241,40
247.13005,18
247.1388,9
247.16644,32
249.1458,56
249.15443,60
250.14922,8
250.18557,13
250.83951,19
251.11246,28
251.12497,18
251.14054,9
251.16154,18
251.19788,15
252.83655,30
253.2133,9
254.14411,49
254.82329,48
254.83341,11
255.06244,7
255.10736,41
255.15616,21
256.82036,70
257.08651,12
257.12293,28
257.1508,8
258.81754,21
259.07866,7
259.09374,13
259.10239,10
259.13874,9
259.16644,16
261.05203,20
261.1178,10
261.12456,19
261.14582,24
261.15433,12
261.1821,11
261.92789,6
263.09711,7
263.12494,10
263.16163,7
264.1316,6
264.20134,10
265.12818,7
265.14072,6
265.17707,12
265.21368,8
267.10727,23
267.15645,9
269.123,44
270.79723,7
270.98542,10
271.10209,6
271.15396,371
271.1664,7
272.15491,23
272.15731,37
273.11807,10
273.15152,34
273.15419,7
273.16677,6
274.14903,10
275.0971,6
275.13362,19
275.16149,16
275.16988,7
275.19775,15
276.85341,17
277.14065,6
277.17676,6
277.18552,36
278.14719,6
278.21678,6
278.85062,8
279.10725,6
279.15618,7
279.19269,32
279.22892,26
280.83743,33
281.08675,50
281.12307,38
281.13565,18
281.17198,11
281.20804,7
281.24466,6
282.83427,17
283.13878,6
285.11801,12
285.19052,9
285.24192,15
287.13364,10
287.1697,6
288.88089,10
289.14041,9
289.14916,32
289.16431,103
289.17685,15
289.21329,21
290.14715,7
290.16766,12
290.78723,21
291.18007,7
291.19274,15
291.20128,7
292.78437,35
293.17175,6
293.19585,94
293.20835,26
293.24467,6
294.19904,8
294.78145,26
295.19324,8
295.21129,44
296.77873,6
297.11758,7
297.16951,127
297.18196,7
297.21841,6
298.17272,17
299.13347,25
299.16139,12
299.16691,10
299.18225,6
299.18501,136
300.18828,7
301.18265,6
301.18575,7
301.20063,7
303.1647,8
303.1769,18
303.25265,6
304.1626,6
305.21062,15
305.21695,355
