"m.z","int"
124.01458,11
125.01137,20
130.06495,14
137.03871,19
139.01788,56
139.02682,40
151.04502,27
153.00934,11
156.98656,123
174.99713,75
198.99717,18
216.96572,41
234.97611,23
276.94478,64
336.92374,33
414.91337,22
452.14714,19
466.16286,13
467.17109,57
481.18638,43
482.1904,16
482.19416,16
513.21222,14
541.20724,16
614.23641,107
615.23938,39
658.42107,40
766.9821,15
767.00224,13
767.01232,23
767.02239,23
767.04506,36
767.05388,32
767.06269,27
767.07151,24
767.0841,35
892.5331,96
893.53616,69
