"m.z","int"
113.06001,11
116.07899,42
123.94587,30
124.98359,11
127.07577,18
129.00375,26
130.09478,30
132.9837,28
135.04459,29
136.94906,18
141.09149,50
145.05005,11
145.08641,15
149.06022,12
152.99528,59
153.09158,37
155.07083,13
155.10724,66
159.06568,11
163.07595,19
168.89903,23
169.08645,67
171.00598,44
172.10552,23
173.0813,14
173.11775,14
173.91193,16
176.93542,14
177.09151,21
179.10275,37
183.10213,29
183.88607,13
183.91269,12
184.89397,18
185.06027,12
185.08131,13
185.90176,20
187.09701,23
193.8601,29
197.08137,14
199.13346,33
201.17649,11
205.15926,66
209.11782,12
211.03738,27
211.13356,22
211.16994,45
212.87849,18
213.01666,12
213.14925,42
214.18893,28
223.02804,24
225.00703,39
225.18562,49
227.19895,14
234.1576,41
239.20135,28
242.22034,79
245.04286,11
247.17013,54
249.18571,21
250.14459,24
251.20127,29
253.21701,131
255.23003,15
267.19646,15
269.21219,39
278.88439,14
282.85558,13
283.04943,51
297.04699,15
299.04411,23
301.21727,415
302.22052,65
317.21215,18
362.82177,19
437.20991,15
481.25746,46
483.27291,75
519.23614,18
527.2533,34
715.44321,19
717.45892,11
726.45646,12
737.45165,60
738.45471,12
751.42018,20
765.47163,32
767.47437,50
767.48698,109
768.47743,22
768.49006,45
769.49132,19
771.30791,13
771.34982,19
771.45143,26
800.47101,44
801.4749,20
803.45054,58
811.46636,38
812.47041,18
859.4671,25
