"m.z","int"
124.98363,17
129.00373,52
131.03435,24
139.02957,25
142.94984,18
144.04494,18
152.97868,18
153.05521,16
156.99868,60
157.01128,54
159.96513,20
171.01439,22
171.02699,21
171.13657,41
181.99775,17
201.02506,51
209.01204,34
211.00828,21
217.01158,19
225.00694,33
230.99156,16
231.13878,38
237.00171,25
241.00186,27
249.18562,20
252.20474,29
254.98022,16
255.22975,81
261.00256,17
267.19653,130
270.21542,18
271.22762,62
278.92987,53
279.23253,16
280.95722,17
283.0491,36
288.98599,36
299.0439,57
301.21708,110
302.22035,16
315.19637,19
317.21211,42
333.207,28
334.23598,43
337.21508,52
347.24385,63
360.25183,144
361.2149,19
361.25519,17
361.25926,20
362.26725,215
363.23061,201
363.27083,27
364.23409,25
365.22765,36
365.24628,337
366.2494,42
367.2433,93
371.24354,27
373.25924,170
374.26295,28
375.27502,191
376.27822,21
387.27531,31
389.29108,57
391.27031,91
415.27007,34
417.28566,249
418.28907,54
419.3012,362
420.30475,42
481.25696,199
482.2606,27
483.27306,220
484.27606,25
517.22448,26
519.24017,29
525.2371,24
527.25319,312
528.2566,51
547.27184,22
553.26828,26
555.28435,210
555.46282,28
556.28797,39
557.47842,52
563.26643,20
581.47842,49
583.49449,86
585.21125,25
585.51015,60
591.2612,87
592.26397,23
609.39308,16
658.42472,24
681.2937,23
693.39296,23
747.44786,59
748.45197,19
765.82229,16
765.83737,20
765.86124,17
765.94167,18
765.96052,36
927.50437,23
981.56055,38
982.56404,20
