"m.z","int"
111.04433,55
113.02359,19
116.04266,29
116.07905,179
117.01983,16
122.03666,18
125.09649,46
126.90431,37
127.07577,120
130.05846,23
130.09488,126
131.07072,62
134.04666,248
135.04451,105
137.02388,20
141.09161,160
142.94983,16
145.05007,53
145.06136,35
145.08643,59
146.04536,20
149.06025,26
150.00128,28
150.04159,37
152.03478,54
153.09161,77
154.94684,422
155.07086,35
155.08208,31
155.10727,199
155.94645,43
156.93583,40
156.94364,28
158.08986,17
159.06572,22
159.10212,28
162.06808,24
163.07588,59
165.09159,41
167.10712,27
169.0865,221
171.13657,39
172.10558,43
172.9575,31
173.08136,43
173.11782,35
175.02422,17
176.92879,22
177.09158,63
179.10283,143
181.08654,36
181.1228,16
183.10206,92
185.0814,73
187.0971,74
187.13352,28
191.10727,53
195.13864,51
197.08147,75
197.11789,28
199.09709,26
199.13357,105
201.11267,26
202.92352,22
205.12298,18
205.15921,258
206.16268,29
209.11777,83
211.13351,225
211.16989,106
212.07458,17
212.10352,18
213.11268,19
213.1492,86
214.18889,106
214.91382,18
218.13079,22
218.91847,33
223.028,171
223.13368,20
225.0072,37
225.18559,124
226.11943,16
227.16481,29
227.19912,20
229.18052,19
231.17504,24
232.92424,233
233.92386,27
234.15757,84
234.91329,103
234.92118,17
239.05927,50
239.12853,20
239.20133,48
242.22032,148
247.17011,131
250.14457,81
250.15724,39
251.20149,85
253.217,236
254.22064,36
254.90665,23
256.89546,28
257.17568,22
258.88591,19
260.90133,18
262.89059,19
269.2122,50
270.25194,19
274.88086,36
276.89664,79
278.88552,40
283.04918,18
284.26761,27
292.89142,84
293.89097,21
294.88033,36
297.04703,123
298.87836,16
301.21732,86
330.04496,38
338.87906,26
354.87373,48
355.87338,20
356.86288,16
368.0663,17
370.86902,66
371.06599,64
371.86819,22
414.84064,24
415.84026,18
430.83564,19
476.82291,22
492.81776,20
719.48763,27
751.42012,26
753.43659,18
763.4679,75
764.47063,24
765.47283,55
767.47432,27
769.61023,19
769.62163,24
769.63808,22
769.65833,20
769.67732,20
769.68492,20
769.69758,21
769.7229,19
769.74948,17
791.49913,19
800.47234,74
801.47488,45
803.45053,228
804.45326,105
805.44839,53
805.46601,20
