"m.z","int"
101.02361,204
107.944,9
108.90116,10
110.89831,7
111.00799,8
115.93294,6
117.00366,15
117.01867,6
117.95452,23
121.02744,11
122.97516,19
124.98377,24
124.99082,438
125.99426,7
126.98659,10
129.00388,11
131.03449,19
134.91546,17
135.92079,9
137.03521,12
137.91791,6
139.02982,7
142.94998,16
143.03453,12
145.06142,7
145.94963,7
146.04553,52
151.07601,6
152.93621,6
152.98589,6
152.99543,43
154.01754,70
154.91531,9
154.91839,51
154.92788,43
156.87737,11
156.90149,10
156.91547,13
156.92479,6
157.05027,9
159.96539,11
164.94715,29
166.04006,6
167.01288,190
171.00604,33
171.1367,16
172.9164,8
173.10393,12
175.02452,112
178.96271,10
180.93126,8
182.94963,25
183.95013,6
186.85046,68
188.84752,93
189.8483,7
190.84472,43
192.84186,12
192.87425,13
204.00428,14
204.82504,48
206.8221,15
206.93853,14
206.95794,6
208.97364,493
208.98295,9
210.96932,10
211.03728,13
211.97625,7
212.93974,7
214.8363,25
214.93696,7
215.03245,14
215.86243,9
224.97182,13
225.00723,38
226.81613,6
226.99627,24
228.99311,7
229.04838,8
230.99935,18
238.8912,8
242.90289,41
244.89981,9
244.93776,35
245.04324,12
246.9348,11
249.18591,14
249.80411,6
250.8332,12
254.85648,8
264.8974,6
266.77835,6
266.91997,41
268.92971,23
270.94795,6
271.82447,7
279.69702,13
283.04939,28
284.92791,6
287.01132,8
288.91464,11
298.8349,7
298.86461,13
299.04419,19
301.21767,67
302.22094,6
303.02116,8
305.17943,11
306.18701,6
307.76312,6
308.79222,9
313.17706,177
313.67874,63
314.18492,181
314.67644,6
314.68637,37
315.18238,6
320.82924,7
321.17429,444
321.67616,121
322.17234,30
322.18228,1358
322.67414,9
322.68376,369
323.18021,98
323.18572,49
323.68195,18
324.87911,11
324.8916,9
326.18487,9
326.87574,6
327.1927,160
327.69432,55
328.1904,9
328.20062,9
331.78032,6
334.18228,38
334.6841,14
335.19032,1098
335.69185,383
336.18794,81
336.19342,27
336.1978,275
336.68952,26
336.69977,97
337.19589,12
337.2003,10
337.69752,6
342.17969,30
342.6812,11
343.18721,14
345.48504,6
356.76825,11
356.79342,7
358.82054,10
363.23127,33
376.70505,7
378.78817,12
386.72851,7
400.7211,6
401.0642,6
412.75472,6
434.74993,8
436.7468,12
442.79358,6
470.71488,8
479.32138,9
538.34431,6
547.40471,8
559.89988,6
592.57936,6
648.21906,6
667.35461,15
682.61953,7
709.42046,9
719.48949,19
737.45363,116
738.39245,14
738.45669,32
752.62782,6
752.63761,9
755.45237,7
763.46899,63
764.47173,27
765.47394,57
766.37497,6
766.42528,10
766.43912,9
766.45295,9
766.47686,37
766.48818,13
766.50831,9
766.51711,9
766.53599,13
766.54605,16
766.56241,14
766.57499,16
766.58632,11
766.59512,8
766.60267,10
766.62029,13
766.63539,8
766.65049,7
766.69328,6
767.48805,6
785.45348,42
786.4554,8
791.50047,85
792.5034,19
803.45197,50
804.45472,16
805.44986,11
805.46748,86
806.47128,22
807.46473,14
808.46818,8
826.82542,6
850.24675,6
892.01858,7
892.48786,11
892.50366,11
901.83288,6
918.80522,8
919.09588,8
938.03686,8
939.83976,11
972.19239,8
972.21934,6
993.65529,7
998.48784,16
998.5028,8
