"m.z","int"
117.95431,24
124.9836,12
129.00355,17
137.91791,11
142.94992,13
174.03137,54
198.91698,33
225.00677,67
279.23293,15
283.04925,91
299.04355,73
300.86558,15
301.21736,479
302.22032,48
362.21242,22
363.21989,13
519.23564,23
527.25363,50
549.23519,11
552.8425,16
555.28577,25
719.3878,22
735.43731,42
737.45152,196
738.45458,42
747.41509,47
749.43008,22
755.45031,11
763.46571,130
764.47221,50
765.47568,15
767.47847,21
767.77099,16
767.86181,36
767.89209,40
791.49854,144
792.5028,43
800.47186,21
803.45009,118
804.45555,48
805.45747,13
839.50224,25
