"m.z","int"
102.06328,20
104.97965,30
105.95962,13
105.97494,23
106.98551,20
107.04937,14
107.94394,12
107.9462,34
108.93668,19
109.94331,7
110.9253,351
111.01921,15
111.04439,23
111.92612,29
112.01849,17
112.92234,209
113.00255,14
113.01374,75
113.02364,15
113.05998,13
113.92312,16
113.99784,11
114.00895,6
114.03414,71
114.91944,18
114.91987,13
114.9754,152
115.02943,110
115.96589,13
116.04263,7
116.04982,7
116.07903,133
116.97044,6
116.97299,15
117.00367,14
117.01995,131
117.03384,10
117.05493,13
117.95444,1073
118.9413,449
118.9553,101
119.0495,30
119.95158,256
120.9221,23
120.93716,15
120.94449,16
120.95238,38
120.95404,252
121.02725,13
121.06507,8
121.94907,26
121.95482,17
122.03654,8
122.91918,6
122.95159,24
122.97511,88
123.04443,13
123.08077,7
123.9239,33
123.99967,16
124.98222,7
124.98371,1042
125.02381,8
125.06012,17
125.09645,25
125.91248,49
125.98447,96
125.98698,11
126.90299,199
126.90435,19
126.98125,104
126.98812,15
127.0393,14
127.07581,85
127.90961,33
127.9513,38
127.98339,26
128.90004,88
128.9786,6
128.97981,9
129.00378,80
129.04514,13
129.89237,37
129.97509,16
130.05841,20
130.09482,82
130.8971,6
130.95314,32
131.00139,9
131.02317,16
131.07075,39
131.88936,41
131.99089,7
132.031,8
132.88569,139
132.94174,208
132.98146,10
132.98383,125
133.06532,13
133.88646,7
133.93221,271
133.9425,12
133.9846,17
134.0466,52
134.88316,6
134.93872,38
134.96995,49
134.97515,38
134.98138,26
135.04453,113
135.92081,617
135.92927,77
135.94129,30
136.01885,20
136.05243,13
136.91718,38
136.92155,47
136.93181,97
136.9395,233
136.9491,236
136.95204,29
137.01402,30
137.02381,9
137.91782,331
137.9403,17
137.94981,17
138.01678,9
138.03437,53
138.91424,9
138.91861,23
138.92035,301
138.93705,10
138.94666,25
138.95191,13
139.02962,176
139.07589,10
139.91491,27
139.9155,13
139.92109,14
139.97095,217
140.02497,18
140.03312,8
140.05002,17
140.91742,60
140.96146,117
140.96523,9
140.97168,13
141.04534,43
141.05517,15
141.06639,11
141.09153,138
141.89014,36
141.96592,7
141.96843,21
141.99912,71
142.9149,8
142.94995,893
143.88723,26
143.9464,32
143.9507,79
143.95336,9
143.96104,7
143.99094,8
143.99668,7
144.04494,22
144.07416,6
144.86922,171
144.94698,209
144.95433,25
145.05008,65
145.08644,37
145.9478,20
145.94947,397
146.02424,17
146.86632,145
146.94465,26
146.95024,25
146.96999,199
146.98257,96
147.94695,38
147.97095,42
148.86333,27
148.91934,84
148.94919,21
148.96147,28
148.96697,36
148.97947,10
149.0239,12
149.06025,33
149.09662,15
149.97907,517
150.00139,40
150.04159,8
150.91641,20
150.91806,23
150.94763,14
150.95005,105
150.97985,47
150.98249,8
151.07591,17
151.8984,182
151.91894,23
151.9266,17
151.93615,90
151.9488,18
151.9508,16
151.97668,56
151.98346,10
152.03479,50
152.91703,15
152.93609,74
152.93878,6
152.94697,14
152.97063,15
152.97882,59
152.98577,21
152.99531,51
153.00384,6
153.04536,18
153.0915,72
153.89544,112
153.93382,10
153.97402,9
153.99917,106
154.01175,46
154.01741,7
154.89791,122
154.90568,290
154.91528,305
154.92774,456
154.93323,25
154.94684,390
154.96822,6
155.00151,95
155.07086,41
155.08208,15
155.10727,163
155.89254,15
155.9065,18
155.91597,13
155.94644,32
155.94852,45
156.88642,33
156.89492,43
156.90156,10
156.90261,51
156.91217,63
156.92475,117
156.93582,20
156.9427,17
156.94363,16
156.96252,18
156.98619,8
156.99878,15
157.90347,6
157.913,6
157.94724,38
157.97678,9
157.97914,115
158.08973,15
158.88342,12
158.90491,9
158.92748,168
158.94827,8
158.95148,39
158.97999,19
159.06571,19
159.10211,52
159.83466,19
159.94421,13
159.9652,125
159.96784,6
159.97672,23
160.01883,11
160.8415,10
160.92461,42
160.93659,12
160.94676,46
160.96613,7
161.01409,14
161.92712,60
161.93482,71
161.94435,197
161.95693,89
161.96231,28
162.03443,21
162.06806,17
162.83846,7
162.9452,14
162.95518,19
162.96493,24
162.99219,6
163.0297,90
163.03945,8
163.07598,47
163.91565,157
163.94203,17
163.96008,7
164.02495,26
164.08374,8
164.9164,13
164.93448,8
164.93612,15
164.94403,18
164.95659,23
164.97631,55
164.98586,30
165.0453,48
165.09157,55
165.91253,23
165.93711,30
165.95676,37
166.03981,11
166.04057,10
166.05046,23
166.8956,11
166.92756,49
166.99445,87
167.01262,12
167.07086,8
167.08199,7
167.10722,26
167.87067,9
167.91374,16
167.95774,13
168.91377,20
168.91611,47
168.92457,18
169.08648,199
169.91684,9
170.08978,7
170.88132,6
170.88331,57
170.89285,94
170.91073,8
170.91311,25
170.93669,10
170.94173,18
170.94478,60
170.96995,6
171.00588,31
171.01449,7
171.06568,18
171.13654,71
171.9298,15
171.96535,39
172.00975,20
172.10555,20
172.86406,30
172.88023,14
172.8898,21
172.90853,11
172.92579,9
172.95734,192
172.96624,26
172.97649,14
173.08133,51
173.11778,28
173.14534,10
173.92488,23
173.93059,12
173.95684,47
173.98092,12
174.00745,18
174.86094,8
174.89987,7
174.90893,8
174.94637,48
174.96475,8
174.97738,9
175.91338,7
175.94285,19
175.94534,160
176.90015,103
176.90977,28
176.92428,16
176.92875,32
176.94172,125
176.94438,7
176.94605,30
177.05508,16
177.09154,50
177.92197,26
177.94238,48
177.96588,13
178.8972,25
178.90684,6
178.91294,48
178.93919,10
178.94487,40
178.95963,21
178.97226,41
178.99441,40
179.10278,76
179.10719,8
179.89319,31
179.93769,19
179.94556,6
179.955,19
180.06611,7
180.90993,8
180.91354,7
180.92133,34
180.93359,10
180.94239,9
180.95827,21
181.08649,30
181.1229,10
181.91466,7
181.93808,9
182.89273,6
182.90505,7
182.9225,24
182.9467,73
182.97443,100
183.10216,103
183.93889,24
183.97527,23
184.8937,42
184.94379,20
184.97197,17
185.0603,17
185.08134,79
185.9102,28
185.94206,63
185.97408,10
186.03454,8
186.88224,13
186.89072,17
186.92238,7
187.02969,14
187.09704,66
187.13346,14
187.95049,15
188.05013,6
188.87933,7
188.90349,8
188.94398,9
188.95245,6
189.04533,36
189.92613,7
189.97176,10
189.97595,26
190.04054,13
190.89203,22
190.93253,23
190.94254,25
190.95975,14
190.97227,6
190.97446,16
191.06085,9
191.10721,46
191.891,14
191.92284,88
191.92883,21
192.87497,6
192.88894,14
192.91928,18
192.92373,8
192.9393,24
192.95312,6
192.97537,13
193.88797,7
