"m.z","int"
102.0633,30
103.03919,7
107.04939,104
107.99145,31
108.98782,91
109.02425,11
109.02871,43
109.06503,17
110.02396,6
111.00794,21
111.01924,72
111.04435,254
111.08071,15
113.0236,98
113.03486,54
113.06001,82
113.92935,8
114.01887,6
114.02371,13
114.03418,23
114.93715,48
115.02004,79
115.0294,9
115.03817,7
116.04267,78
116.04986,11
116.07098,30
116.07906,297
116.93411,39
117.01992,14
117.0338,142
117.04349,7
117.05497,95
118.0291,43
118.05023,43
118.93288,20
118.94134,40
119.04946,274
120.04475,6
120.97632,10
121.02738,17
121.0652,33
122.02404,15
122.03659,120
122.97508,7
123.00807,30
123.04448,91
123.08082,18
124.01593,22
124.03967,10
125.02379,78
125.03497,52
125.06009,101
125.0965,218
126.90432,4076
126.99853,7
127.03944,104
127.05064,165
127.07578,460
127.11222,30
128.03462,157
128.07105,7
128.07913,6
129.0187,14
130.01662,6
130.05847,107
130.0867,93
130.09479,338
131.03435,287
131.04565,42
131.07073,237
131.08194,52
132.04491,13
133.03082,14
133.0653,74
134.02413,9
134.03673,10
134.04667,267
134.06047,8
134.91547,9
134.97262,49
135.02925,19
135.0446,587
135.08099,18
135.97501,9
136.01601,30
136.0399,22
136.04789,15
136.05241,118
136.97141,21
137.02388,181
137.03511,34
137.06031,60
137.09666,13
138.03445,7
138.05551,17
138.92033,6
138.9248,11
138.95198,31
138.98705,8
139.02251,27
139.03952,41
139.05079,50
139.07588,103
139.08706,8
139.11225,16
140.04735,7
140.0501,12
140.07113,10
140.92176,6
141.01881,12
141.02993,6
141.04522,7
141.05525,140
141.06637,92
141.09161,550
141.12798,12
142.08672,6
142.09486,10
142.94984,11
142.99808,145
143.02454,6
143.03448,31
143.04564,6
143.04979,7
144.00353,36
144.04493,432
144.07414,56
144.8692,7
145.04831,29
145.05007,290
145.06136,2541
145.08653,262
145.09772,184
145.1114,17
145.11389,7
146.02422,69
146.04536,475
146.06472,78
146.98255,97
146.9853,6
147.04469,17
147.04871,7
147.08096,8
148.0399,7
148.0525,32
148.93301,21
148.97957,22
148.99068,35
149.02389,59
149.03381,7
149.06024,232
149.09661,76
149.95968,73
150.00138,179
150.00857,20
150.03167,9
150.04158,53
150.05553,13
150.06806,36
150.92992,18
150.93751,9
150.96752,7
150.98831,10
151.0058,9
151.0759,160
151.11223,8
151.95546,7
152.03478,169
152.07124,8
152.93877,36
152.95313,77
152.9953,209
153.01875,6
153.05523,62
153.06646,39
153.09161,449
153.12789,6
154.01174,20
154.01401,18
154.01741,100
154.05039,6
154.06161,8
154.06297,10
154.08678,8
154.09495,8
154.91985,100
154.92785,42
154.94695,1151
154.95003,43
154.9593,190
155.0015,61
155.01283,47
155.03446,10
155.04579,9
155.07086,336
155.08208,277
155.10727,559
155.94644,80
156.04093,8
156.066,6
156.11051,13
156.91671,66
156.92487,10
156.93594,12
156.94247,24
156.94375,57
156.94876,17
156.95506,9
156.96252,52
157.01138,28
157.05011,29
157.08512,7
157.09772,16
157.83668,12
158.00657,14
158.03672,9
158.06063,14
158.08985,110
158.1291,6
158.91465,45
158.91549,35
159.02932,27
159.06571,154
159.10211,257
159.1271,28
159.12948,28
159.83466,28
159.96784,21
160.03983,39
160.10551,7
160.91167,29
160.96904,54
161.04498,843
161.83262,10
162.01915,6
162.04837,18
162.05559,28
162.06819,130
162.91043,10
162.96469,6
162.96765,27
163.03958,76
163.07599,233
163.11242,11
163.97913,8
163.9871,7
164.03479,7
164.07117,62
164.08375,225
164.97556,16
164.98348,28
165.05511,48
165.09158,201
165.85681,12
166.01395,6
166.03994,33
166.04362,6
166.05047,80
166.06303,12
166.97131,7
167.01954,9
167.03451,12
167.0372,24
167.07087,86
167.08213,56
167.10723,203
167.14361,12
167.85379,10
167.95775,6
168.02965,55
168.07731,6
168.83585,42
169.05013,18
169.06133,6
169.08649,761
169.0977,16
169.15925,15
169.85083,7
170.0276,6
170.05665,27
170.08979,29
170.09308,12
170.12622,29
170.83288,77
170.94188,55
170.95433,10
171.00589,55
171.02711,6
171.04063,7
171.06583,112
171.07697,14
171.10019,9
171.11346,11
171.13668,156
171.93516,42
172.07224,7
172.10557,177
172.13984,6
172.14479,9
172.82986,35
172.83147,14
172.88591,57
172.95749,602
172.9699,17
173.00861,29
173.02345,17
173.08135,251
173.10389,53
173.1178,205
173.14265,20
173.14522,51
173.93197,20
173.95699,40
174.01645,23
174.82683,8
174.82861,18
174.88289,28
174.93693,10
174.94653,36
174.95311,54
174.95421,21
174.97699,8
175.02434,81
175.865,11
175.93069,7
175.93263,7
176.0838,7
176.87995,9
176.90017,12
176.92891,243
176.93533,20
177.05524,81
177.06642,16
177.09156,247
177.86193,17
177.92833,20
177.94831,6
178.05038,11
178.91794,11
178.9256,8
178.94461,6
178.96633,8
179.05564,35
179.07084,45
179.10281,462
179.10721,76
179.85889,8
179.91511,188
179.94515,7
179.96261,24
180.02976,9
180.06614,52
180.94343,13
180.95584,26
181.00925,8
181.05026,10
181.08651,205
181.09778,106
181.12293,95
181.91207,109
182.04524,8
182.0898,6
182.89408,14
182.913,9
182.95906,11
182.99413,9
183.00425,13
183.06577,39
183.07693,14
183.10219,404
183.11335,13
183.90994,80
183.93507,152
184.07224,16
184.10541,7
184.10867,31
184.14185,14
184.89105,15
185.06033,71
185.08138,289
185.09272,21
185.90693,53
185.93203,58
186.08483,7
186.08799,7
186.1211,44
186.12426,7
186.91424,45
186.96545,14
187.04156,19
187.09708,245
187.13349,146
187.90486,31
187.93082,39
188.02204,6
188.03472,6
188.91123,52
188.95249,25
189.01841,41
189.06649,26
189.12784,8
189.90181,17
189.92322,20
190.90833,9
190.9099,13
190.97215,6
190.99484,8
191.01926,47
191.05573,39
191.07092,24
191.10725,237
191.90066,12
191.9202,9
191.92777,8
191.99131,68
192.11075,8
192.91472,6
192.97049,8
192.98765,95
193.07128,6
193.08655,74
193.12282,63
193.91811,10
193.9434,307
193.96678,11
194.08182,24
194.09433,85
194.84982,15
194.93935,121
194.95177,7
194.9834,6
195.06591,13
195.1021,107
195.11341,17
195.13861,207
195.91501,8
195.93664,8
195.94022,158
196.07215,6
196.14184,7
196.84693,9
196.88067,12
196.91899,8
196.9285,7
196.93046,112
196.93521,14
196.94128,12
196.94291,14
197.08144,272
197.11786,132
197.19056,10
197.93814,86
197.9393,49
197.95762,30
198.08483,10
198.08797,24
198.08929,11
198.12433,6
198.15757,19
198.84564,6
198.92729,56
198.93993,16
198.9539,160
198.96638,32
199.00066,6
199.06076,11
199.07208,8
199.09722,158
199.10838,10
199.13354,456
199.17219,6
199.9351,62
199.95354,11
200.06723,6
200.10364,9
200.13687,10
200.17616,14
200.92543,30
200.93454,6
200.93877,8
200.94299,14
200.94957,9
200.96173,10
200.99163,15
201.03776,89
201.07646,10
201.11281,122
201.12397,6
201.14917,47
201.1742,26
201.17657,126
201.87908,8
201.93402,39
201.98813,32
202.09948,19
202.92229,22
203.02017,15
203.10732,8
204.11512,31
204.92106,16
204.94106,26
204.9762,16
205.06148,8
205.08655,26
205.12294,165
205.15935,987
206.16264,88
206.93857,14
206.97458,22
206.97828,16
206.99382,15
207.10227,56
207.13867,111
207.96527,45
207.97487,20
208.09744,7
208.93051,62
208.93427,13
208.94447,9
208.96166,53
208.97026,8
208.9828,21
208.9853,21
209.08152,15
209.11791,426
209.12902,14
209.15431,61
210.12134,10
210.12423,11
210.88107,10
210.92737,33
210.93355,7
210.95861,36
211.03729,27
211.0971,47
211.10837,13
211.13347,609
211.14475,8
211.16985,350
212.07454,13
212.10366,63
212.13699,39
212.17326,10
212.92555,15
212.94324,6
212.95558,21
213.01676,38
213.07649,9
213.11282,89
213.12407,10
213.14916,343
213.94579,9
214.08296,9
214.11936,23
214.15261,9
214.18903,440
214.89137,57
214.91378,14
214.92237,9
214.94909,8
214.9545,17
215.03244,47
215.10312,7
215.12837,36
215.16485,28
216.90688,6
216.92942,82
216.96446,19
217.01165,14
217.02927,8
217.0306,12
217.91012,6
217.962,20
217.98776,11
218.13074,974
218.9843,9
219.10231,12
219.13404,71
219.13865,31
219.175,83
219.93954,43
219.96332,11
219.98634,35
220.93608,224
220.98261,54
221.06619,7
221.11783,58
221.15429,15
221.93548,15
221.93842,9
222.12142,7
222.15066,7
222.15322,53
222.93143,18
222.94228,7
222.95886,29
223.02795,426
223.09728,9
223.13363,99
223.16999,65
223.20637,7
223.95395,15
224.02769,22
224.03126,6
224.14144,7
224.95033,15
224.95553,12
224.96293,11
225.00714,37
225.02475,14
225.11283,68
225.12404,11
225.14928,54
225.18553,520
225.222,6
225.96162,7
226.08309,6
226.11937,54
226.18894,33
226.95441,11
226.95846,14
226.96819,6
226.99597,161
227.07811,6
227.0921,7
227.11463,9
227.12842,22
227.16496,164
227.93723,29
228.09849,11
228.13505,30
228.20248,10
228.20718,7
228.99299,30
229.04785,7
229.14406,56
229.18046,127
229.20556,18
229.20782,115
230.15192,29
230.9037,8
230.91619,13
230.97257,6
231.13852,6
231.17498,78
232.90205,28
232.90522,8
232.92439,349
232.93683,79
232.97097,20
233.11798,13
233.15196,38
233.92402,38
234.12586,7
234.15772,348
234.16218,14
234.91344,19
234.92006,27
234.92134,13
234.93222,14
234.9982,8
235.13366,87
235.16081,7
235.17001,16
235.96028,15
236.14132,126
236.91013,6
236.95661,37
237.11282,15
237.14486,6
237.1494,11
237.18556,69
237.94556,12
238.11929,9
238.91136,19
239.05943,205
239.12847,170
239.16486,28
239.20127,290
240.0984,7
240.13502,23
240.20453,14
240.94516,38
240.96933,65
241.09378,7
241.10777,10
241.13041,23
241.14417,21
241.18058,229
241.21389,46
241.94537,13
