"m.z","int"
116.966,33
123.02317,26
131.95298,135
133.00729,26
135.02291,16
137.03857,45
139.01784,147
139.02902,65
157.0832,62
166.97079,22
169.02832,36
171.02595,34
179.04898,22
181.02829,64
181.06468,16
184.9813,57
193.0284,45
195.0803,17
198.99694,78
208.98127,23
222.99697,20
223.03883,17
229.00748,17
254.82319,32
256.82002,18
258.97625,42
262.97107,17
288.98678,19
314.77862,27
318.95499,37
536.43634,40
566.41063,34
614.23645,25
658.42132,49
659.42505,22
766.14874,30
766.1588,23
766.17011,21
766.18017,24
766.2028,27
766.21789,17
892.53321,54
893.53468,44
